model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,sched
none,0.4617063035125775,0.48860370850653606,0.28967580002646887,0.1639220183879565,0.6417856977586898,0.8644624172379929,0.377428751938482,0.3159396008007782,0.21180611299006813,0.6165047390599319,0.5451403083239196,0.981048960633009,0.9600140584968947,0.8499223271952502,0.8162713501619847,8,BAH,none
t96p2,0.4616284191109113,0.4891082991375354,0.28901321368194255,0.1639682217294849,0.6424411095242775,0.8645968902560699,0.37743661510643256,0.3160695956711665,0.21102269141302704,0.6167101111168656,0.5452083750912781,0.981069576122028,0.960052395176497,0.8500743554177052,0.8161920632884937,8,BAH,t96p2
t64p2,0.46134698698624327,0.4891467706363513,0.28848388016507226,0.16399363008465598,0.6424280274711345,0.8646377103386359,0.37725499609643387,0.3154674060274921,0.21040920577254874,0.6167082058825597,0.5451910589228695,0.9810774350737936,0.960066250168763,0.8501119084268964,0.8161901498020572,8,BAH,t64p2
t48p2,0.46099363390390585,0.48905259249775507,0.28798306082731034,0.16401280380824315,0.6421944263361447,0.8646506709328474,0.3770139607185666,0.3146098183988103,0.20983018930431616,0.6166379325720903,0.5451642947972083,0.9810817572114556,0.9600732238579789,0.8501142926233674,0.8162539905325839,8,BAH,t48p2
t96p1,0.4613469150403322,0.48939061980790854,0.2882642641138679,0.16399671701380952,0.6425365574408467,0.8646919060048706,0.37728123671249675,0.3156914821767014,0.21006022222337564,0.616729983006261,0.5452977096118478,0.9810863552015923,0.960082991112357,0.8501780077839891,0.816335281034335,8,BAH,t96p1
t48p1,0.4607283075128674,0.48928769404362726,0.28730805684901844,0.16402204928820133,0.6421494625185066,0.8647354260543099,0.376855358309267,0.31432623066352655,0.2088961801412031,0.6166069075649059,0.545244196145041,0.9810970848976714,0.9601017742942517,0.8502078656769013,0.8164275070727708,8,BAH,t48p1
lin,0.4615242135394272,0.489281604740204,0.2886763022726961,0.1639813301004415,0.6425306541186735,0.8646471679678681,0.37738907457437887,0.31597639026604,0.21058211687817305,0.616732931332288,0.5452503348037491,0.9810782094788582,0.9600682582115888,0.8501303649568396,0.8162268131529277,8,BAH,lin
none,0.49702084964279664,0.4854534063522417,0.33474289788794803,0.22314569888884242,0.6427077981370866,0.8894377304496612,0.40306119343259517,0.35057237067994296,0.2827036822241921,0.6331416326147119,0.5679726270483474,0.98643409627939,0.9718045070770279,0.8706660677164096,0.8366411204866,1,CGD,none
t96p2,0.4969798882907517,0.4857639437795871,0.3340738838776354,0.22333222351817955,0.6428058600332692,0.8896422416357318,0.40298138727655114,0.3510371083440322,0.2818231968916536,0.6332356641646015,0.5682093136174037,0.9864599049503906,0.9718586799174307,0.87090668013344,0.8370037376485937,1,CGD,t96p2
t64p2,0.49665791473061804,0.48565200220657645,0.3334445891397026,0.22343214074111514,0.6423954595084076,0.8897231076113514,0.4026906042113006,0.3505567956243296,0.28103243582634335,0.6331317758014907,0.5681923657047782,0.986470369681975,0.9718816167650514,0.8709913870661292,0.8371183282391244,1,CGD,t64p2
t48p2,0.49622427648175343,0.48539276902494055,0.3328040170848233,0.22350048673848794,0.6417911989426743,0.8897651963371562,0.40231582725266724,0.34972107090274457,0.2802364741380946,0.6329540766662626,0.5681072745272246,0.9864760559214064,0.9718949056433376,0.8710261009770853,0.8371342754976888,1,CGD,t48p2
t96p1,0.49657800383525885,0.485619067974313,0.33314258553785925,0.22339799115144846,0.6422386595853882,0.889775661693201,0.40255103558933225,0.3507992801936449,0.2805609438015946,0.6330546978169509,0.5681519603708508,0.9864772049689722,0.9718971788759814,0.8710415997130906,0.8370970658592986,1,CGD,t96p1
t48p1,0.4957716815431192,0.4850784376411764,0.3319154012774057,0.2234793468380935,0.6410723904179225,0.8898516929556579,0.4018066034009144,0.3494222993690521,0.278993437961599,0.6327050531658917,0.5679207863807915,0.9864870807054845,0.9719211757630135,0.8711017798077393,0.8369374998013012,1,CGD,t48p1
lin,0.4968221609448428,0.4857296719871343,0.3336595311800706,0.22336009933323347,0.6425852235225482,0.8897101550181084,0.40280469628257126,0.3510144431769084,0.28125244272372846,0.6331648243712125,0.5681819250665944,0.9864687195293946,0.9718781583884982,0.8709766108772742,0.8370051166670234,1,CGD,lin
none,0.43608188475726284,0.5201699488750687,0.2636878559235051,0.225162997602191,0.6309247802293394,0.8539725623654855,0.3741107567928204,0.21343787950001755,0.19460461575863372,0.6281488222904712,0.5467260361036649,0.9801485682948842,0.9585941925765663,0.8392837494908518,0.8178477263655463,7,BAH,none
t96p2,0.4363877717416777,0.521261703183001,0.2630764382429097,0.2254599296568436,0.6316013040363476,0.8541714391873602,0.3742839636871755,0.21507987752905638,0.19386187904037466,0.6284414485018578,0.5469999363667969,0.9801778729607701,0.9586486160792376,0.8395069433618284,0.8181304167852156,7,BAH,t96p2
t64p2,0.43643740951964727,0.5217758209578949,0.2625917756484353,0.22568230195849673,0.6315014523102909,0.854251779593348,0.37425324833256196,0.21579543493887504,0.1932805224840432,0.6284847970551228,0.5472014065548237,0.9801916180322774,0.9586735966034454,0.8395824136638859,0.8185455173925785,7,BAH,t64p2
