model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,beta,tau
b0.0_t1.0,0.5049881075705787,0.4910345527948464,0.34666817864000654,0.22670863764594895,0.6474170220226388,0.8928878540930922,0.4106400229177149,0.36706962515634844,0.290753573448654,0.6360357137277012,0.5716463985752157,0.987058433721593,0.9730169464027335,0.8741822340736359,0.8385849098009561,1,CGD,0.0,1.0
b0.1_t0.5,0.5052166979478172,0.48958698627506064,0.35188428475565764,0.2271267450470147,0.6470906207015306,0.8927593400043861,0.41197061532364976,0.3630109090420148,0.29421492128925214,0.6361529075560044,0.5722343858834741,0.9870631088406968,0.9730024416433599,0.8740031177671187,0.8391543939594949,1,CGD,0.1,0.5
b0.2_t0.5,0.5049490855068403,0.4879566810427122,0.3565100744594272,0.22752832781485063,0.6462165235426663,0.8924502885104066,0.4129695656772742,0.3579316859229014,0.29701832173932224,0.6360315299222187,0.5724696372154755,0.9870418999410792,0.9729227268921106,0.8736165925556694,0.8395795593681253,1,CGD,0.2,0.5
b0.1_t1.0,0.5054234558162416,0.4905572945542085,0.3498859745689228,0.2268491004763562,0.6473491737354078,0.8928208328185976,0.4116322194497122,0.3657445084526711,0.2929190915775039,0.6361270021058564,0.5721162834694675,0.9870657171785467,0.9730122596010177,0.8740934334010002,0.838898104826157,1,CGD,0.1,1.0
b0.2_t1.0,0.5056201053056631,0.49000942260350694,0.3527311022593579,0.22698620744126244,0.646856974828785,0.8926502561056237,0.41243057783191045,0.3641331640910343,0.29464573211954576,0.6360600093546027,0.5724125889796899,0.9870554555075253,0.9729635016913316,0.8738888148030746,0.8392189485556665,1,CGD,0.2,1.0
b0.3_t1.0,0.5055943700203341,0.48939517594990295,0.35524980056923744,0.22711994231297683,0.6460108495367696,0.8923780051217972,0.41305821786245206,0.3622365664585939,0.295972211027166,0.6358532905071557,0.5725425996498824,0.9870283076841515,0.9728706728585796,0.8735752426415531,0.8395146762683962,1,CGD,0.3,1.0
b0.2_t1.5,0.5055817526210258,0.4906042834958406,0.35077125348042665,0.22683718376006007,0.6470506741830425,0.8927402537899158,0.4119581082736624,0.36582502655564764,0.2933197169440839,0.636045712844594,0.5722130962044266,0.9870586829445175,0.972982895101456,0.8740073949676673,0.8388936183993615,1,CGD,0.2,1.5
b0.4_t1.5,0.5056382708202576,0.49005622810357086,0.353951725458287,0.22696221345483789,0.6456178777188678,0.8923390270071947,0.4128206507794994,0.36414833000653113,0.2947555136457665,0.6356659696091198,0.5723587406514432,0.9870087489145742,0.9728247731597557,0.8735710181583026,0.8391956539775715,1,CGD,0.4,1.5
b0.0_t1.0,0.47065479647478553,0.5086496831027568,0.31909043936615217,0.2456373329428175,0.6360099210719503,0.883846349170525,0.40647476163512986,0.23557938325979796,0.2723661500027667,0.6265989369054724,0.5603567177767569,0.9855161056639127,0.9698768934676975,0.864381703881,0.8302579809013265,5,CGD,0.0,1.0
b0.1_t0.5,0.4719294883200831,0.5086233623276382,0.3231557982661976,0.2461609856836986,0.6356170011954416,0.8837686078019751,0.40812351653103124,0.2367579141176992,0.2752580538884646,0.6267149327268033,0.5614040150603417,0.9855324265315479,0.9698870932667474,0.8642123071104005,0.8308859295970056,5,CGD,0.1,0.5
b0.2_t0.5,0.4728632527079539,0.5084317313218817,0.32674463690483346,0.2466724011647139,0.6347586503681891,0.8835283940459326,0.40948458297172946,0.23749567929358353,0.27758805574512385,0.6266207832894248,0.562152056383021,0.9855246836102425,0.9698345188932234,0.8638565411207381,0.8314164156839497,5,CGD,0.2,0.5
b0.1_t1.0,0.4714244414346217,0.5086319158323493,0.32157922186031795,0.24580218180549124,0.6359422102299528,0.8838065789132304,0.4074737405528795,0.23615828341847453,0.27422871688373585,0.6266985188144771,0.5609487714373197,0.9855296524182812,0.969886208688539,0.8642956862470198,0.8305738640523175,5,CGD,0.1,1.0
b0.2_t1.0,0.4720060811283931,0.5085551182188094,0.32375798780161696,0.2459643232764984,0.6355027057307787,0.8836694606790345,0.40830155226870674,0.23661337932384127,0.2757059481080695,0.6266490051560571,0.5613606984684331,0.9855259799550005,0.9698511977218479,0.8641019159286303,0.8308579060338299,5,CGD,0.2,1.0
b0.3_t1.0,0.47241455068053184,0.508422519939356,0.32566960396072564,0.2461237534361434,0.6347541993566753,0.8834368555424873,0.40898053725569206,0.2369325556367053,0.276837216727551,0.6264673585090984,0.5616270986870048,0.9855058256472257,0.9697718606917914,0.8638070999362089,0.8310502374318136,5,CGD,0.3,1.0
b0.2_t1.5,0.47155684606053216,0.5085996130876883,0.3222508618184221,0.24578721465938944,0.6358096471768316,0.883745426622901,0.4077169674158766,0.23616783049355833,0.2746383663871386,0.6266730635045438,0.5609994631077808,0.985526022725821,0.9698642189383531,0.8642228662043163,0.8306004886482289,5,CGD,0.2,1.5
b0.4_t1.5,0.47200820040857744,0.5084531877835797,0.3246372481610001,0.24593417038841453,0.6346225542688106,0.8834025010080617,0.40854930532299805,0.23654324137752575,0.27591516564026775,0.626358669729829,0.5612565099934788,0.9854852975566437,0.9697242514430066,0.8638185859939149,0.8308362762238561,5,CGD,0.4,1.5
