model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,variant
base,0.5049881075705787,0.4910345527948464,0.34666817864000654,0.22670863764594895,0.6474170220226388,0.8928878540930922,0.4106400229177149,0.36706962515634844,0.290753573448654,0.6360357137277012,0.5716463985752157,0.987058433721593,0.9730169464027335,0.8741822340736359,0.8385849098009561,1,CGD,base
adopted,0.5056900754641828,0.4900073019473982,0.35365821197743913,0.22698023990485733,0.6462639402378645,0.892487142288995,0.41273350598469116,0.36405394031158717,0.2949400435055293,0.6358775972241442,0.5724542804874653,0.9870349881840649,0.9728973800183809,0.8737150010381713,0.839237076200399,1,CGD,adopted
permember,0.5056707500996847,0.4899672595844372,0.35369663697002146,0.22699118896019504,0.6462624271401815,0.8924870991544122,0.4127317678273078,0.36393751944625513,0.29495937915352155,0.6358801267870485,0.5724599182663017,0.9870350582256334,0.9728974420465838,0.8737147609299158,0.8392362720502614,1,CGD,permember
tau_prot,0.5059760556130424,0.4906422699480755,0.35231637077086636,0.22684213802444603,0.6468870905043208,0.8923625880691536,0.41253325291910176,0.36594191682202937,0.2947978803956631,0.6360061841442947,0.5724329382293637,0.9870348954079855,0.972884117685228,0.8735237699490138,0.8390100042480682,1,CGD,tau_prot
asym_up,0.5053889135581121,0.4902857632990981,0.35153858600938104,0.22687235738760592,0.6464236494308178,0.89253449576146,0.41206927915924746,0.3649247997449353,0.2933637097618138,0.6358531764514832,0.5724335013902012,0.987046683163887,0.9729156620978022,0.8738125032961451,0.8389947150124166,1,CGD,asym_up
asym_down,0.5052772095138627,0.49074037498540607,0.34878781492795563,0.2268165514887938,0.6468048074493417,0.8928406541350076,0.41126988711456025,0.3662053227831931,0.29238967679136835,0.6359473711716397,0.5715573975228966,0.9870481792397594,0.972998664323312,0.8740839053751955,0.8388272709889383,1,CGD,asym_down
seen_only,0.5041750504728219,0.4900073019473982,0.34666817864000654,0.22670863764594895,0.6462639402378645,0.8928715458924742,0.4101259674714025,0.36405394031158717,0.290753573448654,0.6357962168588799,0.5705624997708015,0.9870555005857409,0.973006437274675,0.8741658846685496,0.8385300682536323,1,CGD,seen_only
unseen_only,0.506502257661811,0.4910345527948464,0.35365821197743913,0.22698023990485733,0.6474170220226388,0.8924990759889698,0.4132475614310036,0.36706962515634844,0.2949400435055293,0.6361170940929655,0.5735381792918793,0.9870379213199171,0.9729078891464394,0.8737138524406852,0.8392919177477226,1,CGD,unseen_only
base,0.47065479647478553,0.5086496831027568,0.31909043936615217,0.2456373329428175,0.6360099210719503,0.883846349170525,0.40647476163512986,0.23557938325979796,0.2723661500027667,0.6265989369054724,0.5603567177767569,0.9855161056639127,0.9698768934676975,0.864381703881,0.8302579809013265,5,CGD,base
adopted,0.4720806645707197,0.5084944983473025,0.3244374565813518,0.24595760205139122,0.6350863999264282,0.8835298736094491,0.40851940282904475,0.23661514372812137,0.2760069263935116,0.6265194034457915,0.5613696954532572,0.9855088598636514,0.9697918449661613,0.8639448072451157,0.8308875796415622,5,CGD,adopted
permember,0.47209001406227213,0.5084930655385709,0.3244666829245639,0.24597235824738306,0.6350831815069152,0.8835308865722405,0.4085321885877794,0.2366255741803363,0.276022445129128,0.626522429256347,0.5613788562670324,0.9855092308036368,0.9697924861425786,0.8639452222684075,0.8308906292793459,5,CGD,permember
tau_prot,0.4719634854556207,0.5086248387916006,0.323901195945562,0.24580732046484732,0.6357078912773885,0.8833811146912856,0.4083789285760986,0.2361879782875262,0.2761416793771038,0.6266430479047379,0.5612458809987834,0.9855034144384927,0.9697649472601404,0.8637285835046761,0.8307188302441405,5,CGD,tau_prot
asym_up,0.4716327616338849,0.5085533076001376,0.3228277961685877,0.24582453015294772,0.635213769491401,0.8835754117226633,0.4078943145077015,0.23631830147574592,0.2748356762550378,0.626494792143266,0.5612765180388697,0.9855205101928067,0.9698095258987763,0.864051450030606,0.8306398071766502,5,CGD,asym_up
asym_down,0.4710888257254188,0.5085816669412314,0.32069036544004015,0.24577043883487962,0.6354277724841673,0.8838010462319471,0.4070632602092237,0.23587760981545464,0.27358988185195754,0.6265104230743752,0.5603652157160711,0.9855058784259975,0.9698592125350821,0.8642745787028152,0.830505753366239,5,CGD,asym_down
seen_only,0.4707928323862669,0.5084944983473025,0.31909043936615217,0.2456373329428175,0.6350863999264282,0.8838699834788786,0.406352890460193,0.23661514372812137,0.2723661500027667,0.6264369150909395,0.559813256403426,0.9855264023849445,0.9698957680537783,0.8643944554077623,0.8302771848472201,5,CGD,seen_only
unseen_only,0.47194159737804475,0.5086496831027568,0.3244374565813518,0.24595760205139122,0.6360099210719503,0.8835010828951279,0.40864127400398154,0.23557938325979796,0.2760069263935116,0.6266814252603244,0.5619131568265882,0.9854985631426196,0.9697729703800805,0.863911430094483,0.8308683756956688,5,CGD,unseen_only
base,0.4732412940931039,0.4997811975532655,0.3170063157177636,0.24397266826133818,0.6211610291643229,0.8821398529338934,0.4007522217791464,0.24993990671645605,0.2726909993841497,0.6423769615453513,0.557227813737646,0.9850972231288035,0.9685854179500305,0.8622552684032349,0.8278027638503621,6,CGD,base
adopted,0.4737768683188501,0.49933132110042583,0.3223956143266347,0.2442393211335083,0.6195567164833067,0.8816740416383473,0.40269041380981696,0.24838548381960776,0.2749450295858142,0.6419749263384711,0.5581172244758982,0.9850529787162128,0.9684256038854665,0.86161649265198,0.8283261150412184,6,CGD,adopted
permember,0.47377697678917496,0.4993237601945468,0.3224295668959261,0.2442529843603734,0.6195550688146805,0.8816748876556619,0.40270279219953736,0.24835157275742462,0.2749620064169817,0.641978617001506,0.5581144734625271,0.9850533202004935,0.9684261740684659,0.8616167426270631,0.8282914771852078,6,CGD,permember
