model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,k
k=0.0,0.5085309003315542,0.4910345527948464,0.3669869269222902,0.22819362737269272,0.6474170220226388,0.8899206718221855,0.4183166318062452,0.36706962515634844,0.30042150053243627,0.6364415344721259,0.5765045886117263,0.9867664629017667,0.972030187487675,0.8707664388352542,0.8406264848825179,1,CGD,0.0
k=0.25,0.5086745350121017,0.4910345527948464,0.36731074949869846,0.22847104437722224,0.6474170220226388,0.8900673791278696,0.41847435501001345,0.36706962515634844,0.30069900156445084,0.6366099683575114,0.5765549650822674,0.9867872523339881,0.9720726862333556,0.8708783589597234,0.8406549028826571,1,CGD,0.25
k=0.5,0.5087908020281385,0.4910345527948464,0.3675802402877275,0.2287011099087207,0.6474170220226388,0.8901808526634589,0.41860550266561025,0.36706962515634844,0.30092433727211787,0.6367507920242742,0.5765876828184687,0.9868046955045076,0.9721084982388004,0.8709665151553755,0.8406538773141666,1,CGD,0.5
k=0.75,0.5088803848473099,0.4910345527948464,0.36779495150238467,0.22888333560500945,0.6474170220226388,0.8902610924286031,0.41870984206636674,0.36706962515634844,0.30109703747631245,0.636863880338824,0.5766197056916612,0.9868187877513991,0.9721376229912924,0.8710309169344332,0.8406631764403878,1,CGD,0.75
k=1.0,0.508943098921796,0.4910345527948464,0.3679545246317285,0.22901733596004445,0.6474170220226388,0.8903081502214846,0.4187871876662752,0.36706962515634844,0.3012167255645548,0.6369491380716971,0.5766497601915992,0.986829524920011,0.9721600607493459,0.8710717731610168,0.8406799056862299,1,CGD,1.0
k=1.5,0.5089864298090295,0.4910345527948464,0.3681071951780099,0.2291395479857848,0.6474170220226388,0.8903031457732654,0.418860352115259,0.36706962515634844,0.3012959723844837,0.6370358823333269,0.5766800976812503,0.986840918122607,0.9721848752462887,0.8710845633752865,0.8406901779060509,1,CGD,1.5
k=0.0,0.47359744048461605,0.5086496831027568,0.3346203702569514,0.24745027421364948,0.6360099210719503,0.8811433451037036,0.4128846674050839,0.23557938325979796,0.28057393104018685,0.6270600306733397,0.5642187737054669,0.9852497949060361,0.9689285399943246,0.8610814649803546,0.8318217192379396,5,CGD,0.0
k=0.25,0.4737340769728857,0.5086496831027568,0.33490826082581443,0.2478407517648706,0.6360099210719503,0.8812924196548664,0.4130509807115637,0.23557938325979796,0.28083428469975014,0.6271656087348565,0.5642710679725241,0.9852720119243924,0.9689738587718754,0.8611870588570323,0.8318468697773578,5,CGD,0.25
k=0.5,0.4738464767329137,0.5086496831027568,0.3351465308675295,0.2481793254912753,0.6360099210719503,0.8814088079352813,0.41319067746702554,0.23557938325979796,0.28104670831309425,0.627257071586351,0.5643224061177493,0.9852908015845948,0.9690123348121759,0.8612702028170487,0.8318793830430584,5,CGD,0.5
k=0.75,0.4739337702097442,0.5086496831027568,0.33533476905699316,0.24846540055219085,0.6360099210719503,0.8814925164229532,0.4133035151344523,0.23557938325979796,0.2812107699838117,0.6273342702039502,0.5643586094484703,0.9853061598834496,0.9690439690717552,0.861330918736987,0.8318896989318769,5,CGD,0.75
k=1.0,0.4739965642490557,0.5086496831027568,0.3354726278291237,0.24869846961930214,0.6360099210719503,0.8815435894239024,0.41338928814808945,0.23557938325979796,0.2813261134173692,0.6273970771113955,0.5643943456135955,0.9853180819768615,0.9690687605910168,0.8613693985377116,0.8319152545564974,5,CGD,1.0
k=1.5,0.47404677275216706,0.5086496831027568,0.33559622141153195,0.2490040929060925,0.6360099210719503,0.8815482215810361,0.41347904949448344,0.23557938325979796,0.2814096219025737,0.6274791401826809,0.5644330202319325,0.9853316022675973,0.9690978174064784,0.8613812171105598,0.8319314955272041,5,CGD,1.5
k=0.0,0.475899891447392,0.4997811975532655,0.33348573080436467,0.2454594623095773,0.6211610291643229,0.879400004861683,0.40763256165492473,0.24993990671645605,0.2789049336920695,0.6428036899793521,0.5612482596336777,0.984790317382082,0.9676256441888457,0.8587676850362786,0.8292719816122209,6,CGD,0.0
k=0.25,0.4760434034364255,0.4997811975532655,0.3337915658611486,0.24576395549602015,0.6211610291643229,0.8795478065488791,0.40779554351697317,0.24993990671645605,0.2791884881586842,0.6429519877764167,0.561281569894731,0.984812775133923,0.9676706496460872,0.8588784138562786,0.8292515747765411,6,CGD,0.25
k=0.5,0.4761609837822938,0.4997811975532655,0.3340444655608291,0.24601291219503216,0.6211610291643229,0.8796617293808504,0.4079299545895432,0.24993990671645605,0.2794215045293254,0.6430736768385585,0.5613299865145153,0.984831607058135,0.9677084816497755,0.8589656087274387,0.8292896719749832,6,CGD,0.5
