strain,n_cov,corr,kappa_loso,r2_loso,seed,held
BAH,544,0.3363749539154421,0.04040234726016143,0.006943809131773282,1,CGD
CEK,650,0.10105590427449952,0.20747842328287103,-0.15588512654419406,1,CGD
BAH,544,0.3327463150483385,0.04116498429668481,0.0024522714538611767,5,CGD
CEK,650,0.10136748153876682,0.20373064539277402,-0.1422287811338918,5,CGD
BAH,544,0.3355296555800943,0.042661009695456685,0.013828440610133996,6,CGD
CEK,650,0.10579904088514083,0.20697500168216595,-0.1479230593863894,6,CGD
CGD,628,0.28184677613686826,0.05494784161844311,0.047146696772370156,3,BAH
CEK,675,0.13585905067011075,0.12194329967737945,-0.02166199725693274,3,BAH
CGD,628,0.2769951621784512,0.05473917626797004,0.04223218606079282,7,BAH
CEK,675,0.13439683015235035,0.11996909470526587,-0.018449496722584557,7,BAH
CGD,628,0.2931279485150439,0.05805872517174722,0.05404033580522116,8,BAH
CEK,675,0.14291992264673248,0.1266219463633062,-0.018201274297874548,8,BAH
