model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,k
k=0.0,0.5049881071864902,0.4910345523029394,0.34666817775727676,0.22670863786759937,0.6474170142324235,0.8928878543565247,0.41064002193677496,0.3670696264968133,0.2907535732977568,0.6360357092773286,0.571646398886894,0.9870584337191328,0.9730169463984706,0.8741822343757426,0.8385849098009561,1,CGD,0.0
k=0.5,0.5056740642710312,0.4910345523029394,0.3469013403430102,0.2271530266319753,0.6474170142324235,0.8934936818892362,0.4107876974350586,0.3670696264968133,0.2912993208435679,0.6401544695126423,0.5717833423015771,0.9871127869452898,0.9731458366607673,0.874908161569218,0.8392613340943097,1,CGD,0.5
k=1.0,0.5048737164021428,0.4910345523029394,0.34412490757663045,0.22512308565941108,0.6474170142324235,0.8925246474338856,0.4094839960958148,0.3670696264968133,0.2890546101924898,0.6422111208056035,0.5710365694598213,0.9869926563348582,0.9729182275432279,0.8744981493055313,0.8393297909365827,1,CGD,1.0
k=1.5,0.5026727072553316,0.4910345523029394,0.33851553899618914,0.22079000036707994,0.6474170142324235,0.8900857726190792,0.4068177294683408,0.3670696264968133,0.2841977280071272,0.6422484554943118,0.5694560782842254,0.9866981088540128,0.9723341240636671,0.8733721383801635,0.8390145556568158,1,CGD,1.5
k=2.0,0.49922551631392226,0.4910345523029394,0.3304556018613285,0.2145206916242971,0.6474170142324235,0.8862683745903591,0.4029806222931031,0.3670696264968133,0.27710743944714056,0.6403582780386704,0.5671088965983351,0.9862297364722563,0.9713935179183759,0.8718949273390016,0.8382773797205986,1,CGD,2.0
k=0.0,0.4706547929449372,0.5086496878882378,0.31909043926115394,0.2456373323376177,0.6360099162776085,0.8838463493078211,0.40647476315006625,0.2355793947595993,0.2723661495581621,0.6265989352449177,0.5603565981562468,0.9855161056905816,0.9698768934931835,0.8643817042121477,0.8302579809013265,5,CGD,0.0
k=0.5,0.4709586107357697,0.5086496878882378,0.31933489550173305,0.2458387787866838,0.6360099162776085,0.8844912137742298,0.40659866991733534,0.2355793947595993,0.27281136470730455,0.627105907894924,0.5604391563743337,0.9855708172564623,0.9700094105286106,0.8651536560574836,0.8308945108851579,5,CGD,0.5
k=1.0,0.47019403558879813,0.5086496878882378,0.31696674066175967,0.24351613544362835,0.6360099162776085,0.8836404147582652,0.40534894352210277,0.2355793947595993,0.270802541716692,0.6286819525205525,0.5596826841861178,0.9854556015136214,0.969794848580922,0.8648751896324512,0.8309566704135641,5,CGD,1.0
k=1.5,0.4681399038915012,0.5086496878882378,0.312129206672793,0.23884066107896457,0.6360099162776085,0.8813824973864115,0.40280526630106783,0.2355793947595993,0.2664847229749659,0.6284307065013195,0.558123872838139,0.9851705046000597,0.969233205000347,0.8639004856955862,0.8305671237427746,5,CGD,1.5
k=2.0,0.4649312332259112,0.5086496878882378,0.3051368581892864,0.23217369713492275,0.6360099162776085,0.8778000133704942,0.39914066972920886,0.2355793947595993,0.26017171728997407,0.6264425467857659,0.5558317206203759,0.9847160619331544,0.9683244880691184,0.8625590969412783,0.8298571250495858,5,CGD,2.0
k=0.0,0.4732412973108714,0.4997812011673574,0.3170063158646944,0.24397266706681292,0.6211610266347504,0.8821398527325904,0.40075222297866486,0.2499399176910621,0.27269099964981836,0.6423769601195188,0.5572278307911814,0.9850972230847609,0.9685854178807238,0.8622552682565854,0.8278027638503621,6,CGD,0.0
