model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,variant
base,0.4970226888566376,0.4854585279000361,0.3347345484980463,0.2231456205060124,0.6427251778882379,0.8894311237440048,0.4030613849548854,0.3505996600258748,0.28269509882358784,0.633117249449372,0.5680088230857092,0.9864326585167476,0.9718016602601441,0.8706645650034706,0.8367083449837789,1,CGD,base
+cmpd_x_tbin,0.49778636065407067,0.48647517107399496,0.3357947659422518,0.22305421095206976,0.6413642330334444,0.8894961581747147,0.4037946330003779,0.3528456479911058,0.28319259196392044,0.6329741607317879,0.5686681340969847,0.986434549967496,0.971818371965055,0.8707264992934771,0.8374890976541234,1,CGD,+cmpd_x_tbin
+strain_x_med_temp,0.4982296890183295,0.48679382721051667,0.33599963574332353,0.22344167496804324,0.6431142840788812,0.8896864909888653,0.4041682998247459,0.3540848532278527,0.28353271181209855,0.6331432715180247,0.568249514091544,0.9864972561910302,0.9719233533170296,0.8708579063724016,0.8363090654984336,1,CGD,+strain_x_med_temp
+cmpd_x_med_temp,0.4959412495817947,0.4839756151101038,0.33488131658028447,0.22320627058656012,0.6412901134987365,0.889194680096714,0.40239570713497563,0.34652670254907086,0.28291112077178104,0.6322311284007329,0.5678541854892862,0.9864026190242586,0.9717391650786795,0.8704124279465126,0.8362271106554113,1,CGD,+cmpd_x_med_temp
+all,0.49619377574277157,0.4834042703912961,0.337046302196725,0.22278423275375592,0.6396393933593936,0.8894678680010508,0.40278531671197987,0.34593887455387495,0.28408812171821785,0.6319990421762631,0.5679713898504303,0.986465824123246,0.9718636534988566,0.8704860846481306,0.8361318802289024,1,CGD,+all
base,0.43603052302962303,0.5200694298952332,0.2637107928172947,0.22520567043067768,0.6308486621167979,0.8539751170780524,0.374086116627299,0.21320814778111993,0.19462092083481006,0.6281510216038739,0.5466610914722884,0.9801500861989765,0.9585970032085455,0.8392833124307942,0.8176647192050599,7,BAH,base
+cmpd_x_tbin,0.43594184104722994,0.5204576864472514,0.26377217253034896,0.2255838468922324,0.6293173393978229,0.8538057054067846,0.37418544829961586,0.21375819595567405,0.19383865636277625,0.6278118558486774,0.5466756368482241,0.9801312106617799,0.9585449686269589,0.8391262758774707,0.8174009253999392,7,BAH,+cmpd_x_tbin
+strain_x_med_temp,0.4358194292985315,0.5201398596750082,0.26354677760009587,0.22589991654923455,0.6317795543811299,0.8538622450393041,0.37417740508927905,0.21240981769618597,0.19422576467470862,0.6284748380030125,0.5465605748774158,0.9801161130750665,0.9585344174574529,0.8392071211485864,0.8172833928283829,7,BAH,+strain_x_med_temp
+cmpd_x_med_temp,0.43652198150601434,0.5207344129892927,0.2641019612362919,0.22566083628462164,0.6305221262046244,0.8540187684847934,0.3745294073099285,0.2146288471961278,0.19496428458378265,0.6281945563900707,0.546955879731688,0.9801591424186819,0.958618306556215,0.8393442678814992,0.8177476574813514,7,BAH,+cmpd_x_med_temp
+all,0.4362634429293958,0.5202937986276264,0.2647359568622533,0.22735341612664992,0.6278626967926665,0.8537669636556406,0.3746795818404033,0.21346006536451365,0.19482746408818774,0.628261075063256,0.547130826826019,0.9801458469644141,0.9585819900044402,0.838702330949943,0.8176841343640194,7,BAH,+all
base,0.4652014951457048,0.5059393083534666,0.3077028902712919,0.24040391781718434,0.631836332451582,0.8802564513312847,0.39988870858798936,0.2305221973674306,0.2640357504413675,0.6235556937935763,0.5582173758266641,0.9848194727315942,0.9685256474833165,0.8610847748726406,0.8302887316202392,5,CGD,base
+cmpd_x_tbin,0.46470379451530813,0.5051998776445907,0.3081712821599262,0.24045440489031358,0.6317774138065088,0.8800746787343257,0.39977753030904,0.22840449872936266,0.26416418533480496,0.6235729283793797,0.5574689308082299,0.9847892601877715,0.968464745972781,0.8609098582385759,0.8287032991186835,5,CGD,+cmpd_x_tbin
+strain_x_med_temp,0.46520793400413096,0.5060168646517669,0.30794824000390414,0.24024593521703286,0.6316334364527745,0.8804095263494903,0.3999836942466039,0.23018314935614712,0.2642497320800864,0.6234913961230399,0.5578877854606231,0.9848582344604291,0.9686053567742865,0.8612225954738002,0.8291549865204896,5,CGD,+strain_x_med_temp
+cmpd_x_med_temp,0.4646008752506853,0.5046650296231562,0.3079527594464671,0.24024732994650044,0.6308583692492469,0.8801715157033541,0.39938745563192607,0.2282224607175286,0.26438825869912796,0.6232289789314034,0.5574933285112254,0.9847989924336122,0.9684842321734596,0.8610713900095514,0.8284191722146098,5,CGD,+cmpd_x_med_temp
+all,0.4647854386342283,0.5046127397468481,0.3094428591668748,0.24122701427564752,0.6298854773212262,0.880353699726406,0.40002645877724097,0.22746142704772643,0.26496837291189823,0.6232819809614447,0.5578785181313478,0.9848676735873981,0.9686157454824619,0.8609934744754401,0.8289919304002674,5,CGD,+all
base,0.4572281633921408,0.493011236526966,0.2818194687875917,0.17780141740320038,0.6205755170910302,0.8658310105618184,0.3790210367643869,0.30184217591773777,0.19960418130823265,0.616575634132801,0.5471973446041237,0.9814316466471159,0.9610743303919893,0.8507996821782023,0.8160044516413213,3,BAH,base
+cmpd_x_tbin,0.4572119892074091,0.49285045831413954,0.2834183247981566,0.17788952835804148,0.6185597021478648,0.8657357599594528,0.3794145483346705,0.3010759438391228,0.19998321690503895,0.6161980601275918,0.5475912394051871,0.9814490809476375,0.961114329881089,0.8504467195356604,0.8170539674216728,3,BAH,+cmpd_x_tbin
+strain_x_med_temp,0.4578395538820244,0.49332192478591746,0.28229387893998087,0.17827027494007372,0.6207555646285525,0.865577751656586,0.3794055727087005,0.30455918546462557,0.1996599544280946,0.6166388566169512,0.5472979346658581,0.9813977424748637,0.9610021295192378,0.8504654428313377,0.8165279098235944,3,BAH,+strain_x_med_temp
