model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,iters
it0,0.4574604244028329,0.493341446505844,0.2818741832141955,0.17779229625450693,0.6205064114603593,0.8658457554480863,0.3791787775629462,0.30279568571838944,0.199574783329793,0.6165637948332487,0.5473221125903535,0.9814319147510936,0.9610797747869535,0.8508068036667841,0.816312453019184,3,BAH,0
it3,0.45765740335489447,0.4911751115951754,0.28571866908673826,0.1778342174961896,0.6210736938054977,0.8658567294181287,0.379653867149307,0.30051704844757365,0.20196445952929235,0.6169288420127041,0.5476680977459656,0.9814656354323982,0.9611551319444691,0.8507130418959413,0.8171763323446757,3,BAH,3
it6,0.4574753833161618,0.4903314755179443,0.28653479399348886,0.17815177044001873,0.6211158589517927,0.8658010201736335,0.37962813377890664,0.2993389404749517,0.202280111311796,0.6171418436804721,0.5474030222262338,0.9814731028166769,0.9611905938276436,0.8504922256863943,0.8174080911054643,3,BAH,6
it0,0.466025742376866,0.4947797415347328,0.3050703749901761,0.23806964520241944,0.6180196779796102,0.878392469294762,0.39293965772225536,0.2391682173152571,0.26367538516837363,0.6386690756839668,0.5535341204445379,0.9843612522262846,0.9671600974289015,0.8589325137445841,0.8259289199542129,6,CGD,0
it3,0.46685521236207256,0.49407804516326187,0.3083918194695283,0.23787589735379452,0.6177576133244461,0.8782502463204225,0.39396433825930466,0.23825797711445929,0.2674598658432906,0.6385742691101489,0.5542616606119403,0.9843475375165409,0.9671087866072673,0.8588356807428246,0.8263431641631745,6,CGD,3
it6,0.4665298664924778,0.49335541027899854,0.3082880566819109,0.23895964520537902,0.6180453710789147,0.8780929975569366,0.3937879999546401,0.23662930953796518,0.2677239124119985,0.6391137430030519,0.5536449660426497,0.9843437127150365,0.9671028497301265,0.8585804203551326,0.8252998369504856,6,CGD,6
it0,0.4360882468260888,0.5201693367905394,0.263689155443254,0.22519800837874154,0.6309403077004916,0.8539750585962553,0.3741162076135051,0.21344303468956374,0.1946038605624215,0.6281784295643882,0.5467392239325123,0.9801493661367674,0.9585957584466757,0.8392826686355599,0.8178362325767826,7,BAH,0
it3,0.4355855744419436,0.5182025497638199,0.2655453475081234,0.22541479324901312,0.6333072763525163,0.8538651451548604,0.37449456607899667,0.2086637490177511,0.1959217895731619,0.6291215102770004,0.5471929029067946,0.9801461391021072,0.9586256824242518,0.8391306642878734,0.8190537996415952,7,BAH,3
it6,0.4347765635432053,0.5165947009097023,0.26614924699584314,0.225134164104424,0.6316884039711421,0.8535370605875154,0.3740744653050183,0.205544413005482,0.19630064368636527,0.6286137640282551,0.5464029471650537,0.9801228125450298,0.9585400353236336,0.8387785618107839,0.8184084240545043,7,BAH,6
it0,0.461709601971015,0.4886168395482497,0.2896652289049848,0.16393219243527574,0.6417943110665163,0.8644590805103355,0.3774322112778987,0.31597235426914794,0.21179766440405876,0.6165075120036203,0.5450995622893988,0.981048753079555,0.9600134841043914,0.8499203878888089,0.8161717889187646,8,BAH,0
it3,0.4617880344375934,0.486911363611317,0.29256017107953575,0.16265578058701136,0.641526403976323,0.8643409464396293,0.3776186200610064,0.314913844573277,0.2133465646063816,0.6159315566747222,0.5453990526202396,0.9810399192328825,0.9600477169167263,0.849849380267216,0.8169534464659904,8,BAH,3
it6,0.4613139850030558,0.48630947204976205,0.29273953480379156,0.1622828751458171,0.641874216570572,0.8642024207725449,0.37740377407174885,0.3130098463651695,0.21328038152749362,0.6160359431264122,0.545218348788715,0.9810251676611372,0.9600358076220283,0.8496376508188516,0.8171491961340384,8,BAH,6
it0,0.4970199654252678,0.4854506942031324,0.33474287437920064,0.223146680680174,0.642707799074276,0.8894377372798116,0.40306015008880336,0.3505674939669657,0.2827036556308901,0.6331426959635928,0.5679776186234838,0.9864341194139522,0.9718045509609072,0.8706658312008679,0.8366593541048337,1,CGD,0
it3,0.4985070238592657,0.485755145694857,0.33763241607460676,0.223353341072577,0.644266134971413,0.8894064039552229,0.4043777223458867,0.3509923476593051,0.28682414306333337,0.6347912542362123,0.5697777782720103,0.9864419356752527,0.9718058290834165,0.8706122537046582,0.8395028214050432,1,CGD,3
it6,0.4984238661145054,0.48532688487143394,0.33868265657664226,0.22288007593467105,0.6436354450424695,0.8891331071240769,0.4044743733484003,0.3500803522996651,0.28768898549248345,0.6344329241977966,0.5696298274876097,0.9864168412842641,0.9717307484766096,0.8703503263668442,0.8389229383934196,1,CGD,6
it0,0.4652185435150484,0.5059671781953478,0.3077057213432889,0.24039402380720562,0.6318228146768299,0.8802564028989348,0.39989896934670033,0.23059483392382812,0.2640383518371487,0.6235504135746583,0.5582168417785026,0.9848192557381356,0.9685251348387532,0.8610899351017344,0.8302696985100724,5,CGD,0
it3,0.4653889889090146,0.5038763240838658,0.31050629017751236,0.24003495089516236,0.6323498086031212,0.8799704177368893,0.40014836196172215,0.22766008737272067,0.26774396599438166,0.6236966670770916,0.5581467498015301,0.9848045366849649,0.968462678201571,0.8606574478421375,0.8302947573811604,5,CGD,3
it6,0.46459868028123547,0.5025099803861218,0.3111080169020736,0.23815249767554741,0.6326964344211529,0.879837371911621,0.39960427354416045,0.22427663750572915,0.2683324926968672,0.6233110042855133,0.557544220876011,0.9847796179165095,0.9684239862099564,0.8606083658027486,0.8289015887944661,5,CGD,6
