model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,variant
base,0.5049881075705787,0.4910345527948464,0.34666817864000654,0.22670863764594895,0.6474170220226388,0.8928878540930922,0.4106400229177149,0.36706962515634844,0.290753573448654,0.6360357137277012,0.5716463985752157,0.987058433721593,0.9730169464027335,0.8741822340736359,0.8385849098009561,1,CGD,base
g1.05,0.5049077012118476,0.4884620022114341,0.35463527383847737,0.2274937256691662,0.6465246577407173,0.8925753406451475,0.4125126089886958,0.3594521885500807,0.2957063300181212,0.6360919090379954,0.572471724364083,0.9870501148779083,0.9729534578196074,0.8737725767711382,0.8393233771524831,1,CGD,g1.05
g1.10,0.5035348663566972,0.48530518807573825,0.36193663736186,0.2282979234797758,0.6443633590521193,0.8917010356681199,0.41381337743772156,0.3484749743919236,0.2993016559610164,0.6355729028453477,0.5725739701704015,0.9869559155789742,0.9726626540986922,0.8727608962495425,0.839844068161765,1,CGD,g1.10
g1.15,0.5005877442820441,0.4815061667761977,0.36840986338266274,0.22911373913726718,0.6408981097611609,0.8900360117318264,0.41445441423790597,0.33341025221439075,0.30125320699691227,0.6343558152675843,0.5719733001436645,0.9867399880530389,0.9720267512319466,0.8709777030720057,0.8401309157988193,1,CGD,g1.15
g1.20,0.4958617399471345,0.4770103718468141,0.37391181581710964,0.2299308536179145,0.6361208129548979,0.8872734636097979,0.4143575948322813,0.3138228342858253,0.3014712324249417,0.6322853583748833,0.5706059867492564,0.9863573313746402,0.9708754283211397,0.8682386920821081,0.8403069017529273,1,CGD,g1.20
h0.3,0.5056900754641828,0.4900073019473982,0.35365821197743913,0.22698023990485733,0.6462639402378645,0.892487142288995,0.41273350598469116,0.36405394031158717,0.2949400435055293,0.6358775972241442,0.5724542804874653,0.9870349881840649,0.9728973800183809,0.8737150010381713,0.839237076200399,1,CGD,h0.3
g1.05+h0.3,0.5042304402070766,0.48667338944812494,0.36138465727986424,0.227824306367653,0.6433069584493893,0.8913421146801626,0.41407109614922144,0.35316544625439195,0.2984046102223825,0.6350929622546384,0.5724187142583995,0.9868987434045328,0.9724772009906959,0.8724363795632447,0.8398153840249184,1,CGD,g1.05+h0.3
g1.10+h0.3,0.5008296628748844,0.4824500421051219,0.3681311882058406,0.22869185451910765,0.638745399840173,0.889162952034941,0.4145696865121012,0.33717689835653003,0.30001328512974784,0.6334233562309902,0.5714855703903235,0.98661042299724,0.9716062580189075,0.8701749264317603,0.8401822830768866,1,CGD,g1.10+h0.3
base,0.47065479647478553,0.5086496831027568,0.31909043936615217,0.2456373329428175,0.6360099210719503,0.883846349170525,0.40647476163512986,0.23557938325979796,0.2723661500027667,0.6265989369054724,0.5603567177767569,0.9855161056639127,0.9698768934676975,0.864381703881,0.8302579809013265,5,CGD,base
g1.05,0.47258072892274294,0.508546820558825,0.32562852315797947,0.2468033133414966,0.6349803032334125,0.8836271453738153,0.4091195230722527,0.23732716156673817,0.2766988998728842,0.6267109474061796,0.561982241027486,0.9855298362625984,0.9698562908661273,0.8639921919333238,0.8311962117307161,5,CGD,g1.05
g1.10,0.47368096943734095,0.5080076321706736,0.3315585303943805,0.24802201823839867,0.6327341219900864,0.8828580417060917,0.41127507792635565,0.23779917582462365,0.27979311926820827,0.6262496758788327,0.5629433001616797,0.9854573111011641,0.9695983282022267,0.8630056425745241,0.8317928411792364,5,CGD,g1.10
g1.15,0.4737100920371671,0.5069690115126116,0.3367715568852243,0.24928905998370718,0.6292195376525039,0.8813028605389197,0.41286866016130624,0.23636198540489384,0.2814557021109268,0.625068914863318,0.5632385179912128,0.9852612860183165,0.9689718102668371,0.861250068709146,0.8321144720368081,5,CGD,g1.15
g1.20,0.4724877164856861,0.505367849428726,0.34118185536613366,0.2505974155707558,0.6244063087153913,0.8786416597656034,0.4138377269175307,0.23258691684577543,0.2816953416065651,0.6229772817656192,0.5629154587230548,0.9848956767912467,0.967784272371132,0.8585387282601079,0.8325264229459949,5,CGD,g1.20
h0.3,0.4720806645707197,0.5084944983473025,0.3244374565813518,0.24595760205139122,0.6350863999264282,0.8835298736094491,0.40851940282904475,0.23661514372812137,0.2760069263935116,0.6265194034457915,0.5613696954532572,0.9855088598636514,0.9697918449661613,0.8639448072451157,0.8308875796415622,5,CGD,h0.3
g1.05+h0.3,0.4732041517929948,0.5079743867325964,0.3306868546634777,0.24720295587836763,0.6321298972658946,0.8825118108127262,0.41076783466371347,0.23756721095669409,0.2790117589793646,0.6257822242522109,0.5623162910417677,0.9853972955368869,0.969407121020923,0.8627107288787795,0.8316307425155696,5,CGD,g1.05+h0.3
g1.10+h0.3,0.4730640047395581,0.5068070555886293,0.3361244113669317,0.24850698241405786,0.6276410888568307,0.8804747594790492,0.4123411689725228,0.23629276788373468,0.2804517595958422,0.6241379240515366,0.5624212539909706,0.9851346991711607,0.9685468607459341,0.8605061726209526,0.8320528943115784,5,CGD,g1.10+h0.3
base,0.4732412940931039,0.4997811975532655,0.3170063157177636,0.24397266826133818,0.6211610291643229,0.8821398529338934,0.4007522217791464,0.24993990671645605,0.2726909993841497,0.6423769615453513,0.557227813737646,0.9850972231288035,0.9685854179500305,0.8622552684032349,0.8278027638503621,6,CGD,base
g1.05,0.47391111726596924,0.499021672228203,0.3238644808902068,0.24489693194059786,0.6196820635565806,0.881787568555967,0.40325404111625585,0.24670280113530657,0.27623865427363287,0.6422293239096443,0.5585773960591898,0.9850820065209293,0.9685031322393678,0.8616875923935273,0.8285394480022983,6,CGD,g1.05
g1.10,0.4736898903753605,0.4978096406841176,0.3302100184397803,0.24585604239222794,0.6169609516931377,0.8809368393121993,0.4052904215142213,0.24146743607289223,0.27883733915562897,0.6415117934658942,0.559355654841434,0.9849882428639937,0.968216772464862,0.8605594044641329,0.8292223042203773,6,CGD,g1.10
g1.15,0.47243354576631524,0.4960866487250872,0.33589021540981134,0.24684461243871558,0.6129601538387199,0.8793871646692225,0.4067727434468269,0.23410415825726757,0.2802822080353698,0.6401016391784546,0.5595097958878209,0.9847825055170658,0.9676219283460163,0.8587079910026242,0.8297652163971175,6,CGD,g1.15
g1.20,0.47004586646827945,0.4937948650722489,0.3407677400156536,0.24785472991659718,0.6076664567160487,0.8768700290889733,0.4076201211849462,0.2247044205368927,0.2804837930266013,0.6378425368512645,0.5588986791284594,0.9844221641649084,0.9665674268798283,0.8559514072185674,0.8299065705740342,6,CGD,g1.20
