model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,mode
none,0.457463229601418,0.49334434637215757,0.28187330136012206,0.17780587111685953,0.6205114612156158,0.8658474556452297,0.37918201329567996,0.3027943242414478,0.19957034727263728,0.6165735139583759,0.5473589889959481,0.9814321077952876,0.9610802184718804,0.8508075389535324,0.8164262402085377,3,BAH,none
sqrt,0.4572272335159535,0.49129625143765654,0.28400166735219384,0.1778271946010718,0.6212189918104836,0.8659681698624311,0.37909932072045965,0.29988506097808626,0.20119066802720412,0.6168661780832669,0.5471401150793528,0.9814792810769397,0.961200275146745,0.8509197626234517,0.8157180291980732,3,BAH,sqrt
std,0.45745806667453526,0.4915624173738185,0.2845161903265351,0.17867595484906892,0.6206224110288782,0.8664648209511986,0.3794873297795459,0.2991018354099783,0.20172266765610505,0.6173041437269791,0.5479591010698884,0.9815520240809326,0.9613993814496593,0.8512484103387294,0.8172689518815263,3,BAH,std
none,0.4660153807812986,0.49475457860271627,0.30507890689394146,0.23805758632414073,0.6180416954979608,0.8783967123674319,0.3929328710747256,0.23912640876724414,0.2636823942155461,0.6386689694472927,0.5534832599568691,0.9843617800607899,0.9671612979987686,0.8589375744192287,0.8258274538876406,6,CGD,none
sqrt,0.46690493031923386,0.4967127647642256,0.30469622336734736,0.23876516417799046,0.6180160293347147,0.8785150262228218,0.39365401883629686,0.24182794415950498,0.26402845572829675,0.638844926040553,0.5546529556795913,0.984379385653776,0.9672102664684961,0.8590417716939086,0.8268962070620457,6,CGD,sqrt
std,0.4667419157734022,0.4963269724644591,0.30477597251605754,0.23904404971540347,0.6176710452783657,0.878548071777852,0.39354457537760323,0.24131261060446016,0.26394719462634986,0.6389408631239121,0.5540022042975541,0.9843913113253402,0.9672526152880294,0.8590620217959105,0.8253759985264566,6,CGD,std
none,0.43608188475726284,0.5201699488750687,0.2636878559235051,0.225162997602191,0.6309247802293394,0.8539725623654855,0.3741107567928204,0.21343787950001755,0.19460461575863372,0.6281488222904712,0.5467260361036649,0.9801485682948842,0.9585941925765663,0.8392837494908518,0.8178477263655463,7,BAH,none
sqrt,0.4357079694265587,0.5191001779760938,0.2644384561633148,0.22529195661352017,0.6325145123618143,0.8541086408249232,0.3742173856155062,0.210148556885,0.19533133141551448,0.6288957168994294,0.5469269101530324,0.9801897646391653,0.9586804892271247,0.8392756749468306,0.8177508966621193,7,BAH,sqrt
std,0.43606198508783234,0.5197191368041306,0.2645767055213446,0.22535652404653073,0.6322474227955821,0.8542209346172873,0.37448588233693225,0.2116833389350955,0.19500054433930178,0.6287879024244851,0.5476152136562755,0.9801992587602608,0.9587473623885814,0.8394865861061213,0.8190065874736955,7,BAH,std
none,0.49702084964279664,0.4854534063522417,0.33474289788794803,0.22314569888884242,0.6427077981370866,0.8894377304496612,0.40306119343259517,0.35057237067994296,0.2827036822241921,0.6331416326147119,0.5679726270483474,0.98643409627939,0.9718045070770279,0.8706660677164096,0.8366411204866,1,CGD,none
sqrt,0.4973320322876525,0.48538929405478437,0.3355333155743742,0.22225371212673026,0.6429519530588073,0.8895543727993646,0.40321458290102447,0.35053002183363935,0.2838539427461629,0.6331769807937049,0.5684604201438503,0.9864436869046341,0.9718501851849565,0.8708177155153982,0.8371558154190345,1,CGD,sqrt
std,0.4973180828634822,0.4857981647972409,0.33492544058085816,0.22317349594418176,0.6427819992338254,0.8896078864589914,0.40328563368898357,0.3506840675880399,0.2830997951219836,0.6337783319105753,0.5688098283275169,0.9864507870256882,0.9718844411952311,0.8707845681640792,0.8378957653494084,1,CGD,std
none,0.46521399893916454,0.5059639710011643,0.30769672459518277,0.24040105286840327,0.6317979148914914,0.8802543687795124,0.39989344179771674,0.2305926560494694,0.2640297738453029,0.6235451617647663,0.5582152515680345,0.984818979984673,0.9685246079589583,0.8610863713120018,0.8302810129006988,5,CGD,none
sqrt,0.4642718641016389,0.5046411207084015,0.3071063379713967,0.2402926572156023,0.6326951121626172,0.8803038775348355,0.3991646559423799,0.22700836880411399,0.2637317180913056,0.6238586072177166,0.5577209301644251,0.9848174583025735,0.9685537731602838,0.8611509895546098,0.8290159570540782,5,CGD,sqrt
std,0.46476908045212284,0.505062789030043,0.30845327352338014,0.23995495610589926,0.6322607513134816,0.8804046356598823,0.3997982355673112,0.22741368528139702,0.264900751704927,0.6236039331864273,0.5583062742482199,0.984846846972469,0.9686065583366761,0.8612995344631623,0.8296105513774225,5,CGD,std
none,0.4617063035125775,0.48860370850653606,0.28967580002646887,0.1639220183879565,0.6417856977586898,0.8644624172379929,0.377428751938482,0.3159396008007782,0.21180611299006813,0.6165047390599319,0.5451403083239196,0.981048960633009,0.9600140584968947,0.8499223271952502,0.8162713501619847,8,BAH,none
sqrt,0.4626122843778865,0.4895542533919716,0.2910850039925243,0.16328129540452782,0.6436022310117574,0.8647605916630938,0.3783845783573321,0.3178698928640255,0.21267805741657816,0.616666403267361,0.5457558214615582,0.9810861041942489,0.9601317761453436,0.8504643094166863,0.8163721504739158,8,BAH,sqrt
std,0.4613603334431231,0.4876917911732815,0.2902326207451199,0.16241679398467068,0.643265853730823,0.8645155194485157,0.3771391843970628,0.31460451699110836,0.21189351757364064,0.6163165827195206,0.5448233653850484,0.9810469231616701,0.9600652130905434,0.8501649952332524,0.8153495875693983,8,BAH,std
