model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,p
p=0.0,0.457463229601418,0.49334434637215757,0.28187330136012206,0.17780587111685953,0.6205114612156158,0.8658474556452297,0.37918201329567996,0.3027943242414478,0.19957034727263728,0.6165735139583759,0.5473589889959481,0.9814321077952876,0.9610802184718804,0.8508075389535324,0.8164262402085377,3,BAH,0.0
p=0.15,0.455975937592102,0.4923422174582721,0.27854057329675236,0.17886429774103235,0.6195625311347961,0.864673175218327,0.3776494563074169,0.3010083868711512,0.19720972217140706,0.616600234871312,0.5465058635187895,0.9812648249303364,0.9606623282972243,0.849367502121206,0.8162672990642951,3,BAH,0.15
p=0.3,0.45613860525590527,0.4925322980576125,0.2787673841271127,0.17862756317239895,0.6185348791651895,0.864587382375787,0.3777165376385543,0.30150089900047233,0.1979386873723893,0.6161085810604406,0.5458643798098582,0.9812447054890104,0.9606351721091464,0.8492410647392581,0.8146473725714223,3,BAH,0.3
p=0.5,0.45602410854537573,0.49203381983073685,0.27920989335859725,0.1786829118198137,0.6160879744058272,0.8644800709193796,0.37751802270735707,0.3008361529977674,0.19875327145356667,0.6154124235196772,0.5457892288485201,0.9812342115092331,0.9606174703901967,0.8491636064587104,0.8148015336860048,3,BAH,0.5
p=0.0,0.4617063035125775,0.48860370850653606,0.28967580002646887,0.1639220183879565,0.6417856977586898,0.8644624172379929,0.377428751938482,0.3159396008007782,0.21180611299006813,0.6165047390599319,0.5451403083239196,0.981048960633009,0.9600140584968947,0.8499223271952502,0.8162713501619847,8,BAH,0.0
p=0.15,0.46111912830870827,0.48947690266721977,0.2859547890700538,0.16337578710081696,0.6416527182329111,0.8634199351935663,0.3763008861129689,0.31745633212128965,0.21031009074390078,0.6159931160146787,0.5441464713449365,0.9808571499954123,0.9596101068989407,0.8488697118370769,0.8149786904373044,8,BAH,0.15
p=0.3,0.46082167432464255,0.48817946954118063,0.28702301696364574,0.16353057047816652,0.6396956932924136,0.8634274806588089,0.37606129619693524,0.31539049779654205,0.2114555645042216,0.6154796573981758,0.544073518873532,0.9808640678910279,0.9596247224351379,0.8489937081336968,0.8149993960745227,8,BAH,0.3
p=0.5,0.46182656221904295,0.49018969179168903,0.2869737654133235,0.16370933274033633,0.640760549692143,0.8633217428259654,0.3769766875092785,0.31876062592081617,0.2117674427399803,0.6159749885777153,0.5442985837319875,0.9808718948120261,0.9596172169102215,0.8486160344445753,0.8145794317413911,8,BAH,0.5
p=0.0,0.4660153807812986,0.49475457860271627,0.30507890689394146,0.23805758632414073,0.6180416954979608,0.8783967123674319,0.3929328710747256,0.23912640876724414,0.2636823942155461,0.6386689694472927,0.5534832599568691,0.9843617800607899,0.9671612979987686,0.8589375744192287,0.8258274538876406,6,CGD,0.0
p=0.15,0.46538019415378246,0.4942132893189116,0.3050421484273173,0.23834033033112836,0.6158063410205019,0.8780840192557726,0.3925928170106769,0.2370191555380607,0.26360230938960555,0.638138652166689,0.5535405569551307,0.9843399936082653,0.9671035460680993,0.8584855724713615,0.825975280978219,6,CGD,0.15
p=0.3,0.4667379493188843,0.495507866805555,0.30716852726876853,0.23983235883633172,0.6149752222963174,0.8780218238471781,0.39411396475887933,0.239989833318584,0.2654184345571697,0.6382398068642391,0.553989181963083,0.9843566235313576,0.9671018030699543,0.8583630740230118,0.8266559644409195,6,CGD,0.3
p=0.5,0.4655502054957646,0.4936614890498301,0.3065643240457095,0.23814065352207894,0.6145623803678704,0.8776193880205899,0.3928835687147148,0.23690952822166017,0.26513494420495165,0.6374337077556417,0.5530634090416264,0.9843143269535383,0.9670003478269547,0.8578590009346592,0.82522021460179,6,CGD,0.5
p=0.0,0.49702084964279664,0.4854534063522417,0.33474289788794803,0.22314569888884242,0.6427077981370866,0.8894377304496612,0.40306119343259517,0.35057237067994296,0.2827036822241921,0.6331416326147119,0.5679726270483474,0.98643409627939,0.9718045070770279,0.8706660677164096,0.8366411204866,1,CGD,0.0
p=0.15,0.49608428514870595,0.48397584975339897,0.33517084797977487,0.2235434283332513,0.6407570503842229,0.8891919635525738,0.40251676371515543,0.34716698766917364,0.2824730908440045,0.6330283962595286,0.567716923616276,0.9864238827443058,0.9717526253245946,0.8702888473065029,0.8361176945132396,1,CGD,0.15
p=0.3,0.49683439523525125,0.4846845698781053,0.335561322461791,0.22287865720563604,0.6408905934702884,0.8888690779349645,0.40288192834663183,0.3488005643718405,0.2846849469098007,0.6325406256705195,0.5677786547644035,0.9863884573266881,0.9716839077828147,0.870046363210212,0.8367592938582742,1,CGD,0.3
p=0.5,0.4970436782759553,0.4842957306377045,0.33741301782883243,0.22204054636363063,0.6407252453245322,0.8887811500901752,0.4032677333215216,0.34853736619464776,0.28592053626684105,0.6319205832643076,0.5677375221762263,0.9864089557371037,0.971693395535124,0.8699360658651671,0.8361720764553704,1,CGD,0.5
p=0.0,0.43608188475726284,0.5201699488750687,0.2636878559235051,0.225162997602191,0.6309247802293394,0.8539725623654855,0.3741107567928204,0.21343787950001755,0.19460461575863372,0.6281488222904712,0.5467260361036649,0.9801485682948842,0.9585941925765663,0.8392837494908518,0.8178477263655463,7,BAH,0.0
p=0.15,0.4342709158564035,0.5205376323241837,0.25805176156033316,0.22559915764603905,0.6292640519918715,0.8523916190641012,0.37152618126363207,0.21449668345154663,0.19001922059660203,0.627827481760163,0.5445023548405837,0.9798989665068624,0.9579557586423467,0.8373609698220508,0.8152733945566483,7,BAH,0.15
p=0.3,0.43528221658741145,0.5211652792695981,0.2601184601063229,0.22608244140892422,0.6304405205728949,0.8525678791108304,0.3728513451665441,0.21564011810975192,0.19166842168971532,0.6281860362225062,0.5455098578293052,0.9799503657864548,0.9580799803011439,0.8375355487025985,0.8166009585850338,7,BAH,0.3
