model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,k
k=0.8,0.4354881063255688,0.5201699488750687,0.2620096626402574,0.22608149574081784,0.6309247802293394,0.8544533794851236,0.3734271127092594,0.21343787950001755,0.19190779436319538,0.6285363239858146,0.5463577016001038,0.9802099298487726,0.9587332095955784,0.8398076767647147,0.8174303231613911,7,BAH,0.8
k=1.0,0.43608188475726284,0.5201699488750687,0.2636878559235051,0.225162997602191,0.6309247802293394,0.8539725623654855,0.3741107567928204,0.21343787950001755,0.19460461575863372,0.6281488222904712,0.5467260361036649,0.9801485682948842,0.9585941925765663,0.8392837494908518,0.8178477263655463,7,BAH,1.0
k=1.2,0.43653915716896485,0.5201699488750687,0.265104738081443,0.2241834294432266,0.6309247802293394,0.853274783248749,0.3746648278349444,0.21343787950001755,0.19707247957167867,0.6277131864933472,0.5468920619360991,0.9800623394759687,0.9584012011066824,0.8384777850452494,0.81798749770367,7,BAH,1.2
k=1.4,0.436863333269179,0.5201699488750687,0.2662734396822724,0.2231437149628549,0.6309247802293394,0.8523625230190256,0.3750955936998936,0.21343787950001755,0.1993200594034983,0.6272298682487183,0.5468471126965095,0.979951339289214,0.9581542353599685,0.8373996081185878,0.8177764278590375,7,BAH,1.4
k=1.6,0.4370606754948889,0.5201699488750687,0.2672078619337851,0.22204498270623033,0.6309247802293394,0.8512385048740035,0.37540970718257394,0.21343787950001755,0.20135699654713257,0.6266993880853742,0.5466326741295443,0.9798156852496841,0.9578532951026988,0.8360599970486023,0.8173268838472353,7,BAH,1.6
k=1.8,0.4371411101512344,0.5201699488750687,0.2679224238076245,0.2208885492892569,0.6309247802293394,0.8499056453049323,0.37561408541338476,0.21343787950001755,0.203193563970384,0.6261223210998699,0.5463587786566897,0.9796555161277496,0.9574983805834615,0.8344704762950009,0.8169324548668995,7,BAH,1.8
k=2.0,0.43709964266984824,0.5201699488750687,0.268431818014522,0.21967592779827888,0.6309247802293394,0.8483670006526394,0.3757157962698317,0.21343787950001755,0.20484040803422876,0.6254993002846766,0.5458341187309103,0.9794709905796541,0.9570894915043314,0.8326431154737862,0.8159872199016913,7,BAH,2.0
k=2.4,0.4367079151999416,0.5201699488750687,0.2688938484864249,0.21708903973089202,0.6309247802293394,0.8446850361763102,0.37563957347319943,0.21343787950001755,0.20760811824177366,0.6241181719914133,0.5447999569776034,0.9790296010566464,0.9561097900736406,0.8283248596276668,0.8146685905624629,7,BAH,2.4
k=3.0,0.43538369019006223,0.5201699488750687,0.26840709686625147,0.21283455390497882,0.6309247802293394,0.8376987795324999,0.37492907639649004,0.21343787950001755,0.21060365005587905,0.6217201876465785,0.5426268101720502,0.9781898687048572,0.9542354306909918,0.8203789440614833,0.8119580733726356,7,BAH,3.0
k=0.8,0.4959950831531931,0.4854534063522417,0.3316643821570682,0.2236533285683675,0.6427077981370866,0.8899455723611721,0.4020002504925597,0.35057237067994296,0.2783695744627038,0.6333027948538035,0.5677447508781809,0.98647565442659,0.9719316692456963,0.8712786752673303,0.8367920468332452,1,CGD,0.8
