model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,k
k=0.8,0.4588360823527049,0.4940851925938039,0.2830109069432037,0.17898386172116962,0.6215583896974335,0.8664090330755494,0.3801474128112504,0.30754120372726823,0.1994697089328891,0.6173286317674437,0.5476475365201319,0.9815206667246668,0.9612879750669795,0.8514201535751914,0.8172018085286913,3,BAH,0.8
k=1.0,0.45946215494463394,0.4940851925938039,0.2850709461540676,0.1781740152419856,0.6215583896974335,0.8659497082344016,0.3807669494839169,0.30754120372726823,0.20238815122635986,0.6170227384768647,0.5478466217672454,0.9814589096623629,0.9611487110562433,0.8508707231090569,0.8171639589678419,3,BAH,1.0
k=1.2,0.45995198523556335,0.4940851925938039,0.28681448219819233,0.17731519328055723,0.6215583896974335,0.8652844609841599,0.3812659573675332,0.30754120372726823,0.2050347700532223,0.6166715050035683,0.547925168807864,0.9813727987212292,0.9609582504291158,0.8500522876099467,0.8170296961518364,3,BAH,1.2
k=1.4,0.4603108549555569,0.4940851925938039,0.28826073525139007,0.17640853871287593,0.6215583896974335,0.8644154559128738,0.38165148812300465,0.30754120372726823,0.2074226879301968,0.6162755221501688,0.5478912239144221,0.9812624403697281,0.9607165932598791,0.8489734000856113,0.8168153136842571,3,BAH,1.4
k=1.6,0.4605364484493861,0.4940851925938039,0.2894296321523818,0.17545537203891756,0.6215583896974335,0.8633450752838134,0.3819308724971774,0.30754120372726823,0.20956621584733184,0.61583544546714,0.5475937361339028,0.9811279690398226,0.9604237392892845,0.8476434569292027,0.8159996654599261,3,BAH,1.6
k=1.8,0.4606459988847694,0.4940851925938039,0.2903413231747486,0.17445720404286028,0.6215583896974335,0.8620758800856314,0.38211154908206224,0.30754120372726823,0.21148025145755137,0.6153519945716603,0.5472689020599524,0.9809695466247288,0.9600796888037711,0.8460725373428426,0.8152946852448006,3,BAH,1.8
k=2.0,0.46064708511910324,0.4940851925938039,0.2910158120160402,0.17341569790965294,0.6215583896974335,0.860610568177657,0.3822009262408823,0.30754120372726823,0.21317984537582943,0.6148259325052476,0.546958737044139,0.9807873609976687,0.9596844416517637,0.844271246083275,0.81480795832053,3,BAH,2.0
k=2.4,0.46032487319379495,0.4940851925938039,0.29173054106643553,0.1712100854081691,0.6215583896974335,0.8571028664373408,0.38213457533444584,0.30754120372726823,0.2159946039716131,0.6136492309923944,0.5459714286739917,0.9803525749964404,0.9587403571327348,0.8400217669705982,0.813197721841108,3,BAH,2.4
k=3.0,0.4591315165622639,0.4940851925938039,0.2914849881220935,0.16762622050506149,0.6215583896974335,0.8504421371071488,0.38152281276801375,0.30754120372726823,0.2189618804387422,0.6115856890954507,0.5440640041216721,0.979528230571349,0.9569402564033864,0.8322004881877152,0.8104151617252497,3,BAH,3.0
k=0.8,0.4651800726047426,0.5067791966787071,0.3059192343311502,0.24138349679020626,0.6344460211538774,0.8807082240553445,0.3998179001419555,0.2322189703651741,0.26144842521071093,0.6246471710434343,0.5577151307732867,0.9848454152628748,0.9686199748881863,0.8616949236741861,0.829723573695963,5,CGD,0.8
k=1.0,0.4661859959436792,0.5067791966787071,0.30920037164545466,0.2397345857488832,0.6344460211538774,0.8800788700440295,0.40090178763779605,0.2322189703651741,0.2659209511636998,0.6241844457781411,0.5579669228367067,0.9847812079068499,0.9684498521705851,0.8609630510740441,0.8296130160238614,5,CGD,1.0
k=1.2,0.46690056898476473,0.5067791966787071,0.31181691250076293,0.2380105721778,0.6344460211538774,0.8791510423461828,0.40171169628321457,0.2322189703651741,0.2696405461123907,0.6236926858264671,0.5580252913312963,0.9846837414366049,0.9681937026825421,0.8598670342102268,0.8294985791923903,5,CGD,1.2
k=1.4,0.46733880338218015,0.5067791966787071,0.3138484097371241,0.23621602992190074,0.6344460211538774,0.8779296615376475,0.40227983398488065,0.2322189703651741,0.27267715791300096,0.6231733422392212,0.5577270539774665,0.9845537962672773,0.9678515266678844,0.8584257720715359,0.8287551627813932,5,CGD,1.4
k=1.6,0.4675367030574449,0.5067791966787071,0.3153665898548723,0.23435563202323997,0.6344460211538774,0.8764198587284142,0.4026353131399572,0.2322189703651741,0.2751061062333469,0.6226278798835574,0.5573219943742561,0.9843921628249183,0.9674233237167476,0.856659003152117,0.82810431768269,5,CGD,1.6
k=1.8,0.4675159791220801,0.5067791966787071,0.3164354066499861,0.23243412065151015,0.6344460211538774,0.8746268800218008,0.4028041679393877,0.2322189703651741,0.27700085270383223,0.6220577659448736,0.5567963984916856,0.9841996372141341,0.9669090942565777,0.8545869112034753,0.8274099473597923,5,CGD,1.8
k=2.0,0.46729313100385844,0.5067791966787071,0.31711158424937624,0.23045623737806759,0.6344460211538774,0.8725559962385865,0.40280956078929303,0.2322189703651741,0.2784291949393544,0.6214644487521688,0.556069272453906,0.9839770164593823,0.9663088377903888,0.8522297876006164,0.8264161638559556,5,CGD,2.0
k=2.4,0.46632700216140477,0.5067791966787071,0.31748064318080493,0.22635010434931763,0.6344460211538774,0.8676013598230073,0.4024097613163974,0.2322189703651741,0.2801218871676486,0.6202138919362599,0.5542945833502674,0.9834446634925986,0.9648502445048566,0.8467406500447671,0.8241109535199921,5,CGD,2.4
k=3.0,0.4638150021816028,0.5067791966787071,0.3161640687460774,0.21988266816461083,0.6344460211538774,0.8582121857238891,0.401026196217945,0.2322189703651741,0.28045406898643865,0.6181990810716109,0.5512300000971005,0.9824400584125812,0.9620171551649694,0.8368578123371223,0.8204884093808299,5,CGD,3.0
k=0.8,0.4674885144248629,0.49796048957421357,0.30314908505662813,0.24048610388363278,0.6196821826294998,0.8790393656659672,0.39385414226476545,0.2462273460221439,0.26142338826892303,0.6399368500764808,0.5538654771923319,0.9844259780049901,0.9673335167350134,0.8596537464499894,0.8261048949748093,6,CGD,0.8
k=1.0,0.46848449863423364,0.49796048957421357,0.3066715482890333,0.23926688885226316,0.6196821826294998,0.8784097310094269,0.3951289097495153,0.2462273460221439,0.26555742831144646,0.6394701111955364,0.5543271801739537,0.9843621459905374,0.9671681639751624,0.8588940669653018,0.8263720936177644,6,CGD,1.0
k=1.2,0.4691918860918094,0.49796048957421357,0.3095323690385743,0.2379643854962023,0.6196821826294998,0.8774924564802687,0.39612442692468874,0.2462273460221439,0.26902460421997215,0.6389533637988862,0.5543312327254307,0.984265856173115,0.9669233057364571,0.8577801004298347,0.8258479585207942,6,CGD,1.2
k=1.4,0.46964487998154375,0.49796048957421357,0.31179972993841226,0.23658243216476899,0.6196821826294998,0.8762918062157621,0.3968688659756467,0.2462273460221439,0.2718780309928365,0.6383878658345734,0.5541888051605234,0.9841377741261205,0.9665989422302729,0.8563282364963767,0.8253328987267741,6,CGD,1.4
k=1.6,0.46986003566417045,0.49796048957421357,0.313537737688278,0.23512510843221954,0.6196821826294998,0.8748122966064418,0.39738877495507086,0.2462273460221439,0.27417549895655025,0.637774948387233,0.5538463753930447,0.9839785811854628,0.9661950731827046,0.8545558616007429,0.8246593208571705,6,CGD,1.6
k=1.8,0.46985918124381504,0.49796048957421357,0.3148059089392289,0.23359666154913328,0.6196821826294998,0.8730586138919425,0.39770885967186115,0.2462273460221439,0.27597486941625377,0.6371159884900377,0.5533640322155583,0.9837889701919553,0.9657116989001172,0.8524810247507904,0.8238967850893707,6,CGD,1.8
k=2.0,0.4696643619978299,0.49796048957421357,0.31565894680904677,0.23200143319725244,0.6196821826294998,0.871035534470322,0.39785188361824486,0.2462273460221439,0.27733133356375445,0.6364123839999748,0.5528261976405423,0.9835696408999848,0.9651488189701827,0.8501221358129069,0.8232474045095758,6,CGD,2.0
k=2.4,0.468744462771399,0.49796048957421357,0.31631387554915796,0.2286281196051495,0.6196821826294998,0.8662003907205951,0.3976878471819498,0.2462273460221439,0.2789153565363599,0.6348768675757157,0.5513239112504017,0.9830446423189346,0.9637845427203667,0.8446262038549018,0.8214544569873345,6,CGD,2.4
k=3.0,0.4662648601903803,0.49796048957421357,0.3152742152862663,0.2231751898282582,0.6196821826294998,0.8570457066833811,0.39657072994132436,0.2462273460221439,0.27909895079671193,0.6322734955815008,0.5484085489290342,0.9820518107023052,0.961141838787463,0.8347083620608386,0.8180463455708448,6,CGD,3.0
k=0.8,0.43686858410509677,0.521250101218101,0.26397167582919506,0.2262243639235121,0.6326762372241412,0.8546104180593245,0.37486198457740627,0.21616516454382803,0.1936739798743324,0.6291500972709647,0.5469633147630345,0.9802265637504392,0.9587890084167536,0.8400006301621624,0.8176009608741052,7,BAH,0.8
k=1.0,0.437550794888052,0.521250101218101,0.26600134754970417,0.22533514081032832,0.6326762372241412,0.8540585578584265,0.37571392200951115,0.21616516454382803,0.19669099073250096,0.628780513565023,0.547226408044416,0.9801564099534029,0.958637989108279,0.8393758413939114,0.81751600714508,7,BAH,1.0
