model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,variant
base,0.43604796305491367,0.5201435200700195,0.26369120907026833,0.2251202732469894,0.6308265760446364,0.8539708422130529,0.37409143709803394,0.21334625199776747,0.19459948566461338,0.6281108329387408,0.5466140902288871,0.9801485403921583,0.9585940851252056,0.8392878133429008,0.8175835544376321,7,BAH,base
+row+col,0.41455847283891245,0.4536506712738564,0.2596267104916455,0.22103866945896267,0.6303433525882204,0.8489481462234261,0.3485923207143325,0.14914325026974648,0.19231962331163227,0.6269764798344535,0.5326108143184601,0.9796035552073712,0.957498315690187,0.8330976483165143,0.8056194760303755,7,BAH,+row+col
+rowXinst+colXinst,0.4147349573567443,0.45421082529993806,0.262179581395719,0.22343819348994948,0.6237847461253803,0.849141348361813,0.3497979604635673,0.14800234032611614,0.19372810939626448,0.6245393138803977,0.533143524719479,0.9797041437615533,0.957646780935134,0.8321808293495254,0.8044809436620309,7,BAH,+rowXinst+colXinst
+edge,0.4357475848411394,0.51895154741421,0.26375351273003894,0.22605119612326227,0.6310866384708637,0.8543924142177521,0.373830345475712,0.21112478488009834,0.19459973722545776,0.629191669592019,0.5469488849669573,0.9801569986861848,0.9586775417427874,0.8398964608312997,0.8190367655853547,7,BAH,+edge
base,0.46518437616323194,0.5059117798314352,0.30768427933452247,0.24039588061661077,0.6318116035125385,0.8802523667555469,0.3998674943556596,0.23049443599230798,0.2640141975798971,0.6235482366935441,0.558209576788245,0.9848187662872532,0.9685241827984268,0.8610822253137194,0.8303002270016235,5,CGD,base
+row+col,0.43832208163902725,0.4442252851874327,0.295290216391273,0.23260285717319523,0.6300839069088312,0.8695466164872201,0.36875406005950334,0.16159340099677016,0.25365569335725513,0.619979800401925,0.5435288883141961,0.98320912766139,0.9650484181104936,0.8499744978281819,0.8235068330551377,5,CGD,+row+col
+rowXinst+colXinst,0.4472346519806121,0.4599704532070267,0.3045956612422551,0.2382708005219903,0.6212462478478766,0.8740156077851539,0.379033311994619,0.17881314889541366,0.2629349501586436,0.6192308130745389,0.5480100261332242,0.9840416956680444,0.9668967679836372,0.8534080749063147,0.8221970314170889,5,CGD,+rowXinst+colXinst
+edge,0.46410338643385496,0.5034932994293911,0.30697068694250623,0.2381391971032547,0.6316011660725115,0.880150824942092,0.39828849617701884,0.22768608727702433,0.2640687708017457,0.6228663038845885,0.5572699079393794,0.9847602312538537,0.9684084153233947,0.8611868132122298,0.829748428888687,5,CGD,+edge
base,0.4616702695341536,0.4885397329798616,0.2896943099920055,0.1639216661229346,0.6418139703268873,0.8644577623581535,0.37741065372984345,0.3157746806672206,0.2118189338257907,0.6165051334733318,0.545136347682531,0.981048527068435,0.960013051322802,0.8499084822338071,0.8162170576233824,8,BAH,base
+row+col,0.43111142807698033,0.4302020331936718,0.2855123045952921,0.16073835910175543,0.6407336207949801,0.8594830588108748,0.3508577315552863,0.20584881398605787,0.2115300846109671,0.614696012201657,0.5311000497282619,0.9804369080851841,0.9587421182179289,0.844636624235939,0.8085465458599794,8,BAH,+row+col
+rowXinst+colXinst,0.4340686080430446,0.43484404341131555,0.2878835279573047,0.16175139383007345,0.6332207446010782,0.8596141657734886,0.3533755457289269,0.21795414533709873,0.21233102102389304,0.6119985170066633,0.5309000696650105,0.9805498271136734,0.9589288275078607,0.8435562669212602,0.8057438732643075,8,BAH,+rowXinst+colXinst
+edge,0.4587220198614174,0.4830580133575135,0.29039959603684734,0.1631846775026222,0.6411747723000435,0.8644786340536543,0.3752368821025079,0.30396240729620083,0.2117508423306527,0.6166454268325674,0.544197598328643,0.9810100171438709,0.960000845768277,0.850018009011365,0.8162722606583852,8,BAH,+edge
base,0.45742873706108245,0.49327971703275963,0.28187059507399803,0.17776472486602132,0.620500914499156,0.8658436417975126,0.3791462733543325,0.3026855496626177,0.1995768068643592,0.6165494500705111,0.547320481011007,0.9814307411554587,0.961077609574259,0.8508087794128358,0.8163398001108313,3,BAH,base
+row+col,0.42455468329358803,0.4296042285267861,0.2787755617511293,0.17289317637139284,0.620129112151154,0.8594690402346754,0.3496002892909458,0.1873556999521211,0.19927414538989036,0.6136650464989537,0.5313665841123758,0.9807250820098955,0.9595811822147651,0.8431586558773104,0.8074056561380337,3,BAH,+row+col
+rowXinst+colXinst,0.42567053463682775,0.4305542367596961,0.28232168712509714,0.17382784271275928,0.6111874775813447,0.8601159301906445,0.350878711759702,0.18945583056155646,0.20194712905969994,0.6112681096558996,0.5304053553786412,0.9809016927195278,0.9599104591455484,0.8428037176172886,0.8039275324697949,3,BAH,+rowXinst+colXinst
+edge,0.4557894303331622,0.4895067700016953,0.28229763425769366,0.17826089090395267,0.6196457149595584,0.8659456448884876,0.3776784774790538,0.29581918128474993,0.19978935803375916,0.617167181534599,0.5468451193707907,0.981429366103188,0.9611155328658492,0.8506777852751495,0.8174047934663758,3,BAH,+edge
base,0.4660752753461695,0.4948239187487708,0.3051188597584048,0.23814368828117422,0.6180016096311608,0.87840524955712,0.39298539870678517,0.23928272381918078,0.2637059814490637,0.6386890189288024,0.5536246562304,0.9843632318947522,0.9671640880398689,0.8589448234169916,0.8261631075737202,6,CGD,base
+row+col,0.4295476030503331,0.41422778653902875,0.29439423948730287,0.2119265085072937,0.6165658566278944,0.863767445881663,0.35276522206477157,0.141322191392239,0.25480475835264077,0.6269899177708191,0.5335685326349936,0.9822717602551952,0.9626281398764853,0.8419749236567061,0.8148308381374015,6,CGD,+row+col
+rowXinst+colXinst,0.4416740790848625,0.439622084140879,0.30136574501562835,0.2204853964696763,0.6083313076768524,0.8700431841694962,0.3663773296528767,0.16944313552478557,0.2618189376057137,0.6283729824284707,0.5396279393759427,0.9832808997216849,0.9649096992921871,0.8483037911563106,0.8159659150386859,6,CGD,+rowXinst+colXinst
+edge,0.4641287649178125,0.49131548987420753,0.3045103040172294,0.23801666142977776,0.6177860490705788,0.8782790572478119,0.39129649538642075,0.2315889171173496,0.26361744552424154,0.63926530966529,0.5536205225359544,0.9843297992827179,0.9670897643468906,0.8585516468283337,0.8267567936865347,6,CGD,+edge
base,0.49702672444148865,0.4854607589092117,0.33474626409399166,0.22313981753089351,0.642755549340504,0.8894385328213316,0.4030676977388707,0.3505874918062971,0.28270142775659496,0.6331458413033331,0.5679945079918581,0.9864341518199109,0.9718046372729789,0.8706661558445116,0.8367277599244948,1,CGD,base
+row+col,0.46129724565318986,0.42145770147001366,0.3232607441696829,0.20963031748278282,0.6413485018010755,0.8757479097305845,0.36922670783908956,0.24477079860946163,0.2744280604786377,0.6244899866279193,0.5510443253377749,0.9845849503496364,0.967774447973238,0.8553979069057586,0.8299026306511534,1,CGD,+row+col
+rowXinst+colXinst,0.4678030741762839,0.43383669459839413,0.3303097029017821,0.21588707273086008,0.63434130816348,0.8811815398820244,0.37761102967636195,0.25206400381389804,0.28104404353569185,0.6282429961938801,0.5543619938296506,0.9854723294082163,0.9697801352018532,0.8601639191856205,0.8281897655100412,1,CGD,+rowXinst+colXinst
+edge,0.49011311766908744,0.47520069426026706,0.3336456919141336,0.22287641676640393,0.6425367277738073,0.8888291034917798,0.39818069522613136,0.3219785927148249,0.2831943378540144,0.6344581619885328,0.5664344170315478,0.9863388506598407,0.9716079450978585,0.8698380192967067,0.836647895091005,1,CGD,+edge
