compound,markers,expected,n_samples,measured_effect,measured_p,model_effect,model_p,verdict,chemical_role,visible_to_model
Rapamycin,ribosome,down,119,-0.1592199951410293,1.2940502363032592e-29,-0.1650315374135971,4.809297443213152e-32,data+model,train,True
Rapamycin,heat_shock,up,119,0.1370608210563659,0.0551975244716417,-0.0570934675633907,0.5816874920168886,neither,train,True
Tunicamycin,upr_er,up,37,0.4582544863224029,6.614933340423502e-11,0.3754254281520843,5.841890775147813e-10,data+model,train,True
Geldanamycin,heat_shock,up,38,-0.0306984968483448,0.0972940480515762,-0.0912110432982444,0.0033163461365385,neither,train,True
Hydroxyurea,rnr_dna,up,120,1.3093523979187012,3.0041463438537665e-14,-0.008349061012268,0.7902662816679681,data only,val,False
Sulfometuron methyl,aa_biosynth,up,40,0.130980297923088,1.1834730390828927e-05,-0.0232783257961273,0.1409858836113902,data only,val,False
NaCl,osmotic,up,120,0.5031646490097046,3.337244375065698e-09,0.4335826337337494,1.1243321813100018e-08,data+model,train,True
Sorbitol,osmotic,up,116,0.3473203480243683,4.3736281597246e-08,0.2598307430744171,1.335202906102431e-06,data+model,train,True
Cisplatin,rnr_dna,up,117,0.4817946851253509,6.30042573593951e-07,0.3917629718780517,1.2285881723731422e-06,data+model,train,True
Parthenolide,oxidative,up,39,0.2682875394821167,0.0002398403588,0.1782384216785431,0.0274771558726224,data+model,train,True
