config,mean,sem,n,delta_vs_ref,delta_sem,beats_ref
seedbag x3 + winners,0.4505331550296938,0.009095469587619347,6,0.001426460231678232,0.00024711930426440964,True
winners combined,0.4501504341132116,0.009157780758164253,6,0.00104373931519595,0.0001263883175215009,True
winners + leaves 127,0.45005856590368976,0.009015125775766124,6,0.0009518711056741569,0.00031460741559139886,True
seedbag x3,0.4498652334333973,0.009054264906053695,6,0.000758538635381741,8.154615886751553e-05,True
REF (26b pick),0.44910669479801557,0.009084497968150751,6,0.0,0.0,False
scale 0.925,0.44908705035700297,0.009044444039722554,6,-1.964444101266542e-05,8.000533117868048e-05,False
scale 1.075,0.44905212135343014,0.009123364532641965,6,-5.4573444585490995e-05,7.626173950412241e-05,False
leaves 127,0.4490440610449811,0.008950341003544136,6,-6.263375303447449e-05,0.0003389638563241346,False
scale 0.85,0.44898589981465636,0.009001385576868037,6,-0.00012079498335922552,0.00016589810473819808,False
scale 1.15,0.4489274805926325,0.009159871607415484,6,-0.00017921420538308253,0.00014827222680987293,False
