model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,secs
scale 0.85,0.42368220056477507,0.5153566327666642,0.2500402088894806,0.18903928520428723,0.590922991347068,0.8167845845325012,0.36551295104282266,0.19295582311951492,0.21777923135270444,0.5998599521639361,0.5362807957346325,0.9752634967220469,0.9480202525236332,0.7853384589057729,0.8077444844483137,scale 0.85,2,DHY210,206.6
REF (26b pick),0.423734991993245,0.5140786102563679,0.2507395265020917,0.1894675288490967,0.5899716364063542,0.8164649951433689,0.3653228580379158,0.19315039893526897,0.21859079153881356,0.5996855798641341,0.5358896474772472,0.9752369236349494,0.9479340279750245,0.7848608678627065,0.8071094064995842,REF (26b pick),2,DHY210,209.5
scale 0.85,0.4260662007490594,0.5064350263466574,0.2486256399027763,0.1762610320402659,0.599325137296924,0.8297720417406215,0.3602935040474835,0.19040697234721232,0.22356366740260925,0.6002876594851828,0.5443104498116312,0.9790500975210045,0.9562631416253564,0.8034830682404729,0.8175822369012503,scale 0.85,0,CEK,213.7
scale 0.85,0.455234538830735,0.44649962192070297,0.24918666855145416,0.1918576018351563,0.6038065104892395,0.8441579176040663,0.34498409977312006,0.3353638012371821,0.22190349880443647,0.6214978803985589,0.5310736463692419,0.9806882717098644,0.9597228160946503,0.8201164491010255,0.8083600939001603,scale 0.85,4,CEK,215.9
REF (26b pick),0.45451622290498045,0.5002362051175634,0.29430300486559113,0.22900714110723466,0.6189606342125291,0.8721209346972372,0.38991349620303284,0.21663177584380092,0.25132026194548135,0.6159142061098256,0.5486366749187155,0.9836481327000395,0.9659813460582753,0.8528710975143149,0.8202543214038941,REF (26b pick),5,CGD,223.9
REF (26b pick),0.45139252796584717,0.4847766449388095,0.28380953050897023,0.17585587873546585,0.6065711378150863,0.8612324163906675,0.3750185278828026,0.2908677013144793,0.19508773797074574,0.6105700843572794,0.5428663284847984,0.9810896615280243,0.9603182710223789,0.8453983582465858,0.811974791116538,REF (26b pick),3,BAH,226.3
REF (26b pick),0.4842399303718698,0.472699063605951,0.31917528088262487,0.21803410682904265,0.6303327491034775,0.8814282244359776,0.39036137414737804,0.32935775125637734,0.26805976509391866,0.6302333335078498,0.5571421065397121,0.9852672983360131,0.969317234459034,0.8622666772401614,0.8269340006657799,REF (26b pick),1,CGD,229.3
REF (26b pick),0.42604444241152417,0.5056657413872268,0.2495066929693948,0.17623641245507068,0.5989936133431655,0.8292301941126294,0.3603632212978249,0.1902915718888484,0.2240949934573814,0.600143828791271,0.5443180463233803,0.9790189921343337,0.9561489781372023,0.8028222064968071,0.8177901822201987,REF (26b pick),0,CEK,237.2
scale 0.85,0.4512265817925233,0.4856124697522351,0.2828578601168713,0.1763122480372322,0.6060663199501592,0.8615117064017184,0.3750773958160831,0.2912870315532569,0.19340371385153252,0.6106071792613499,0.5431204910213187,0.9811269644290764,0.9604071230718907,0.8457234455119702,0.8123364251200464,scale 0.85,3,BAH,242.6
scale 0.925,0.48394602710082363,0.47266249060528054,0.3183515982797842,0.2181635095619802,0.6300621719735805,0.8816129005094724,0.39004432331498573,0.32940395929679,0.2667854348449452,0.6302105935557125,0.5570685597252875,0.9852811129898273,0.9693634717898386,0.8624761839560171,0.8268776465436694,scale 0.925,1,CGD,243.2
scale 0.85,0.45416120827538325,0.5013273881238246,0.2924616303599962,0.22937764078591633,0.6182869420671957,0.8724745609029577,0.3896314329563111,0.21747573510410498,0.24875386492025453,0.6158026377704363,0.5486450814759692,0.9836757797235066,0.9660683934003936,0.8532995782044048,0.8203871135278412,scale 0.85,5,CGD,246.6
scale 0.85,0.4835446686754622,0.47248568917300493,0.31746357379585566,0.21828603962881485,0.62959042201731,0.8817595911570242,0.3896298202903254,0.3291934916420927,0.26544719803810135,0.6301204562094815,0.5569022362897807,0.9852910408462039,0.9693998956763858,0.8626383587852634,0.8266242618707682,scale 0.85,1,CGD,252.8
REF (26b pick),0.45471205314062696,0.4459261567306008,0.24975859899466396,0.19160725987900237,0.6032437450445757,0.843675626859553,0.3449069856942531,0.33320176627352804,0.2222489553985498,0.6211682672899507,0.5308642056348475,0.9806576590828021,0.9596128977542362,0.8195577806679625,0.8082450939289888,REF (26b pick),4,CEK,254.1
scale 0.925,0.4260957889999272,0.5061203142461929,0.24907667639749187,0.17624999199336952,0.5992672902944829,0.829513070652652,0.360366657252237,0.19046652141154866,0.22383955736508052,0.600249846862062,0.5443062022961099,0.9790356172472365,0.9562086838940775,0.803167655900685,0.817606573007278,scale 0.925,0,CEK,254.6
scale 0.925,0.42374603829162927,0.5148128152249758,0.2503981724644923,0.1892549213384633,0.5905576086458941,0.8166349792226204,0.3654649959806696,0.1931502060495169,0.2181928002002259,0.5998077269195801,0.5360683902006252,0.9752512490508387,0.9479795374674902,0.7851138764906659,0.807344431979063,scale 0.925,2,DHY210,197.3
scale 0.925,0.45135080577820424,0.48526891805598665,0.2833483769471738,0.17608638369745366,0.6064212330254113,0.8613856370641979,0.37509212148036275,0.2911658682502158,0.19425819519120618,0.6106214749677668,0.5430737562042577,0.9811097913139268,0.9603659725671928,0.8455786750846273,0.8123152391039579,scale 0.925,3,BAH,195.5
scale 1.075,0.42591022294567515,0.5050710797416921,0.24991600518662968,0.176220303260318,0.5985124406808329,0.8289235177656051,0.3602838214209017,0.18991981208965178,0.22433042553828508,0.5999717369231923,0.5441468563884427,0.9790002254582716,0.9560840242751099,0.8024471407230231,0.8175278594900958,scale 1.075,0,CEK,190.1
