model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,secs
ADOPTED (winners + seeds x3),0.4863855634854372,0.4746944169635393,0.32026754487325804,0.21799176222711597,0.6324012505264681,0.8814659252803742,0.39174507988522167,0.3363933384843213,0.26940638234523373,0.6310122725439382,0.5578987407550414,0.9852613035640848,0.9693015037136461,0.8622953931967499,0.8274765604106583,ADOPTED (winners + seeds x3),1,CGD,965.8
ADOPTED (winners + seeds x3),0.4522158370859984,0.4851323494540002,0.2845484736442732,0.17604746051912587,0.6076919459300588,0.8612403374140793,0.3755338722829688,0.293115563205547,0.19614990305975252,0.6109398467390856,0.5427444721094362,0.9810882225760368,0.9603149689326854,0.8454403249624146,0.8112875939099857,ADOPTED (winners + seeds x3),3,BAH,971.5
ADOPTED (winners + seeds x3),0.428181330694856,0.5077041518162949,0.2506722257303628,0.17652332028895634,0.6009844701327617,0.8298512525473467,0.36180451256027085,0.19555947161933473,0.22662129739121406,0.6007953058825307,0.5448853530991208,0.9790549569194295,0.9562735950156404,0.8035374740344445,0.8179740281657892,ADOPTED (winners + seeds x3),0,CEK,1082.3
ADOPTED (winners + seeds x3),0.45545178559413674,0.44680016143854473,0.25012455446164406,0.19194960300341818,0.6046455746890288,0.8434826570736822,0.34554401291424636,0.33624900941821984,0.22198604763200516,0.6216832259906462,0.5310783388345811,0.9806448606867362,0.959568337758184,0.8193883790272465,0.8081396533603217,ADOPTED (winners + seeds x3),4,CEK,1096.7
ADOPTED (winners + seeds x3),0.45568906447441343,0.5015278255280404,0.29495875455024106,0.2288605032351286,0.6208472613279936,0.8720936217124754,0.3907990846185958,0.22011597754810114,0.25230955964551993,0.6164163941647017,0.5488764424414995,0.9836385994202813,0.9659605662191129,0.8529033062814677,0.8201512639294458,ADOPTED (winners + seeds x3),5,CGD,1104.4
ADOPTED (winners + seeds x3),0.4251609254566931,0.5157036604586028,0.2519107901023871,0.18921731418967191,0.5908372501752318,0.8165964602958204,0.36646789718224926,0.1972246444366053,0.21982200145284383,0.5998206160475564,0.5366653663864226,0.9752552279796033,0.9479479821479903,0.7851795831281614,0.8080000269330377,ADOPTED (winners + seeds x3),2,DHY210,1143.5
seeds x6,0.4863259208386905,0.47453337947191626,0.3203782306577108,0.21816859750534576,0.6326125843663826,0.8814686593252355,0.39175373908244643,0.33593383744513466,0.26950647522799054,0.631069570097293,0.5579746931735471,0.9852645480587362,0.9693092884613866,0.8622736258764341,0.827552283594823,seeds x6,1,CGD,1765.0
seeds x6,0.45588905561112014,0.5018575135108906,0.2950360028629508,0.2287818365300359,0.6211004456971264,0.872128016610951,0.39096928519304047,0.22077646702880685,0.2523724740331863,0.6164636500946796,0.5488995553760662,0.9836416079441901,0.965967319770946,0.8529592691024761,0.8201089364637254,seeds x6,5,CGD,1866.0
seeds x6,0.4555565781139753,0.4469464388784499,0.25007437286802653,0.19193594919443965,0.6047619424558219,0.8434921830814467,0.3455894867074829,0.3368435872537376,0.22179108556168872,0.6217498526544653,0.5311769998456698,0.9806467203589069,0.9595732413978897,0.8194222429146187,0.8083155513129529,seeds x6,4,CEK,1962.6
seeds x6,0.4282066805478558,0.5079188481578751,0.2506172980194828,0.17657433426139874,0.6011124966763852,0.8298113294322794,0.3618759590382423,0.19585315828935063,0.22637736057207886,0.6008579852562124,0.5448704520786442,0.9790521414472024,0.9562655106043058,0.80349913727881,0.8178942440398405,seeds x6,0,CEK,1963.9
seeds x6,0.4522802768265728,0.48529312464517427,0.28449055627474945,0.17604953093708903,0.6078552577534384,0.8612336456766085,0.3755932702141176,0.2934169980002605,0.19606352263862298,0.6110218914374256,0.5427387373240489,0.9810892281373471,0.9603171834448694,0.8454113990775848,0.8113044186075008,seeds x6,3,BAH,1983.8
seeds x6,0.42522855884330213,0.5158696113063318,0.25191799563723394,0.18912834970413245,0.590881573398361,0.8166070251032682,0.36652539115481286,0.19753220015873094,0.21979295330935675,0.5998124075370334,0.5365906917324883,0.9752515298304669,0.9479406811818165,0.785197292185582,0.8078126387899974,seeds x6,2,DHY210,2111.6
