config,mean,sem,delta,delta_sem,folds_up,beats
colsample 0.6,0.4622928858308171,0.007615044636900979,-0.0015781057135029752,0.00047957319596315115,0,False
defaults (mcs30 sub.8 col.9 rl1),0.46387099154432015,0.008019590938163295,0.0,0.0,0,False
mcs120 + rl10,0.46313630142845835,0.007885702163043684,-0.0007346901158617284,0.0003970400053434736,2,False
mcs120 + rl100 + col.6,0.46029863742244936,0.007797269395399657,-0.003572354121870717,0.00034259505977809703,0,False
min_child 120,0.46365963758659917,0.008052766938765575,-0.0002113539577209278,0.0004898663273903371,4,False
min_child 240,0.46022068961733975,0.00778503426959543,-0.0036503019269803947,0.0007992785577330474,0,False
min_child 60,0.4643116189759339,0.008212550061218576,0.000440627431613753,0.0002907672740802761,4,False
reg_lambda 10,0.464005096359045,0.008081290198654617,0.00013410481472492242,0.0001457669013978788,4,False
reg_lambda 100,0.46146295576987284,0.007892811038770564,-0.0024080357744472682,0.0001945708412627096,0,False
subsample 0.5,0.4607711839847972,0.008047969566296212,-0.003099807559522929,0.00048111887031893205,0,False
