model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,secs
min_child 120,0.49785787922507957,0.48604493358579803,0.3389262097351805,0.22177262138443887,0.636045707873485,0.8902233679330585,0.4042570818160786,0.3516255881608689,0.284479081369132,0.6307549932368347,0.5690500390952897,0.9865523348618478,0.9720727365027294,0.8716636630225739,0.8380804967403445,min_child 120,1,CGD,152.6
min_child 120,0.4631699346133384,0.5022985797093217,0.3109593784972468,0.23750265722048192,0.6274792256570356,0.8807731455700827,0.39904036522004804,0.2211187732471597,0.2649927149574105,0.6214795434318383,0.557699244204239,0.9849160987883392,0.968735624033179,0.8616422208660844,0.8292243984770356,min_child 120,5,CGD,156.8
min_child 60,0.46572002007049024,0.49323834930095606,0.3074735483205336,0.23866297511698029,0.6153780202421798,0.8787685018685902,0.3932013292476188,0.23612457603657266,0.26484551915258864,0.637952891593192,0.5535335837543196,0.9844353439373272,0.9673046633737524,0.8591755598944144,0.8253908476315966,min_child 60,6,CGD,166.7
min_child 60,0.4583088908672917,0.49338969899804586,0.28484526716984243,0.17850134768609022,0.6189080626035819,0.8662362084420733,0.3802708054202308,0.30277880882105296,0.20212531340085127,0.6161541501469794,0.5479541672948096,0.9814983615711084,0.9612534393050828,0.851216822894236,0.8174380955415628,min_child 60,3,BAH,168.3
min_child 60,0.46208964975374284,0.4889022211523515,0.29075364879389326,0.1638753407519541,0.6403509136929275,0.8644193957226596,0.3778662460016974,0.31726149006160825,0.21227435522338217,0.6158021357152044,0.5450365296053605,0.9810494829775722,0.9600114881529228,0.849974602207836,0.8158022954062734,min_child 60,8,BAH,169.1
min_child 60,0.4652920863716023,0.504974352285411,0.3114196453163959,0.2395227391514299,0.6303501558826696,0.8807393521304782,0.4007613032578029,0.22716884764369477,0.26641770025031686,0.6228764753211016,0.5589786604028701,0.984926726648398,0.9687376733903027,0.861575507093487,0.8304504125973178,min_child 60,5,CGD,170.9
min_child 60,0.4359051331291585,0.5194781665995093,0.2653149639876395,0.2254193339722697,0.6303032508640933,0.854158021694157,0.37461974990193364,0.2111758893442941,0.19512503278384452,0.628100657102318,0.5469668235796845,0.9802057116140412,0.9587213783167364,0.8393749452990873,0.8181657770756258,min_child 60,7,BAH,171.6
defaults (mcs30 sub.8 col.9 rl1),0.4572322869202915,0.4929929705472086,0.281849740191295,0.17785492686274063,0.6206183030647879,0.8658387844915685,0.379034345944374,0.3018062187875321,0.19961765128449685,0.616606427460488,0.5472105355085932,0.9814338898592113,0.9610785622684567,0.8508069327489296,0.816000779584859,defaults (mcs30 sub.8 col.9 rl1),3,BAH,172.7
defaults (mcs30 sub.8 col.9 rl1),0.4660123429484932,0.49473979052509376,0.3050911954223218,0.23805627964107232,0.6180202921006204,0.8783952753440643,0.39293037046571805,0.23907959336427928,0.26369212260945685,0.638665749526589,0.5535955423168935,0.9843607270488276,0.9671596032043888,0.8589384134030894,0.8261369823183373,defaults (mcs30 sub.8 col.9 rl1),6,CGD,172.8
defaults (mcs30 sub.8 col.9 rl1),0.4617318116820338,0.4886531818247328,0.2896757142128771,0.16390603246945212,0.6418326137859003,0.8644628883177773,0.37745014815751027,0.3160282691267171,0.21180576413397964,0.6165126159860108,0.5451725745672059,0.9810492136892071,0.9600144557422928,0.849926927568326,0.8163579226437393,defaults (mcs30 sub.8 col.9 rl1),8,BAH,174.8
