compound,moa,effect_rms,loco_r
"(1R, 2S, 5R) - (-) - Menthol",membrane,0.046,-0.079
1-10 Phenanthroline monohydrate,metal_chelation,0.048,0.75
4-Hydroxytamoxifen,serm,0.16,0.721
Amiodarone hydrochloride,cationic_amphiphile,0.177,0.591
Anisomycin,translation_cytosolic,0.058,0.342
Artemisinin,oxidative,0.049,-0.018
Brefeldin A,secretion_er_golgi,0.047,-0.504
CHX,translation_cytosolic,0.073,-0.06
Cisplatin,dna_damage_crosslink,0.054,
Clomiphene citrate,serm,0.043,-0.216
Clotrimazole,ergosterol_azole,0.042,0.614
Cyclopiazonic acid,calcium_atpase,0.211,-0.435
Desipramine hydrochloride,cationic_amphiphile,0.056,-0.107
Dyclonine hydrochloride,membrane,0.04,-0.299
EDTA,metal_chelation,0.075,-0.095
Emodin,oxidative,0.082,-0.407
Geldanamycin,hsp90,0.042,-0.205
Haloperidol,cationic_amphiphile,0.043,0.691
Harmine hydrochloride,kinase_broad,0.056,0.597
Hoechst 33258,dna_binder,0.163,-0.185
LY 294002 hydrochloride,pi3k_tor,0.06,0.028
NaCl,osmotic_ionic,0.103,-0.315
Nigericin,ionophore,0.078,0.183
Nocodazole,microtubule,0.046,-0.006
Nystatin dihydrate,ergosterol_polyene,0.07,-0.148
Oligomycin,mito_atp_synthase,0.101,-0.225
Parthenolide,oxidative_thiol,0.104,-0.274
Rapamycin,tor,0.064,-0.088
SDS,membrane_detergent,0.052,-0.156
Sorbitol,osmotic,0.099,-0.198
Staurosporine,kinase_broad,0.041,0.029
Trichostatin A,hdac,0.109,-0.45
Trifluoperazine dihydrochloride,cationic_amphiphile,0.044,0.43
Tunicamycin,er_stress_upr,0.044,0.377
U-73122,lipid_signalling,0.056,-0.455
Valinomycin,ionophore,0.043,0.04
Wortmannin,pi3k_tor,0.106,-0.2
