a,b,same_source,same_moa,tanimoto,r,r_disatt
"(1R, 2S, 5R) - (-) - Menthol",1-10 Phenanthroline monohydrate,True,False,0.0,0.05732447699922762,0.1110844980972822
"(1R, 2S, 5R) - (-) - Menthol",4-Hydroxytamoxifen,True,False,0.03448276,0.15260034814747575,0.24187903421629314
"(1R, 2S, 5R) - (-) - Menthol",Amiodarone hydrochloride,True,False,0.02739726,0.04792721861620523,0.07636736273144101
"(1R, 2S, 5R) - (-) - Menthol",Anisomycin,True,False,0.11111111,-0.03237726835127411,-0.05609697870003347
"(1R, 2S, 5R) - (-) - Menthol",Artemisinin,True,False,0.09259259,0.3361382454871011,0.6803093506599523
"(1R, 2S, 5R) - (-) - Menthol",Brefeldin A,True,False,0.1509434,0.06129177819079814,0.12472633488130791
"(1R, 2S, 5R) - (-) - Menthol",CHX,False,False,0.16666667,0.008406992191145433,0.013952353514358083
"(1R, 2S, 5R) - (-) - Menthol",Cisplatin,False,False,0.0,0.07133167423183012,0.13520870359126835
"(1R, 2S, 5R) - (-) - Menthol",Clomiphene citrate,True,False,0.045454547,0.23372955464502695,0.45036709934635266
"(1R, 2S, 5R) - (-) - Menthol",Clotrimazole,True,False,0.0,0.1176795812976181,0.25618778585985247
"(1R, 2S, 5R) - (-) - Menthol",Cyclopiazonic acid,True,False,0.057971016,-0.0700563079065196,-0.10903889478317762
"(1R, 2S, 5R) - (-) - Menthol",Desipramine hydrochloride,True,False,0.040816326,0.18615742213561917,0.3464278637046817
"(1R, 2S, 5R) - (-) - Menthol",Dyclonine hydrochloride,True,True,0.05357143,-0.037616150317023096,-0.07673177894744496
"(1R, 2S, 5R) - (-) - Menthol",EDTA,False,False,0.029411765,0.03940410305945398,0.06443247498318887
"(1R, 2S, 5R) - (-) - Menthol",Emodin,True,False,0.044444446,0.1176167201038089,0.1962789173474984
"(1R, 2S, 5R) - (-) - Menthol",Geldanamycin,True,False,0.09756097,0.07274613311223692,0.1428663769216745
"(1R, 2S, 5R) - (-) - Menthol",Haloperidol,True,False,0.032258064,0.13994376615884066,0.28423685124836295
"(1R, 2S, 5R) - (-) - Menthol",Harmine hydrochloride,True,False,0.018518519,0.029237825189250954,0.05334767937476437
"(1R, 2S, 5R) - (-) - Menthol",Hoechst 33258,True,False,0.05,-0.19248618249328583,-0.3148266505154462
"(1R, 2S, 5R) - (-) - Menthol",LY 294002 hydrochloride,True,False,0.016666668,0.11847914723758095,0.21013078440266264
"(1R, 2S, 5R) - (-) - Menthol",NaCl,False,False,0.0,-0.020774508859680837,-0.032891484038684485
"(1R, 2S, 5R) - (-) - Menthol",Nigericin,True,False,0.101123594,0.00022321645209604312,0.00037994353785663406
"(1R, 2S, 5R) - (-) - Menthol",Nocodazole,True,False,0.03125,-0.0015169038885745323,-0.0028372529966865494
"(1R, 2S, 5R) - (-) - Menthol",Nystatin dihydrate,True,False,0.095744684,-0.04501268925912261,-0.07860489633300055
"(1R, 2S, 5R) - (-) - Menthol",Oligomycin,True,False,0.09677419,0.05939043287067506,0.09837680385380601
"(1R, 2S, 5R) - (-) - Menthol",Parthenolide,True,False,0.0877193,0.16602613717930703,0.2698594304174931
"(1R, 2S, 5R) - (-) - Menthol",Rapamycin,False,False,0.1,-0.06539921038540991,-0.11328488055177051
"(1R, 2S, 5R) - (-) - Menthol",SDS,False,False,0.075,0.08017015081780454,0.1375593372379911
"(1R, 2S, 5R) - (-) - Menthol",Sorbitol,False,False,0.06666667,-0.043304435041197374,-0.06876506725275676
"(1R, 2S, 5R) - (-) - Menthol",Staurosporine,True,False,0.050632913,-0.005148520424092375,-0.00977195713152872
"(1R, 2S, 5R) - (-) - Menthol",Trichostatin A,True,False,0.07272727,0.060187090910587854,0.09650046825484003
"(1R, 2S, 5R) - (-) - Menthol",Trifluoperazine dihydrochloride,True,False,0.03125,0.09967474459345323,0.19805405044481506
"(1R, 2S, 5R) - (-) - Menthol",Tunicamycin,True,False,0.07368421,0.08536553877713306,0.177358359433931
"(1R, 2S, 5R) - (-) - Menthol",U-73122,True,False,0.050632913,-0.12779602522728623,-0.2280128224894871
"(1R, 2S, 5R) - (-) - Menthol",Valinomycin,True,False,0.13636364,0.0180353723657721,0.0345199187085803
"(1R, 2S, 5R) - (-) - Menthol",Wortmannin,True,False,0.065789476,-0.1399254703514309,-0.22779878788247684
1-10 Phenanthroline monohydrate,4-Hydroxytamoxifen,True,False,0.09803922,-0.40067905673537274,-0.5489697351168752
1-10 Phenanthroline monohydrate,Amiodarone hydrochloride,True,False,0.07575758,-0.5850691128006289,-0.8058269657592559
1-10 Phenanthroline monohydrate,Anisomycin,True,False,0.056603774,0.501324395429214,0.75080501275272
1-10 Phenanthroline monohydrate,Artemisinin,True,False,0.018518519,0.26028876161051395,0.45535801652664437
1-10 Phenanthroline monohydrate,Brefeldin A,True,False,0.036363635,0.4745329481069888,0.834701837684198
1-10 Phenanthroline monohydrate,CHX,False,False,0.019607844,-0.02481477757814853,-0.03559805523259409
1-10 Phenanthroline monohydrate,Cisplatin,False,False,0.0,0.25338467881571514,0.4151563075430011
1-10 Phenanthroline monohydrate,Clomiphene citrate,True,False,0.083333336,0.21935050588223373,0.36534294348616236
1-10 Phenanthroline monohydrate,Clotrimazole,True,False,0.13953489,0.4392608020255424,0.8265874632718492
1-10 Phenanthroline monohydrate,Cyclopiazonic acid,True,False,0.078125,-0.5222337958414736,-0.7026001317064593
1-10 Phenanthroline monohydrate,Desipramine hydrochloride,True,False,0.093023255,0.062206587387063195,0.10006400803611931
1-10 Phenanthroline monohydrate,Dyclonine hydrochloride,True,False,0.078431375,0.4307450837752951,0.7595044229679604
1-10 Phenanthroline monohydrate,EDTA,False,True,0.0,0.16265235524772068,0.2298967236784766
