compound,n,source,effect_rms,split_half_r,reliability
Cyclopiazonic acid,86,WAYC,0.4728558659553528,0.8611813036212491,0.9254136627588858
Amiodarone hydrochloride,93,WAYC,0.3961711525917053,0.7904857240638502,0.8829846710753901
Hoechst 33258,89,WAYC,0.3594585061073303,0.7212173287054582,0.8380316845263134
4-Hydroxytamoxifen,91,WAYC,0.3500773012638092,0.8055698161495799,0.8923164409864544
Trichostatin A,89,WAYC,0.23519624769687653,0.7731622546107167,0.8720716365355501
Oligomycin,92,WAYC,0.22998873889446259,0.6906972107959188,0.8170560717619729
Wortmannin,88,WAYC,0.22619271278381348,0.7328819140093448,0.845853266843424
Parthenolide,92,WAYC,0.21910643577575684,0.7369539034797582,0.8485589652130298
Nigericin,92,WAYC,0.19252145290374756,0.6310312370001251,0.773781915005809
Emodin,93,WAYC,0.18838061392307281,0.6736381907828648,0.8049985886946834
Nystatin dihydrate,93,WAYC,0.16838328540325165,0.5812131715845986,0.7351484063368142
LY 294002 hydrochloride,93,WAYC,0.15308403968811035,0.5536433910562091,0.7127033066189369
NaCl,271,WAYB,0.15029188990592957,0.8088616532813702,0.8943322468183817
Desipramine hydrochloride,92,WAYC,0.14352528750896454,0.47857945491845966,0.6473503379564438
Harmine hydrochloride,89,WAYC,0.14252902567386627,0.5075962699608988,0.6733848843683645
Sorbitol,267,WAYB,0.14148849248886108,0.8002846625756886,0.889064578743577
CHX,273,WAYB_rep2,0.14058448374271393,0.6862506723134033,0.8139367219607051
U-73122,90,WAYC,0.13697676360607147,0.5434952466429752,0.7042396117837747
Artemisinin,90,WAYC,0.13051855564117432,0.3767489294116956,0.5473023023488904
Valinomycin,87,WAYC,0.1301470845937729,0.44086890607708035,0.6119486709965768
Nocodazole,90,WAYC,0.12673360109329224,0.4714566672664002,0.6408026518949405
"(1R, 2S, 5R) - (-) - Menthol",85,WAYC,0.1263316571712494,0.2870530405637578,0.44606248774024443
Staurosporine,67,WAYC,0.12553250789642334,0.45170432140955724,0.6223089850293579
Tunicamycin,89,WAYC,0.12378305941820145,0.3507646668387006,0.5193571840454229
Dyclonine hydrochloride,64,WAYC,0.11906329542398453,0.36870882227321927,0.5387688254406798
Trifluoperazine dihydrochloride,95,WAYC,0.11859007179737091,0.39646794408055674,0.5678153168658572
Geldanamycin,91,WAYC,0.11568383127450943,0.40969308669810633,0.5812514661013506
Clomiphene citrate,90,WAYC,0.115542933344841,0.4324668637639187,0.6038071451476067
Anisomycin,186,WAYC,0.1147412359714508,0.5959176459510096,0.74680250257638
Haloperidol,92,WAYC,0.11446798592805862,0.37309713152657786,0.5434388040877736
Clotrimazole,91,WAYC,0.11127644777297974,0.3097843628649279,0.4730310906862988
Brefeldin A,176,WAYC,0.10390406847000122,0.3711475702254528,0.541367797726435
1-10 Phenanthroline monohydrate,165,WAYC,0.10233915597200394,0.4255212956939839,0.5970044740535821
Rapamycin,267,WAYB,0.09617538005113602,0.5963550473883259,0.7471458788118304
SDS,268,WAYB,0.09076499938964844,0.6148101402719207,0.7614643046127909
EDTA,543,WAYB,0.08866580575704575,0.7218383270312669,0.8384507600964316
Cisplatin,269,WAYB_rep2,0.08743219822645187,0.4534508039586255,0.6239644337787076
