model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,TOTAL_additive_only,secs
source + instrument (new best),0.46357533234110726,0.4451940870687569,0.2674266075494109,0.20327120350543346,0.6033685244378114,0.8641911227212342,0.35314747689609605,0.3297231587328965,0.23195065489624364,0.6300452763538615,0.5422189642324454,0.9840259881687222,0.9663400949662031,0.8456341891314317,0.8232546391694052,source + instrument (new best),4,CEK,0.45962126972864015,183.9
source + instrument (new best),0.4560910804434981,0.5012824130052235,0.2956157992967562,0.22912523579073737,0.6194690764715196,0.8746105404339131,0.3909078134425251,0.21834139298438046,0.2526217368444388,0.6168266378736078,0.5513345848591914,0.9839381822834733,0.9666030194692491,0.8571060712086158,0.8236077994918418,source + instrument (new best),5,CGD,0.4452270990675672,185.8
+ medium,0.46827419676565735,0.44610108812189786,0.27642509798470827,0.20131273014249995,0.6036787715559351,0.8708462354778191,0.35683521499905213,0.3331037220625156,0.2394651036401099,0.6312385289107566,0.5451705577745957,0.9848987568882258,0.9679640600823948,0.8550544839950455,0.8264258003675985,+ medium,4,CEK,0.46386612199282506,186.5
+ medium,0.48532952578833516,0.4728305236918512,0.31962010351931186,0.2195316701714146,0.6308988623225105,0.8840787404400279,0.39082499924458464,0.32923841092406453,0.2683305887999216,0.6331145118773223,0.5596455351330791,0.9855864220714143,0.9699797046994098,0.866623638656465,0.8301628066669479,+ medium,1,CGD,0.46784330872952,189.8
source + instrument (new best),0.43838376216094177,0.506023771913485,0.2703137508509766,0.19012336044738987,0.5999521246557334,0.8546531635125536,0.3713120421037635,0.19013702296275117,0.23713380640515833,0.6125443206257262,0.5583304199267125,0.9830152685127433,0.9642337462128759,0.8338160908427574,0.8354614799910912,source + instrument (new best),0,CEK,0.4288031837196318,192.7
+ medium,0.45621401424483865,0.5020294909311831,0.29519572240481956,0.22662730843311654,0.6194829870001481,0.8750262469579263,0.39071274320046423,0.21999670723725884,0.2517499120902946,0.6162573215177019,0.5511104607171283,0.9839766029099072,0.9666839880895051,0.8577553870805832,0.8235349530641912,+ medium,5,CGD,0.445260267183259,193.7
source + instrument (new best),0.43998950823952115,0.5152387702912045,0.2754118652279379,0.2107617235637704,0.5895700747189572,0.843464635347717,0.3790273745232596,0.19471290200186975,0.24194972575692317,0.616281571678166,0.5515810963917537,0.9792974691315713,0.9565447346976437,0.818770100687464,0.8276253234568767,source + instrument (new best),2,DHY210,0.42979183552536,194.9
+ medium,0.4459869660449436,0.5137692198721813,0.2865708263925535,0.21955068253126592,0.5908052117354143,0.8543765464372255,0.38446935850811137,0.1921128171611994,0.2520802211471587,0.623715774661524,0.555682640052933,0.9810235689074536,0.9599065922674413,0.8339907502654896,0.830226803916891,+ medium,2,DHY210,0.43632636224173804,198.4
+ medium,0.4512551141984935,0.48407299135544896,0.2836906066479828,0.17495830597988812,0.607704731914225,0.863815103285538,0.374607286698567,0.28901950720148206,0.19372569533318268,0.611598020453876,0.5426285862884721,0.9813054386699895,0.9609319443771605,0.8495403620324223,0.8143663133048546,+ medium,3,BAH,0.4413091651512042,199.9
+ medium,0.44228231595176437,0.5060116169567573,0.276670147024986,0.19884123174221802,0.5991455819099918,0.8617328774319712,0.3750830987652333,0.19008940860207266,0.24197851663456962,0.6168893132971478,0.5612489879403706,0.9839139707506498,0.965904742956769,0.8440492078240938,0.8385878120237342,+ medium,0,CEK,0.4328187371116693,201.5
