trial,lam_plate,TOTAL,FC[chem_only],FC[straonly],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc
+ plate_x_strain 2,,0.42633730928407915,0.4920722110151816,0.26060523176474726,0.19325614938635413,0.5906841304010993,0.8160562363942926,0.3635599974360714,0.2034724840167781,0.22764863320789785,0.5889602340939851,0.5423163158373808,0.9793807123065276,0.9570711327245799,0.7838798518369537,0.815506985357061
lam_plate=0.3,0.3,0.4262174228716278,0.49185321016323763,0.26041916411589855,0.1930282847195766,0.592038915777234,0.8161594396367797,0.36347795531109783,0.20270323262160336,0.22743251217716068,0.589395822174116,0.5429862987866579,0.9793932275864865,0.9570959300883276,0.7841091258794345,0.8159157844464463
plate only,,0.4262174228716278,0.49185321016323763,0.26041916411589855,0.1930282847195766,0.592038915777234,0.8161594396367797,0.36347795531109783,0.20270323262160336,0.22743251217716068,0.589395822174116,0.5429862987866579,0.9793932275864865,0.9570959300883276,0.7841091258794345,0.8159157844464463
+ strain 1.0,,0.4261956176410022,0.4918524308004033,0.2604147497295967,0.19302524890405018,0.5920396546677625,0.8161564634212928,0.36347567364107,0.20270215451101317,0.2274283437994203,0.5892000410918423,0.5429860555041042,0.9793924634862136,0.9570946832130994,0.7840855602118634,0.8159174741421196
+ compound 4,,0.4260740713506373,0.49183287732162567,0.2608730954240418,0.19302751181071434,0.5918872878819957,0.8159986230230992,0.36364065971005993,0.20281416292494858,0.22662492366402875,0.5892332391733613,0.5430608116674172,0.9793816962693523,0.9570632844553429,0.7839232597760714,0.8159015976072403
lam_plate=0.6,0.6,0.4255728018041878,0.49093126148174243,0.2614808020079881,0.19315249831870399,0.5918766973543631,0.8151066058278443,0.3634768545084532,0.20061457975896724,0.22780405840821483,0.5889010903238959,0.5421686069135915,0.9793236474127219,0.9568045827622926,0.7823587694956885,0.8126631361344142
lam_plate=0.1,0.1,0.4253466478635805,0.491728888318215,0.258272655945108,0.19127567636688478,0.5919049224336519,0.8153589109597287,0.3623821085633769,0.202550638404381,0.2259004857471105,0.5887519775992529,0.5422783188113388,0.9793255620839648,0.9569508919454649,0.7841466385128982,0.8169074778071593
+ n_pass 10,,0.4253145510886078,0.4898787988292161,0.2608370249191551,0.1933100803682343,0.5923258518862111,0.8160660673694831,0.3628695110857047,0.19809109651727216,0.22862018378083804,0.5893248916058459,0.5421842924615663,0.9794398171391848,0.9571401907260141,0.7836596425476466,0.8137004232693964
lam_plate=0.02,0.02,0.42445324997058975,0.4913684284207915,0.25688057361525324,0.1899449299985901,0.5917322707997928,0.8142937708338316,0.3615184424433879,0.20189850948609758,0.22481221603983012,0.5880234990042541,0.5414078037473091,0.97925003207112,0.9567561813100331,0.7836610518969925,0.8165532290166002
lam_plate=1.0,1.0,0.4230718527953332,0.48878211198019256,0.26080708117298074,0.19114001480112885,0.5913835707948167,0.8118991596794154,0.36198836180283606,0.19595735846609894,0.22648406098063548,0.5871429951489651,0.5398469400899546,0.979071028803899,0.9559308998574854,0.7784080372998345,0.8077699480287399
