model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,secs
adopted + pert x4,0.45945354597560817,0.4940901948618018,0.28505720122429135,0.1781410245231662,0.6215671306002847,0.8659439710136863,0.3807599101160081,0.3075578753307436,0.20236994917125,0.617006521685829,0.5477711434977454,0.9814574151778347,0.961145898035217,0.8508754457800545,0.8169659094223792,adopted + pert x4,3,BAH,1100.2
adopted + pert x4,0.4455877869565189,0.5201720052955063,0.27532863896540205,0.2171418713906863,0.6020227015421712,0.843902884951855,0.3824863410711024,0.21267489057004246,0.24397833576496067,0.6219003489314525,0.553298890764529,0.9792904729687765,0.9566736141302558,0.8186198242779986,0.8285127739198865,adopted + pert x4,2,DHY210,1105.9
adopted (pert x1),0.4942500774382034,0.4787648189349728,0.3405124899009397,0.22402361405587054,0.6368118906829677,0.8891697941181872,0.40205577244967217,0.3356582848512124,0.2859456343718985,0.6318236533769612,0.5679805263965911,0.9864234149095704,0.9717956792905259,0.8701939201131739,0.8364113920883997,adopted (pert x1),1,CGD,1196.1
adopted + pert x4,0.47103611307444154,0.45786741512174406,0.2662951901473102,0.20730777184611462,0.6147436163049648,0.8652229416891766,0.3591343690353304,0.3496690840263799,0.2372380262034185,0.6341635904636767,0.5482030277089257,0.9840521704216826,0.9665053887241808,0.8466217680726915,0.8302176088698977,adopted + pert x4,4,CEK,1197.3
adopted (pert x1),0.46515470674817805,0.5038695310051698,0.3129078692692262,0.24389999637504547,0.6250974695963682,0.8803585959468749,0.4011515504702672,0.2262595397836467,0.2666297774529594,0.6226537156458036,0.5590372985866935,0.9848900132676762,0.9686653941065994,0.8609755532383468,0.8294656339745001,adopted (pert x1),5,CGD,1219.3
adopted (pert x1),0.4424687806179189,0.5087513017781099,0.27322883340085774,0.1922020419477087,0.6025568110162178,0.8544024092364546,0.374033395082228,0.2029850619418546,0.2407149286700315,0.6134886091493772,0.5598218192551203,0.9829745553681801,0.9641808313396899,0.8329796854148873,0.836016630594066,adopted (pert x1),0,CEK,1244.3
adopted + pert x8,0.5010666333214759,0.4908908484113297,0.3347396494010573,0.22162568472515598,0.6464067562392459,0.8894589704116067,0.40542250109643985,0.365840830261994,0.2841262882793541,0.6338935054708486,0.5687287941938023,0.986397403922021,0.9717361622476269,0.8707904892915516,0.8369662232486705,adopted + pert x8,1,CGD,1272.0
adopted + pert x4,0.4992924448397746,0.48728299427521743,0.33680924863055556,0.2229915915570313,0.6457074017941272,0.88940397249415,0.40477255132705386,0.35709804055884203,0.28483859745440193,0.6338545033708503,0.5689146913889468,0.9864181314532514,0.9717791892008351,0.870657366799988,0.837305852956691,adopted + pert x4,1,CGD,1271.5
adopted + pert x8,0.44759462669720884,0.5146300501848834,0.26959621597001676,0.18982887753504793,0.6099875937281064,0.8557258911306036,0.3748722487553844,0.2197241197048035,0.2465598118757652,0.6150651861839063,0.5593616269547524,0.9830601809658288,0.9644201406670158,0.834921907208293,0.835766913738522,adopted + pert x8,0,CEK,1279.0
adopted (pert x1),0.45670215294255145,0.4906029196408341,0.28903416373056745,0.1791462803978832,0.6121193785347306,0.8659045465432178,0.3802418168707213,0.2943181486389242,0.20351435850877703,0.6146479978758901,0.5485897639819655,0.9815103391654215,0.9612891426716283,0.8506459420487033,0.8179066104496265,adopted (pert x1),3,BAH,1280.4
adopted + pert x4,0.4464854086644307,0.5135159282019336,0.27076471448051,0.19066829226658838,0.6098009053062116,0.855629549500858,0.3750535898842963,0.2153330447243687,0.24504976256263192,0.6150845891527076,0.5602216184102824,0.9830435992243153,0.9643749235341061,0.8347489312219759,0.8366208813911639,adopted + pert x4,0,CEK,1288.2
adopted + pert x4,0.46617055784267275,0.506763010803933,0.3091956231628836,0.2397403054324103,0.6344264364113001,0.8800796189379878,0.40089284308479517,0.23216922034278908,0.26591463746839544,0.6241802131915419,0.5579326080497063,0.9847815808052527,0.9684504977629734,0.8609629898900724,0.8295713723812396,adopted + pert x4,5,CGD,1292.8
