model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,secs
"ADOPTED booster, no instrument",0.45220905105417164,0.4851154442543577,0.28456296340951703,0.17604110617903254,0.6077099943148887,0.8612308899211099,0.3755318723624191,0.29308491524536656,0.1961521026548137,0.6109419806117595,0.5427660667626582,0.9810876487377337,0.9603114579188925,0.8454225797923579,0.8112700942204065,"ADOPTED booster, no instrument",3,BAH,793.8
"ADOPTED booster, no instrument",0.45557176057394416,0.44692386219980523,0.2501381676720493,0.19194841464717502,0.6045879891108857,0.8435134336257917,0.3455958587979804,0.3366564676183578,0.2220761426020893,0.6216723292070855,0.5311270836898537,0.9806468824456012,0.9595746907367043,0.819423099134777,0.8082954573178229,"ADOPTED booster, no instrument",4,CEK,798.3
"ADOPTED booster, no instrument",0.45569442372952135,0.5015276655247507,0.294961448022259,0.2288469836880219,0.6207858340942508,0.8720931872717816,0.3907943748425468,0.2201516596923038,0.25231452281400274,0.616396095856322,0.5488869295526955,0.9836389864183168,0.9659608810269281,0.8529033644318077,0.8201985503281765,"ADOPTED booster, no instrument",5,CGD,806.2
+ instrument lam=3,0.4321066191168514,0.5165981961794602,0.26468644651197637,0.20083687295673122,0.5908532658093494,0.8215133641713908,0.37376333163742126,0.19935448203250378,0.2336965093479211,0.6054068178890689,0.5442446661645207,0.9774826481565629,0.9513951457421825,0.7904819263131616,0.8141814311567837,+ instrument lam=3,2,DHY210,813.4
"ADOPTED booster, no instrument",0.4252318032935764,0.5157755009970119,0.25192330063541296,0.18928367572650953,0.5909144416135144,0.8166030050208628,0.36651378539164187,0.19749331346522148,0.21982839194381698,0.599843937994677,0.5366804212043593,0.9752568956229302,0.9479502038386892,0.7851992736402835,0.8079465807310082,"ADOPTED booster, no instrument",2,DHY210,815.6
+ instrument lam=3,0.4669545268346847,0.44791058556488883,0.26809973502231044,0.20565689421418662,0.6050425675050894,0.8613557280273365,0.35494449704484593,0.33863086915554047,0.24064725942992854,0.6303208472144932,0.5411909305892553,0.9839199146959937,0.9661452510991926,0.8410579264803721,0.815609179504061,+ instrument lam=3,4,CEK,818.9
"ADOPTED booster, no instrument",0.4863927575166884,0.47470145067446196,0.32029008330222003,0.2180076423535445,0.6323931834641027,0.8814709301491269,0.39175812644081365,0.3363976017635124,0.2694273921230436,0.6309793480758052,0.5579221258353583,0.9852619266487196,0.9693029343443107,0.8622987907422942,0.8275120210170748,"ADOPTED booster, no instrument",1,CGD,822.5
+ instrument lam=3,0.45307737654748714,0.48578151010120907,0.2847644635384572,0.17611860749426758,0.6081708617492898,0.8633273997050283,0.37593307761694184,0.2940097429036321,0.1962918330752138,0.6119830037768605,0.5434002325758142,0.981280767780469,0.9608992015224516,0.848417376565132,0.8140110144178375,+ instrument lam=3,3,BAH,823.7
+ instrument lam=3,0.45707401093719574,0.5026513799427395,0.2960133126120673,0.22914814189836644,0.6213209893906553,0.8740734728413245,0.3917425763077457,0.22196543220100867,0.25338054166918367,0.6171311208942769,0.550827308570564,0.9838854064284833,0.966570515974071,0.8558475635355575,0.822824215881096,+ instrument lam=3,5,CGD,829.8
+ instrument lam=3,0.4875571988813335,0.47565278826747076,0.32099065624482154,0.2186659903339705,0.6326993002949399,0.8833054433293827,0.39253709930704317,0.33808618397563084,0.27021605419210715,0.6312429322012709,0.5595418907004289,0.9855054053197421,0.969895651851168,0.8649686819413657,0.8296451995409178,+ instrument lam=3,1,CGD,830.6
+ instrument lam=3,0.44022335625671416,0.507515374109096,0.270519255608623,0.1931739058311407,0.6008702993235157,0.8507287268389607,0.3723954279124466,0.1942408407205273,0.24630106815291058,0.6109801086877709,0.555447225346913,0.9828735010047935,0.9638398928914749,0.8284134406357841,0.8242952907818938,+ instrument lam=3,0,CEK,853.5
