model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,secs
"incumbent (plate .3, pxs 2)",0.4533285557616227,0.48576491177388126,0.28507673242695214,0.17585633474024667,0.6079198867585509,0.863781061984862,0.37598417250859134,0.2947295199230627,0.1963440938550109,0.6119524750991912,0.5433265994393722,0.9812971861569227,0.9609271652277243,0.8493906507892361,0.8147032619467907,"incumbent (plate .3, pxs 2)",3,BAH,1200.4
"retuned (plate 2, pxs 6)",0.4567319762948796,0.4906353378238144,0.2890512190602818,0.17914411267199867,0.6121274378883349,0.8659170104823088,0.38026220141768813,0.29438928517071306,0.20354056190315142,0.6146473965683378,0.5486462954477828,0.9815121238869278,0.9612921295058494,0.8506715798684512,0.8180724998907537,"retuned (plate 2, pxs 6)",3,BAH,1201.2
"retuned (plate 2, pxs 6)",0.46516078529496946,0.5038740368885479,0.3129001506267434,0.2439075298787404,0.625128383818365,0.880360160430034,0.4011532869142356,0.22628888609878556,0.2666254331740839,0.6226644235836534,0.55902250534929,0.9848906257654656,0.9686666430279438,0.8609758386487147,0.8294273496657737,"retuned (plate 2, pxs 6)",5,CGD,1239.9
"incumbent (plate .3, pxs 2)",0.4574969313478281,0.5025147102466705,0.29698961670872775,0.2281328542538068,0.6215207970167045,0.8745840700544822,0.3919525252762562,0.22221418687667127,0.254350757125608,0.6171555877561511,0.5512687688359315,0.9839222327921131,0.9665854447719884,0.8570571736895176,0.8234182771516508,"incumbent (plate .3, pxs 2)",5,CGD,1247.8
"retuned (plate 2, pxs 6)",0.44244642292256914,0.5087393328207768,0.27321848832555967,0.19222031742559856,0.602505907756451,0.8543814810060457,0.37402315791040863,0.20299740035979938,0.24066148533844983,0.6134562312657603,0.5597387395506391,0.9829739913118739,0.9641786919023502,0.8329564574536881,0.835825943691769,"retuned (plate 2, pxs 6)",0,CEK,1258.7
"retuned (plate 2, pxs 6)",0.49433714513126986,0.47892254777471416,0.34052713101688964,0.2240057445866363,0.6368014332602929,0.8891757990964574,0.4021261647421639,0.33601399035492,0.2859396918372714,0.631792303009326,0.5680095477413304,0.9864235993537817,0.97179630371735,0.8702109963768365,0.836433999866674,"retuned (plate 2, pxs 6)",1,CGD,1268.8
"incumbent (plate .3, pxs 2)",0.44137157452477793,0.5161882839233045,0.2762500793301238,0.21078395316889342,0.5902392231592692,0.8434909912088834,0.3797949215144971,0.1993311956266298,0.2430994848523015,0.6165481642365239,0.5516738676987668,0.9792915341948206,0.9565900093453017,0.8187489035311308,0.8271225745469825,"incumbent (plate .3, pxs 2)",2,DHY210,1269.2
retuned + plate 1,0.44269670840589426,0.5095572601053695,0.2728767836099067,0.19123943795294154,0.6020953796469387,0.8549123181681615,0.37403238522197596,0.20410513217135529,0.24031139399407064,0.6133507976430117,0.5597552693876316,0.9830340620118684,0.9642924806191651,0.8339209045925342,0.8356500372130801,retuned + plate 1,0,CEK,1275.8
"retuned (plate 2, pxs 6)",0.4448515278882548,0.5206287359689652,0.27670549907996683,0.2169410101779402,0.5931765717564204,0.8434948393116297,0.3826225022139366,0.21089711737450037,0.24348366171477653,0.6190203717820331,0.5543748295277208,0.9792359365118123,0.9565576463439271,0.8183287932136234,0.8298220467350299,"retuned (plate 2, pxs 6)",2,DHY210,1281.5
"incumbent (plate .3, pxs 2)",0.4655252228747289,0.44763612253563073,0.268111841149009,0.20338941248689482,0.6043807681972486,0.864040962704602,0.3544941436818266,0.33834751861814677,0.2311638118672009,0.6303236592791184,0.5431772477674117,0.9840142591874672,0.9663099112057183,0.8454923766592682,0.8246838680584768,"incumbent (plate .3, pxs 2)",4,CEK,1286.2
"incumbent (plate .3, pxs 2)",0.4401267526511639,0.5076059167641027,0.2720696958984758,0.18973641909298142,0.6007973068241589,0.8547338858186436,0.372678455423731,0.19502025418395655,0.23913512866913839,0.6125337686610222,0.5585181638956239,0.9830254640509235,0.964248865152051,0.833919440844143,0.8351365458882355,"incumbent (plate .3, pxs 2)",0,CEK,1284.3
"retuned (plate 2, pxs 6)",0.4656891183920903,0.45189378567363414,0.2688180648747808,0.20808639863059808,0.6071526168209761,0.8637288533845856,0.3573092787537889,0.33283756553505695,0.23238392425830928,0.6323434446321242,0.5467477120968052,0.9839600020197451,0.9662563416654619,0.8443160782135886,0.8288120130076589,"retuned (plate 2, pxs 6)",4,CEK,1290.7
retuned + plate 1,0.4926839157320295,0.4795155181335842,0.33290032030175626,0.22279505333147542,0.6363630087777208,0.8876152860404449,0.39938303907749895,0.33890316361284994,0.2798080633421744,0.6329473910261862,0.5655622852188463,0.9861386715610533,0.9711996779978375,0.8692269980893369,0.8344018765796479,retuned + plate 1,1,CGD,1329.4
"incumbent (plate .3, pxs 2)",0.48856410576206727,0.4762568570226493,0.32195008473661085,0.21858851229717877,0.6327100587075092,0.8838553274336619,0.3931406142965648,0.34013931825554194,0.27132067761924455,0.6322108290794219,0.5598960923658839,0.9855547868502913,0.9699307837034948,0.8661725098025961,0.8298026560284343,"incumbent (plate .3, pxs 2)",1,CGD,1557.9
retuned + plate 1,0.4441123174901482,0.5197609253564779,0.2764950701078522,0.21290189035220214,0.5932231806524209,0.8437953469577719,0.3817092291348275,0.2087534039740207,0.24343937026623158,0.6179996689885052,0.5537483813597192,0.9792894097314429,0.9566063207123401,0.8190640610579067,0.8292232267003654,retuned + plate 1,2,DHY210,1230.0
retuned + plate 1,0.4627081129484494,0.5045147382476326,0.3061780221829682,0.23689293012073404,0.6246009518234514,0.8784975406714994,0.39777625392144794,0.22705434880507255,0.2613556669877217,0.6206382589786092,0.5563742455473538,0.9845469504140271,0.9679447472730126,0.8599766264616184,0.8277256607273681,retuned + plate 1,5,CGD,1184.3
