model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,n_members,secs
A alone (adopted),0.4617210196008633,0.4886286337950651,0.2896687615982639,0.16392462667586807,0.6418149967288265,0.8644603407683076,0.3774387248289781,0.31600556575641153,0.21180069055339693,0.616503372998056,0.5451536335637984,0.981048775079048,0.9600135882418093,0.8499251096783004,0.8163188509807484,A alone (adopted),8,BAH,1,159.5
A alone (adopted),0.4572110995568163,0.49297102656026587,0.2818203972475572,0.17783577695096195,0.6206289640818833,0.8658323093748908,0.3790121353540732,0.30175369776997263,0.19960130796849218,0.6166126987329538,0.5471866564466298,0.9814317444379977,0.9610746793743925,0.8507954977359427,0.815984525523193,A alone (adopted),3,BAH,1,164.0
A alone (adopted),0.4651793638623606,0.505918933509478,0.30769421450192513,0.24040937709507626,0.6318446615077955,0.8802535233589026,0.3998782481655698,0.2304487887491637,0.26402580723819846,0.6235597719870489,0.5581640150602053,0.984819207118633,0.9685250666029043,0.8610821184439003,0.8300907319010704,A alone (adopted),5,CGD,1,178.1
A alone (adopted),0.4360291490204013,0.5200886096807043,0.26369023240146194,0.2251662168355545,0.6309093228743965,0.8539711054103702,0.3740829034442519,0.2132210322682018,0.19460522828707483,0.6281524297932316,0.5466741397377136,0.9801484943439,0.9585939486801828,0.8392834468117033,0.8177764030158831,A alone (adopted),7,BAH,1,185.2
A alone (adopted),0.46603864730398936,0.4947649051671497,0.30510905605685307,0.2381167795121108,0.6180224287900526,0.8784045967982637,0.3929555763786253,0.2391618610062086,0.2636957424229471,0.6386961617785166,0.5535539397199509,0.9843634202627002,0.9671644107398883,0.8589385182997248,0.8259850647575483,A alone (adopted),6,CGD,1,190.4
A alone (adopted),0.49705142972370464,0.48549549619063953,0.3347499435547582,0.22315514546272264,0.6427484436788083,0.8894368063654927,0.4030857609289496,0.3506690614480232,0.2827098781873004,0.6331489547628363,0.5680388963004063,0.9864335296325293,0.9718033603710814,0.8706694140521443,0.8367367890434134,A alone (adopted),1,CGD,1,193.4
A+B,0.49716608697108877,0.4867918094679406,0.33119318747361587,0.22300371376361475,0.6427079333037022,0.8889439975677571,0.40231465387228926,0.3551974551058015,0.2800446625711057,0.6339163016986106,0.5671714056844502,0.9863273973089361,0.9715854049027308,0.8704845525918609,0.8359724491040118,A+B,1,CGD,2,324.9
A+B,0.4641605234490524,0.5064258621743405,0.3047618214933136,0.23746673016260084,0.6322339737654572,0.8795735286906162,0.3985525152435332,0.23039692334300083,0.26190342164235325,0.6229025107990862,0.5571473764613281,0.9846772598251418,0.9682247853956497,0.8608789951342583,0.8293044986846302,A+B,5,CGD,2,331.0
A+B,0.45756779048031415,0.4936352239086131,0.28191609718014077,0.17812708938561872,0.6211314742880563,0.8660582846192486,0.379408403101987,0.30385109060776105,0.19830310354526112,0.617074598451335,0.5473146821045934,0.9814967864737619,0.9612329390784285,0.8510984652106769,0.8168057997526416,A+B,3,BAH,2,310.1
A+B,0.4655928166270292,0.49629072432520505,0.3015765953026785,0.23663976084026442,0.61787835911029,0.8778307201541294,0.39193785958676136,0.24204101578430556,0.26090100149282514,0.638119173160822,0.5528377385600923,0.9842228095254245,0.9668857797368778,0.8588625135516021,0.8259070734393336,A+B,6,CGD,2,319.2
A+B,0.46167547102473067,0.48902107330028594,0.2890743641782039,0.16355472859266015,0.6422225762262906,0.8645208201893474,0.3773518147336597,0.31755786137007685,0.21019023990372607,0.6165222562818771,0.544630148409958,0.9810698312806371,0.9600814833819503,0.8502418049164261,0.8160716641131933,A+B,8,BAH,2,305.1
A+B,0.43617691916214013,0.5210700629630193,0.26395494552470833,0.22210975230111982,0.6316829551786981,0.85405517640628,0.374255899044283,0.214820363845247,0.19399468130639783,0.6272499967521076,0.546278008285472,0.980177651818658,0.9586720505652294,0.8397084587783259,0.8173714251535212,A+B,7,BAH,2,326.8
A+D,0.46552988319166766,0.5066026794286635,0.3087582278591793,0.24113868082784737,0.631640696049294,0.8804704147591007,0.40066251564852506,0.230629583721058,0.2642453016624643,0.6237299305289392,0.5584440239623567,0.9848543184337547,0.9686038132074599,0.8612986801950115,0.8298743394458048,A+D,5,CGD,2,339.6
