model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,TOTAL_additive_only,secs
"current order, n_pass 6",0.455154755258863,0.4894041151093074,0.28781831588918394,0.17952446736826347,0.6111140727312027,0.8660014545094508,0.3792791181873928,0.28910474832292793,0.20211792804496304,0.614558073360706,0.5486868440095172,0.981530807402645,0.9613297661308573,0.8506614171389558,0.8179138717657449,"current order, n_pass 6",3,BAH,0.443318951623153,168.4
"current order, n_pass 6",0.46354066240532027,0.5025119230681822,0.3112557183694015,0.2440534177388092,0.623040158983725,0.8804319763249318,0.3998334134593343,0.22202740607092286,0.26468177012968497,0.6221182408903698,0.5588450889268345,0.9848965054455481,0.968685796311845,0.861013932808838,0.8292318346342965,"current order, n_pass 6",5,CGD,0.45173564201922217,169.6
"current order, n_pass 6",0.4918820064064059,0.4770569540504513,0.3390321521314606,0.22379504398925057,0.6350574750913351,0.8891850112085683,0.4006349694532383,0.32803476296177686,0.2839383084269416,0.6309604459776867,0.5679120585174048,0.9864287992438776,0.9718065073314962,0.8702257571405113,0.8369990679388235,"current order, n_pass 6",1,CGD,0.47053758366218323,174.9
"current order, n_pass 6",0.4649709265945969,0.45123129489354263,0.26832254565464186,0.20876738405099024,0.606161882559463,0.8640733539828478,0.35686942820618983,0.32846818932034577,0.2334136515989694,0.6323148212056471,0.5466209688410415,0.9839892616253875,0.9663267173404607,0.8446659323214162,0.8281784015883814,"current order, n_pass 6",4,CEK,0.4568091070357964,175.9
"current order, n_pass 6",0.44387151431516747,0.5194521367523115,0.2758657367965543,0.21729706767530146,0.5922232740413378,0.8435307825561777,0.3817962972348419,0.2079810823026859,0.2425008358179781,0.6189949530852918,0.5544080912511895,0.9792396497994019,0.9565598089474866,0.8183826403420815,0.830319523002402,"current order, n_pass 6",2,DHY210,0.4333011851449736,178.1
"current order, n_pass 6",0.44058170202518115,0.5065797665447076,0.2716219692849749,0.19217757148243494,0.6011386801331021,0.8544297961661552,0.37242172028131265,0.19713918635808833,0.23946670193006428,0.6130147811992701,0.5593531388812886,0.9829720247813603,0.9641885807911945,0.8329646093358768,0.8354968522265349,"current order, n_pass 6",0,CEK,0.42975929889326203,183.0
"current order, n_pass 12",0.4536515541252667,0.48836867512023735,0.285297101844657,0.17793852661456666,0.6112398322597887,0.8634040861262395,0.37770136709314167,0.28566756726729303,0.2037474682225764,0.6127275411510309,0.5477926782731274,0.9811160967139932,0.9604304360800956,0.8471034614154779,0.8166683147151454,"current order, n_pass 12",3,BAH,0.441111810346579,221.6
"current order, n_pass 12",0.4634446152018345,0.4499294653384358,0.2670090385978574,0.20745094751785387,0.6070153761896051,0.8631597789475871,0.3557011734685027,0.32464439421660696,0.23264759810899507,0.6312343410916372,0.5461106694181453,0.9838611288239887,0.9661128340851846,0.8434293716462768,0.8274930727851788,"current order, n_pass 12",4,CEK,0.4558697730483241,227.4
"current order, n_pass 12",0.46303741542216004,0.49964079084949087,0.3138509306871139,0.24765618248519192,0.622886208742405,0.8800275647079221,0.40016824785638355,0.21761079038624032,0.26633104688973264,0.6226056434261485,0.5588181743734054,0.9849911200367077,0.9688478652521109,0.8591272399481361,0.8289142494763582,"current order, n_pass 12",5,CGD,0.4513634756224128,251.3
"current order, n_pass 12",0.4923432769975969,0.4773111589326842,0.34215660397644515,0.22177227194655685,0.6352608823807531,0.8888190010019184,0.4016237599163024,0.328671702538105,0.2861667100606339,0.6280633694819359,0.5679903470039248,0.9864874161997145,0.9718982243948878,0.8687734950723679,0.8360970675931129,"current order, n_pass 12",1,CGD,0.4680532821471758,252.3
