model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,TOTAL_additive_only,secs
"strain x0.25, pert x8",0.445606293652385,0.5128705139727455,0.267221845045249,0.1898359167802819,0.6069474331493785,0.8552086374139923,0.3729733439066485,0.21577002915791765,0.24421418481115298,0.614078584724093,0.5583305785340198,0.9830316789699829,0.9643411130454562,0.8341399346337935,0.8353373786156769,"strain x0.25, pert x8",0,CEK,0.4311342640161955,166.9
"strain x0.25, pert x6",0.46965163914233027,0.4570900035967717,0.26305702488370464,0.20584606359312158,0.6138723506579005,0.864955450059198,0.3572873066446288,0.34682845796977807,0.23662763334499695,0.6330884625657509,0.5467731589960672,0.9840224959962308,0.9664622824486929,0.8463943480410714,0.8278756401875715,"strain x0.25, pert x6",4,CEK,0.45878957770440054,167.7
"strain x0.25, pert x4",0.4575782212774766,0.4931902469810864,0.28190832860879683,0.17803447868138914,0.6203861127684079,0.865482274409453,0.37915333565284043,0.3035236978911644,0.19980269955812424,0.6166058439225407,0.5473513720052802,0.9813984431328079,0.9610260189903861,0.8502394546229817,0.8166872750118261,"strain x0.25, pert x4",3,BAH,0.4425004324104154,170.1
"strain x0.25, pert x4",0.4444366129475685,0.5114461085174933,0.2684845053688127,0.18992592063697597,0.6079679108122796,0.8553560510493813,0.37307080574119816,0.21029408075751146,0.24329739826703578,0.6141422842709895,0.5593035414076845,0.983011341472503,0.9643223064322272,0.8343388876369434,0.8359248734285987,"strain x0.25, pert x4",0,CEK,0.43118701982021607,178.5
"strain x0.25, pert x6",0.442878834112953,0.5155252906995549,0.27331263011412077,0.21701277414662945,0.6019652228115224,0.8434884339428882,0.3798494176412882,0.20473962937664744,0.24251079746387758,0.6218698648565407,0.5516344212058834,0.9792084189196311,0.9565772637485055,0.8180708671511889,0.8275506669980296,"strain x0.25, pert x6",2,DHY210,0.4317771200722026,178.5
"strain x0.25, pert x6",0.45809365893843185,0.4932573912480745,0.2821525482395211,0.1780206858180411,0.6205638466350731,0.8654491145646194,0.37927877825293455,0.30529793006570494,0.20047483600962626,0.6166203599332398,0.547351045077682,0.9814150866472123,0.9610704071172236,0.850057594711714,0.8171994056090357,"strain x0.25, pert x6",3,BAH,0.44155218211778363,180.0
"strain x0.25, pert x8",0.4988713790828119,0.49018172305512,0.3307945120115053,0.22187243312327148,0.6422125981463918,0.8889026221904912,0.40344461114748525,0.36236801377649314,0.2810277257190355,0.6318003806493673,0.567410317875998,0.9863121918371176,0.9715679603566862,0.8702258195575131,0.835873491597049,"strain x0.25, pert x8",1,CGD,0.46580505685714546,181.2
"strain x0.25, pert x4",0.4652629741066299,0.5065338322815502,0.3070683087341026,0.23985798365674896,0.6318433950760731,0.8797721847489739,0.3998058122136756,0.23187323864328,0.2637690152408631,0.6233491302402091,0.5578744060513339,0.9847477566860907,0.9683764918054877,0.8606057537384574,0.8294890125109272,"strain x0.25, pert x4",5,CGD,0.4507247749026855,184.3
"strain x0.25, pert x6",0.44503234751485465,0.5122536196069561,0.2675248824920963,0.18884703891800445,0.6083633871793025,0.8551543672947719,0.37285068004486105,0.2141260205010445,0.24309085455697382,0.6139584821103531,0.5589916164409209,0.9830113105541654,0.9642987500318093,0.8342490981810442,0.8359395313366639,"strain x0.25, pert x6",0,CEK,0.4310596488526628,184.6
"strain x0.25, pert x4",0.44364183768216797,0.518711264060535,0.27339141190477456,0.21711939051209972,0.6007086730914653,0.8435421292110766,0.38100757698827703,0.20741598958963045,0.24207435475005318,0.6215189530030537,0.5526310684928251,0.9792444400542254,0.9565992070821034,0.8181197580431268,0.8283119932279843,"strain x0.25, pert x4",2,DHY210,0.4325841496554612,190.7
"strain x0.25, pert x4",0.46884988748412487,0.455921176081621,0.26422257376612845,0.2071990529471052,0.6133972092672437,0.8648686691961888,0.35742057190237403,0.3430886074616971,0.2360884137682248,0.6332704017591053,0.5471713249479736,0.9840144102793709,0.9664183227385459,0.8460700278289183,0.8294014616667006,"strain x0.25, pert x4",4,CEK,0.45912768004316196,192.0
"strain x0.25, pert x6",0.49838277261529224,0.48798211716593565,0.3332828760422384,0.22300877430265068,0.643271294717856,0.8890078245873261,0.40363211992249837,0.3577417322517245,0.2822915760161476,0.6327294368152514,0.5678714476420567,0.9863698599269367,0.9716727764136274,0.8701811093762648,0.8362009344614066,"strain x0.25, pert x6",1,CGD,0.46686861614783015,193.2
"strain x0.25, pert x4",0.49749687846149,0.48660259273123097,0.3344287426859475,0.22248393541011627,0.6425708783981434,0.8889939301070705,0.40334153819160407,0.35358696042579807,0.28241726593420613,0.6325963074264256,0.5680446375506285,0.986368785607587,0.9716733608732738,0.8701385579766366,0.8366406174970277,"strain x0.25, pert x4",1,CGD,0.4684163086490991,197.5
"strain x0.25, pert x6",0.4646410302962872,0.5064451660566419,0.30520758354572164,0.23862220456866687,0.6327806379969017,0.8795590600674501,0.39892601729571375,0.23131888615996316,0.26277918202118117,0.6232402396252115,0.5570815272023747,0.9846978089883587,0.968274227327567,0.8604315863452338,0.8289859296673588,"strain x0.25, pert x6",5,CGD,0.4497235563594378,220.3
"strain x0.25, pert x8",0.4582517454444374,0.4932885668092093,0.2821520918191079,0.17858641266572298,0.6200415567991353,0.8657375282789193,0.37934322093960177,0.3053081124176034,0.2008058329936667,0.6169857197825329,0.5469414698649169,0.9814730102427636,0.9611928159227799,0.8500573583761355,0.8161454697576479,"strain x0.25, pert x8",3,BAH,0.44088319602312104,173.8
"strain x0.25, pert x8",0.4428919001017616,0.5153597809402088,0.27304787784645373,0.21742942184006991,0.6015896229290785,0.8435070028802371,0.37969862510520086,0.20458700238399596,0.24293405758674672,0.6218618140206427,0.5515089970640229,0.9792346272667484,0.9566041634988567,0.8180436381286015,0.8277655468011382,"strain x0.25, pert x8",2,DHY210,0.4311145105564636,178.0
"strain x0.25, pert x8",0.47169113040444194,0.459682687420837,0.26301717227925125,0.20674650078426343,0.6142282293149807,0.8653884910995207,0.35846958040205484,0.35271297724571216,0.2386494832549722,0.6335742735188933,0.5473223526399574,0.9840602124290004,0.9665589678515194,0.8466611526816983,0.8288334706428256,"strain x0.25, pert x8",4,CEK,0.45881054468947446,179.1
"strain x0.25, pert x12",0.4450981063953727,0.5118025654276731,0.2659957575999464,0.18837317736745443,0.6073553548638575,0.8550141028676006,0.37188963860455526,0.21497488189248615,0.24460184526726497,0.6136222127766275,0.5569061892220137,0.983003277340558,0.9642761822109329,0.8341265897153938,0.833600846506111,"strain x0.25, pert x12",0,CEK,0.4313452877968038,172.0
"strain x0.25, pert x8",0.46439919702546506,0.5055027433828394,0.3051563418118492,0.2392335389432244,0.6326539861906909,0.8796089478543565,0.3985963378848903,0.2300994439777087,0.2632472900250449,0.6233787725590482,0.5564219785383117,0.9847168975862135,0.9683087368879557,0.860303763717533,0.8282193121505129,"strain x0.25, pert x8",5,CGD,0.44899140055267,176.7
"strain x0.25, pert x12",0.49971306327834286,0.49191028837238093,0.3305069041686307,0.22120502258172595,0.6418413335107552,0.889056048892063,0.4039699356813871,0.3660470933549498,0.280846390030966,0.6314410919053596,0.5677312742372865,0.9863351394957294,0.9716212031423009,0.8703632875909786,0.8363798070631325,"strain x0.25, pert x12",1,CGD,0.46442354691543186,176.9
"strain x0.25, pert x12",0.4417015347224277,0.5131244495843017,0.2721333743673918,0.2152268341068773,0.602497240956488,0.8433701078780346,0.3782533540676116,0.20145245684723456,0.24260953135539817,0.6214064547557955,0.5502226302762351,0.9792102529345156,0.9565591864687313,0.8178754800166695,0.8263522507029681,"strain x0.25, pert x12",2,DHY210,0.4299905136220084,176.4
"strain x0.25, pert x12",0.4725111501590671,0.4607990875598134,0.26230068054233374,0.2045020924113866,0.6140720866190683,0.8654951814058376,0.3583333863826845,0.35622031562963036,0.23984007965369855,0.6328958980482049,0.5465419684148439,0.984047241872181,0.9665589490871056,0.8468566535878125,0.8277455761607904,"strain x0.25, pert x12",4,CEK,0.45926007054882356,176.6
"strain x0.25, pert x12",0.45941335238756725,0.4945779613751122,0.2815186451854745,0.17834157406745968,0.6210912365268022,0.8657759111603494,0.3797050970843584,0.31041630088785915,0.20100514794189686,0.6172765670602218,0.5463989882486878,0.9814770434645802,0.9611957795676378,0.8500297095504359,0.8156804457431032,"strain x0.25, pert x12",3,BAH,0.43999704547290913,180.4
"strain x0.25, pert x16",0.44466316532535666,0.5122720502780135,0.2657240190317133,0.189249916574798,0.6061273415394025,0.8547194271255534,0.3719699631105564,0.21461181504168872,0.24280965775333577,0.6136568140442962,0.5575362631834484,0.9830022891334975,0.964233703968042,0.8337827335287037,0.8344387093745905,"strain x0.25, pert x16",0,CEK,0.4314472354949203,184.0
"strain x0.25, pert x16",0.5012273703593806,0.49488025964221977,0.32943425381145813,0.21997975036304204,0.6414485733613728,0.8888459877541878,0.4046638589459153,0.37341479000547595,0.28067325458571213,0.6310111906798972,0.5674696017167372,0.9862844427496005,0.9715237011029695,0.870319843131457,0.835234158685443,"strain x0.25, pert x16",1,CGD,0.4634976775317426,189.1
