model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,TOTAL_additive_only,secs
"strain x0.25, pert x1",0.4932900265776309,0.4791120934498016,0.3389458780579324,0.2241112288126448,0.6346247721342541,0.8888581253004384,0.401508784603767,0.33423735135992183,0.2838994970238291,0.6309473256940273,0.5683820624089712,0.9863723065538256,0.9716966334760748,0.8697301581780366,0.8376787429703653,"strain x0.25, pert x1",1,CGD,0.47137572794905414,169.1
"strain x0.25, pert x0.25",0.4394388738212857,0.5146093499291238,0.2752075955727588,0.21680389507201517,0.5773547293429593,0.8418132163720138,0.37861350583523445,0.19528215590106912,0.24166702474421195,0.6141579140442053,0.552344531091952,0.9790279620393547,0.9562070106361666,0.8159977904306644,0.828302166407804,"strain x0.25, pert x0.25",2,DHY210,0.4318262363517267,169.9
"strain x0.25, pert x0.25",0.48673653877855455,0.4711791847748785,0.33851521758605785,0.224613862770692,0.6168500172755604,0.8876908199940434,0.39691011696892226,0.3129880510362012,0.28294408912267727,0.6252024845832234,0.565283380948345,0.986281244173551,0.9714943538530307,0.8681085921149183,0.8343001169030678,"strain x0.25, pert x0.25",1,CGD,0.47084320588602024,181.3
"strain x0.25, pert x0.25",0.4354222981137097,0.5012629381789068,0.27178138738433766,0.19265356021357896,0.5881649146344634,0.8516503810866682,0.369669781167786,0.18338800091529073,0.23635031170384851,0.6088592643484108,0.5568237529152121,0.9827353329176362,0.9636474821757941,0.8292329312311332,0.8327683572101852,"strain x0.25, pert x0.25",0,CEK,0.4274857603622274,182.1
"strain x0.25, pert x0.25",0.46026420070803387,0.4471850574886321,0.26844999427061117,0.20811989033734724,0.5919074035818062,0.8614229571512086,0.35425987031774814,0.31818040719221463,0.22886092729944826,0.6276544911829585,0.5448185136345339,0.9837457647234187,0.9658013812007259,0.8410658258936279,0.8261545176838965,"strain x0.25, pert x0.25",4,CEK,0.4527636627504512,183.1
"strain x0.25, pert x0.25",0.46044965319358605,0.4990438289886452,0.3105831987336267,0.24419578824640412,0.6069116351541253,0.8790025064557354,0.39714914971147985,0.21525965178851103,0.2636302378168677,0.6173680763241405,0.5569415784215829,0.9847481330843528,0.9683605151050624,0.8591668791992036,0.8275969404831958,"strain x0.25, pert x0.25",5,CGD,0.45107728505975553,188.9
"strain x0.25, pert x0.5",0.4627712375854782,0.44942161161790517,0.26859761245716024,0.20885240164395533,0.5992331790487274,0.8628003861238525,0.35580216308235824,0.3236847497926134,0.23109559130536256,0.6300790507491095,0.54593292591224,0.9838644974942511,0.9660602722239999,0.8428811459020977,0.8274248841121997,"strain x0.25, pert x0.5",4,CEK,0.4549767079187876,189.0
"strain x0.25, pert x0.5",0.43779381730879763,0.5037627323199992,0.2718880236804137,0.19175619040412467,0.5953890837521192,0.8529829501339392,0.3710374630032148,0.18957789140436912,0.2377313385619215,0.6109574084455731,0.5576054938678131,0.9828431086923427,0.963896569459211,0.8310227279917143,0.8337120574174383,"strain x0.25, pert x0.5",0,CEK,0.42884495519037896,194.3
"strain x0.25, pert x0.5",0.49021430619197576,0.475526527974525,0.3389297915880057,0.224074976084497,0.6263655307877436,0.8883354170990516,0.39944543153466733,0.3243537591859387,0.283344153858614,0.6279157986419589,0.567094048307842,0.9863181061549561,0.9715861050746117,0.8690664080420997,0.8367419553471347,"strain x0.25, pert x0.5",1,CGD,0.4712913122874651,195.1
"strain x0.25, pert x0.5",0.4622858628217265,0.5013744908065638,0.31098051215933903,0.24384537368653517,0.6153451789360445,0.8794580210310478,0.3987441275680555,0.22009670332993142,0.2640748876683054,0.619727638567207,0.5580228933426991,0.9847865530116243,0.9684604875585667,0.8597560524877831,0.828568353600462,"strain x0.25, pert x0.5",5,CGD,0.4521548815618603,197.7
"strain x0.25, pert x1",0.4409599146999653,0.5075169865671987,0.27146167132332905,0.19140784290517485,0.6018743823369457,0.854378470929038,0.3726589804420159,0.19851341211868026,0.23987617996083474,0.6128423210083881,0.5591464977382374,0.9829453686651167,0.9641612852062976,0.8329514342843461,0.8352436843845016,"strain x0.25, pert x1",0,CEK,0.43031250368375334,199.2
"strain x0.25, pert x0.5",0.44141754806668576,0.5164860942990956,0.27596376194008243,0.21774261989039045,0.5856023696249043,0.8426276632998554,0.38032613891416206,0.20010370929251894,0.24201418916275794,0.6169304838243114,0.5538770520937518,0.979136351205285,0.9563921598512634,0.817142047148335,0.8301950710062131,"strain x0.25, pert x0.5",2,DHY210,0.43291335551540433,202.8
