held_out,estimator,corr,rmse
BAH,zero (what we do now),,0.526801586151123
BAH,unweighted mean of others,0.012150664685948881,0.526801586151123
BAH,genome-weighted tau=0.3,-0.16160001866098597,0.554015471695559
BAH,genome-weighted tau=0.6,-0.16710568192940323,0.5374217925642094
BAH,genome-weighted tau=1.2,-0.16995582051676614,0.5303056690636524
BAH,nearest relative (BAI),-0.13523664998696625,0.6049957275390625
BAI,zero (what we do now),,0.37171921133995056
BAI,unweighted mean of others,-0.01581172545781506,0.37171921133995056
BAI,genome-weighted tau=0.3,0.33040596247972726,0.3463365885361525
BAI,genome-weighted tau=0.6,0.34715038765769907,0.3507791058265784
BAI,genome-weighted tau=1.2,0.3556277706855959,0.35893580220191307
BAI,nearest relative (CEK),0.26524233697696636,0.4169597625732422
CEK,zero (what we do now),,0.42005378007888794
CEK,unweighted mean of others,0.0020298206459009563,0.42005378007888794
CEK,genome-weighted tau=0.3,0.30960989069569955,0.3979875792946241
CEK,genome-weighted tau=0.6,0.28836199617016944,0.3992751209586907
CEK,genome-weighted tau=1.2,0.27622322329921656,0.405311009094868
CEK,nearest relative (BAI),0.34803865901820413,0.4169597625732422
CGD,zero (what we do now),,0.3951926827430725
CGD,unweighted mean of others,-0.0035975966685959887,0.3951926827430725
CGD,genome-weighted tau=0.3,0.05348834976618645,0.4160740250367917
CGD,genome-weighted tau=0.6,0.053079705828828344,0.4007606682154999
CGD,genome-weighted tau=1.2,0.05290590187466211,0.39271875849072296
CGD,nearest relative (BAI),0.23614372016317894,0.43558451533317566
