model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,TOTAL_additive_only,secs
REF (no instrument),0.42369160612200163,0.5140190094138919,0.25075031557747834,0.18946042387598722,0.5899979592315744,0.8164666020433058,0.3653060526212505,0.1929429275384904,0.21859467843200125,0.5996940150276449,0.5358969972233002,0.9752365105491044,0.9479330854822795,0.784868576200298,0.8071281464769389,REF (no instrument),2,DHY210,0.4141933228114177,181.2
instr lam=1,0.4302773880358252,0.5154763910472474,0.2631255142035792,0.20044520835587443,0.5900862580972733,0.8193928063087283,0.3725663274264055,0.19642355529436914,0.231885310926813,0.6042742758706144,0.5433608817236054,0.9773419939443361,0.9508797060071713,0.7880927580469991,0.8137002701613167,instr lam=1,2,DHY210,0.4199571494337611,185.0
instr lam=1,0.45600231158761967,0.5015090935388132,0.2948378978014606,0.22863598677358063,0.6193077795215115,0.8742678842892896,0.39061546403582653,0.2195662413778752,0.25195996513398083,0.6165076254606174,0.5507772974474433,0.983899927140991,0.9666056635121189,0.8560561215468419,0.8232241429648012,instr lam=1,5,CGD,0.44496076034834814,185.6
instr lam=1,0.46686663938970213,0.4479890448554837,0.26756975699075775,0.20623390671502007,0.6036532711345891,0.8615914087728649,0.3547530164436541,0.3383286907091485,0.24052674628039755,0.6303065193848596,0.5411672837564099,0.9839604125382535,0.9662050978938144,0.8413278768154483,0.8159877563360557,instr lam=1,4,CEK,0.46088880045335157,186.4
REF (no instrument),0.42605894347056994,0.5056872406807429,0.24950133787482492,0.17621711956428102,0.5990114630530833,0.8292297011241864,0.36036780079064507,0.1903657306005942,0.22408763897753603,0.6001422499998296,0.5443230826492478,0.9790184699046495,0.9561483127684611,0.8028227316539711,0.8177553451574947,REF (no instrument),0,CEK,0.41669057540677223,187.0
REF (no instrument),0.4514100041389001,0.4848017060372611,0.28381242394954653,0.17585794501577723,0.6065861979118595,0.8612330074928211,0.3750316818383459,0.29093903102591784,0.1950893036903077,0.6105745219991479,0.5428472607517884,0.9810899777090805,0.9603189351334289,0.8453976096386034,0.8119026922172883,REF (no instrument),3,BAH,0.44058505105223283,189.4
REF (no instrument),0.4545524040864831,0.5002831693954927,0.2942921962738776,0.2290361353739577,0.6189761142249754,0.8721245385363917,0.3899331142589486,0.21676275757873373,0.2513209207512741,0.6159239179431111,0.5487018070830979,0.9836470889398853,0.9659796638036809,0.8528777460685834,0.8203958291371298,REF (no instrument),5,CGD,0.44389094539436447,190.6
REF (no instrument),0.484233855031573,0.47269935138415853,0.3191669067477535,0.21805604653565674,0.6303006054041129,0.8814238155358816,0.3903595197630195,0.3293595585339236,0.26804990912207,0.6302022859834767,0.5571417970819085,0.9852669488209296,0.969316552027395,0.8622612458498278,0.8268861674542617,REF (no instrument),1,CGD,0.46620839968094796,191.0
instr lam=1,0.4511770540922275,0.4837840997031851,0.2837775380439373,0.17564014627970187,0.6072173940216741,0.8633139361863549,0.37458287052478495,0.2877616082539798,0.19502380157154672,0.6115892056031701,0.5430509339667599,0.9812724511403768,0.9608873053931225,0.8485372223924758,0.814389973810718,instr lam=1,3,BAH,0.44164606064156586,191.4
instr lam=3,0.4387489423165229,0.5060024682171707,0.26952815302857547,0.1925766192051416,0.5989304835707896,0.8505969678997356,0.37119215499834407,0.19000031567502418,0.24533203697852804,0.6101841424649794,0.5549325041956279,0.9828584351025592,0.9638106708663287,0.8282998523244232,0.8240138920895057,instr lam=3,0,CEK,0.42924437446700037,191.5
