model,TOTAL,FC[chem_only],FC[straonly],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc
GBDT leaves=127,0.44990174389039095,0.4915200862452196,0.28190059680050833,0.19646726848489693,0.6154281367060253,0.8293120412339672,0.3752215199988057,0.2633405565418397,0.2495919181333872,0.601040011615565,0.5508691909458833,0.9817532003137903,0.9620096583965623,0.7997766348079542,0.822592120516928
ensemble 0.75*GBDT + 0.25*MLP,0.4496768093910738,0.49167279725076996,0.28147716511261556,0.19764541517822043,0.6203116691322291,0.8297336203726007,0.375576881679392,0.2613704492994483,0.24831798538514704,0.6029627955570575,0.5520379680816156,0.9817937965250243,0.9621335849420234,0.8002457342424838,0.8244252056638396
GBDT leaves=63,0.4494921041670235,0.49043116312821033,0.28207841913203857,0.19666516621086838,0.6156983310336936,0.8294961102827916,0.374909340362208,0.26080580187720415,0.25021493717043797,0.6011438272417096,0.5509403297242769,0.9817696967665516,0.9620585946703473,0.7999666048642031,0.8228405164524688
+ GBDT residual,0.4492991201908666,0.49099842031151225,0.28169269872395564,0.196462050088835,0.615133542228702,0.8293742610473338,0.3749211449609147,0.26136227647078175,0.2488148804602594,0.6009881918229218,0.5511946234534137,0.981751825497982,0.9620207888755361,0.7998287920671823,0.8235149402117068
GBDT leaves=31,0.4492991201908666,0.49099842031151225,0.28169269872395564,0.196462050088835,0.615133542228702,0.8293742610473338,0.3749211449609147,0.26136227647078175,0.2488148804602594,0.6009881918229218,0.5511946234534137,0.981751825497982,0.9620207888755361,0.7998287920671823,0.8235149402117068
ensemble 0.50*GBDT + 0.50*MLP,0.4470776989330133,0.48872340060817754,0.28097929664973115,0.19863288217143205,0.6232286714067721,0.8296711687226892,0.37450000379155657,0.2500524407858655,0.24757483734147298,0.6041059561002713,0.5516482601018301,0.981794250747525,0.9621461790050928,0.8001048160107149,0.8240598280476706
ensemble 0.25*GBDT + 0.75*MLP,0.4425190149232482,0.4829398361544789,0.2801969522538322,0.1994179099613862,0.6238576936222897,0.82918641683963,0.3720039850450112,0.2320044330995957,0.2465858888205854,0.6044049835000276,0.5504434512006093,0.9817531776362813,0.9620585710077318,0.7994041131116324,0.8233145229088334
MLP h256 e400 wd1e-3,0.43703067620019787,0.47507952089406835,0.27913122876974067,0.19999778377821642,0.6222532243792323,0.828281046661647,0.36839596709786593,0.21195804443677133,0.2453554096294046,0.6038828312990756,0.548490023005185,0.9816705933692947,0.9618707610833346,0.7981503213086049,0.8220066215497162
MLP h256 e400,0.4370163589797097,0.4750524674551102,0.2791296556872814,0.19998352314941453,0.6222533090517586,0.8282818127488605,0.36838204030861865,0.21189649370834138,0.24536661670200555,0.6038804994600131,0.5484762864942445,0.9816702501759142,0.9618706773382202,0.7981497051819095,0.8219897906930664
MLP h256 e800,0.436906005830313,0.4750755884069282,0.2799114784987339,0.20001229900793277,0.6195480721789941,0.8278778313603611,0.36841222271391255,0.21130908312341,0.24632639056176064,0.6027847429552344,0.5484362969441008,0.9816471459322877,0.9617820419492789,0.7977001403123563,0.8217664210972413
MLP h512 e400,0.4362793381558302,0.47257312094072457,0.27994764983714177,0.19993607191456725,0.6200886954085476,0.8277839362086085,0.3675175937681199,0.209271017472781,0.24655414707705375,0.6032076486931375,0.5471470938559561,0.981629763699766,0.9617418265850999,0.7976408541392486,0.8206240031308925
additive only,0.4358672446044323,0.4831250907201404,0.2697390414127875,0.19683327514178928,0.596830366477699,0.8296482543923218,0.36587109689647246,0.22240471106098386,0.23540755257433782,0.5958986935655903,0.546349948364529,0.9817008951132035,0.9620672224814555,0.7999130898616877,0.8196018903031705
