model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,secs
strain before plate,0.4588145475625106,0.4940318890362687,0.2828853041056808,0.17570530883949428,0.6220399135195646,0.8657912307352429,0.3796292213410913,0.30786786563223634,0.20126562902393683,0.6159884573342479,0.546469028310596,0.9812724452818048,0.9607156539682964,0.8515222622440296,0.8153794416271334,strain before plate,3,BAH,1144.0
adopted,0.4594648724346966,0.4941135073528669,0.2850608982516095,0.1781707992226981,0.6215539791510839,0.8659490808332371,0.38077493179045874,0.30758149058045114,0.2023858935232503,0.6170152726860547,0.5477263846217741,0.9814590778009575,0.9611490538000094,0.8508762355319237,0.8168254991220546,adopted,3,BAH,1149.8
adopted,0.49924275467422596,0.48721460234473035,0.33680892541481444,0.22297666621137593,0.645689110535175,0.8894005268062034,0.404739691277414,0.3569041738920996,0.28483792582643225,0.6338324952165666,0.5689211405653745,0.9864177056488419,0.9717783965213906,0.8706551749669862,0.8373122272727872,adopted,1,CGD,1162.8
adopted,0.46396723172796833,0.49093030874991656,0.2911896271988162,0.16362209075927506,0.6435014323628551,0.8643766463069941,0.3790424326775963,0.3234270580468201,0.21343049443680814,0.6168207516265986,0.5455541727556994,0.9810205902551864,0.9599751226139963,0.8499337883275887,0.8161553199420551,adopted,8,BAH,1179.6
strain before plate,0.46350518480053454,0.49102928564667914,0.2889207572904513,0.16214207609099762,0.6436898669267739,0.864440832569194,0.3780295140171407,0.323857304494571,0.21252058596698334,0.6160595517680638,0.5445621302658644,0.9808718066767211,0.9595886591580141,0.8507587052390527,0.8149775408947395,strain before plate,8,BAH,1182.6
strain before plate,0.47091897993152787,0.5070617393316708,0.32312957998393704,0.24930304771898457,0.6345888921862303,0.8849221043443684,0.40783169096051614,0.23258317000021467,0.2733738416182864,0.6273435669511152,0.5610175460742689,0.9857833665757141,0.9703450745092935,0.8653383113802142,0.829887678876469,strain before plate,5,CGD,1196.8
adopted,0.46615864243408844,0.5067355756423715,0.30919699059226763,0.2397147546607782,0.6344564591042067,0.8800747506991092,0.4008807620372273,0.23212736433957024,0.26592404404417774,0.6241820454627609,0.557900311238682,0.9847809332824587,0.968449167322715,0.8609572125667856,0.8294873351943776,adopted,5,CGD,1204.4
adopted,0.43760117474904636,0.5213316008480775,0.2660122149396475,0.2253756029192253,0.6326645320385976,0.8540604443067558,0.37575109535689866,0.2163561466060224,0.19669270760455682,0.6287816767558689,0.5472674706153563,0.9801568508981494,0.9586389889867567,0.8393794000743027,0.8176255256321794,adopted,7,BAH,1241.0
strain before plate,0.43704331115016326,0.5215555959939566,0.2627487074652255,0.22638362065253076,0.6328604467387573,0.854093677673374,0.37442499368180016,0.21682772687359775,0.19524703042622826,0.6290193497639771,0.5460288151735099,0.979963292099614,0.9581681146088475,0.8402819385733317,0.8163718884973622,strain before plate,7,BAH,1251.3
strain before plate,0.47364588003295705,0.49847633001953073,0.32163341290266645,0.246880802955487,0.6200232072692983,0.8833327805421485,0.40240348341200105,0.24650688899204976,0.2742699861838798,0.6431829633739174,0.5580956339789878,0.9853824542234736,0.9690972546742118,0.8632913010833752,0.8275773547272737,strain before plate,6,CGD,1355.1
strain before plate,0.5037319554828708,0.4879606222773085,0.3509889071486662,0.228629338025247,0.6458689817690383,0.8937980280424089,0.4110739108042733,0.3590425320597385,0.2914046743496955,0.635298970459245,0.5716906769101869,0.9872799209994667,0.9734010180540089,0.8751676186553716,0.837822221192929,strain before plate,1,CGD,1402.7
adopted,0.4684785612171015,0.49793636432454236,0.30668474808925683,0.23926906947406706,0.6197148936548122,0.8784132731478781,0.3951269365425976,0.246174945600925,0.2655753308074082,0.6394865327007706,0.5543092780026556,0.98436251023196,0.967169014548969,0.8588998469651058,0.826352769581843,adopted,6,CGD,1501.3
pert x8,0.4608164204718145,0.4953873952958086,0.2848137872001329,0.17768927234389087,0.6228869092832624,0.8660380992810417,0.38125101268317824,0.31278952632724605,0.20312522494270785,0.6174223066605893,0.547417330495236,0.9814813859280513,0.9612142838044571,0.8507859916078521,0.8168596467850372,pert x8,3,BAH,1127.7
pert x8,0.501083753297497,0.4909325296738111,0.3347345032842781,0.2216666466868144,0.6464163734271399,0.8894587646228558,0.40544491304957964,0.3659054434250397,0.2841342932035096,0.6338680262499764,0.5687204431964682,0.9863975626129171,0.9717364619152482,0.870784667109704,0.8369071565004484,pert x8,1,CGD,1208.1
pert x8,0.46586802626615087,0.5065910588387016,0.30774860169273294,0.23784678132257348,0.6356454321829862,0.8798917961306155,0.4000739995837885,0.23257127833558106,0.2655637127634419,0.6239488653293045,0.5569856478269116,0.9847366129039189,0.9683581054151424,0.8608103007334941,0.8285303770408187,pert x8,5,CGD,1225.0
pert x8,0.4645873808015427,0.4912689387484036,0.29014493841995853,0.16340109052276525,0.6444058711565614,0.8642995671690865,0.37881417010407664,0.326800925034519,0.21361571022978892,0.6169798276482632,0.5448523004803655,0.9810026267965852,0.9599296120020026,0.8497386902185615,0.8154611819581394,pert x8,8,BAH,1195.7
pert x8,0.4673239304151875,0.49620233731592933,0.30485354949996674,0.23667798058299644,0.6205255261464515,0.8780858438620254,0.39340740453606593,0.2439263149054929,0.265132248781748,0.6388812405790512,0.5531014742682528,0.9842878716022485,0.9670241385730011,0.858667393017918,0.8255476169330223,pert x8,6,CGD,1242.2
pert x8,0.43749782467136905,0.5209240353940238,0.26541358205967464,0.22461630790159381,0.6346017618784766,0.8541016638799134,0.3753781116797702,0.21583674559127825,0.19702837517509608,0.629114713538543,0.5469693693662939,0.9801482140950907,0.9586486437967588,0.8394791314300768,0.8176800274981539,pert x8,7,BAH,1229.2
320 comp,0.4994633972355584,0.4871422596273309,0.3372086857496727,0.2230311489953956,0.6455891272965532,0.8892982655995045,0.4048569009773679,0.35747857117124715,0.28529398095688513,0.6339341144477361,0.5688319400183076,0.9864067623695237,0.9717560113149039,0.870513105892736,0.8371729485602422,320 comp,1,CGD,1609.6
320 comp,0.4686675227115204,0.49803197171895236,0.3070438738068063,0.2392526635875047,0.6195601909916886,0.8782874494668109,0.39529920695455695,0.2466636684431356,0.2659761826166975,0.6394640753390177,0.5542170666730103,0.9843494494594508,0.9671421122669128,0.8587222688831984,0.8262280592709443,320 comp,6,CGD,1564.9
320 comp,0.4662121283342474,0.5066147283934317,0.3095369033244629,0.23959956625694176,0.6343519762826854,0.8799409124610229,0.40094472995316516,0.23217182811846715,0.26630458524204637,0.6241216478645365,0.557606317903902,0.9847670152146928,0.968421308423735,0.8607902672670682,0.8290251983864125,320 comp,5,CGD,1588.0
320 comp,0.4596345557265785,0.49393229910598235,0.28547282927760387,0.1781271913920405,0.6211951550606308,0.8658632068408826,0.38081553534888885,0.3080585087437662,0.20286268292618262,0.6169089783803043,0.5476578869831922,0.9814489568862892,0.9611284807481193,0.8507622582738152,0.8165207527901069,320 comp,3,BAH,1520.3
320 comp,0.4375768440864797,0.521043048013866,0.26642177943906903,0.2252648761143718,0.6320906623305843,0.8539347146218934,0.37579040172687944,0.21598868035848506,0.1971519825094751,0.6285570399889354,0.5471692831579108,0.9801404052704666,0.9586066912077417,0.839242686451163,0.8173177353288448,320 comp,7,BAH,1699.0
320 comp,0.4640824685938644,0.4907564523902995,0.29160306829327937,0.16352129331209495,0.6430704237633476,0.8642743086188871,0.37908520699684356,0.3237533377198891,0.2138828813005923,0.6166570212498835,0.5452671838358288,0.9810064108267397,0.9599470976136654,0.849822888044605,0.8156356620268501,320 comp,8,BAH,1875.8
