config,mean,sem,n,delta_vs_current,delta_sem,beats_current
lam_plate_x_strain=6 (default),0.4432901146404588,0.009362332563591308,6,0.0004928802427950166,0.0004636919649808824,False
booster lr .015 / 1600 trees,0.44325168055870584,0.009551207221667128,6,0.0004544461610420843,0.00020078665869865606,True
booster 160 comps,0.4431411676711357,0.009596775402900997,6,0.00034393327347199504,8.507664688023191e-05,True
"REF tuned (lam_plate .3, booster 96/800)",0.4427972343976638,0.009548236245770647,6,0.0,0.0,False
lam_plate=0.45,0.4425237942728851,0.009554693954379752,6,-0.00027344012477870105,0.0002003340120525925,False
lam_plate=0.15,0.44232833908046315,0.009244715692676079,6,-0.0004688953172005683,0.00039250030677854484,False
lam_plate=0.6,0.4421348392366499,0.009526686919486034,6,-0.0006623951610138235,0.0003620956660278918,False
lam_plate_x_strain=1,0.44136803321009427,0.00942118620532811,6,-0.0014292011875695159,0.00024093383045107602,False
lam_plate=1.0 (untuned default),0.4399268332508374,0.009305377202202711,6,-0.00287040114682637,0.0004294726717629673,False
additive only (no booster),0.4323765080501995,0.00849021740173706,6,-0.010420726347464243,0.0017308847526330876,False
