model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,secs
"REF tuned (lam_plate .3, booster 96/800)",0.41876699042704796,0.5072106548064705,0.24441463055434173,0.17368872460163245,0.6007183642970935,0.7993107393926665,0.35853296918590516,0.1906444094940458,0.2273309438869866,0.5844660602904725,0.5445984709356924,0.9783750478902928,0.9549667263150883,0.7684037781196391,0.8189416139100362,"REF tuned (lam_plate .3, booster 96/800)",0,CEK,355.3
"REF tuned (lam_plate .3, booster 96/800)",0.4161502251703749,0.5160244996592195,0.24827850620869868,0.18876275143557247,0.5900903038398921,0.7840952211114716,0.364911290436818,0.19825042136549637,0.21887634417290505,0.5785367883735986,0.536486527876719,0.9746880958141692,0.9468315447387481,0.7512962953596041,0.8082027716716152,"REF tuned (lam_plate .3, booster 96/800)",2,DHY210,360.9
lam_plate=0.15,0.4453818065902667,0.48549105482259297,0.28029847806797475,0.17446447662948772,0.6066458343773926,0.8369200427448737,0.3738728526023585,0.2913332735724015,0.19846996027573532,0.5949040476825549,0.5415706670563892,0.9805757998780873,0.9594902228831242,0.8129213155860041,0.8134552748882878,lam_plate=0.15,3,BAH,361.5
"REF tuned (lam_plate .3, booster 96/800)",0.4455656685552309,0.44846767577296326,0.2459538430608735,0.18744362118647417,0.6061824049040727,0.8068424606401652,0.34407700354091075,0.33404732501589063,0.22726260248395935,0.5933899321317736,0.5315389365764553,0.9800167861966038,0.9583913815364787,0.7803187316324923,0.8100009852895771,"REF tuned (lam_plate .3, booster 96/800)",4,CEK,364.5
lam_plate=0.15,0.4779539649332183,0.47335432069891065,0.3154812433773604,0.21780992611605027,0.6302888298606193,0.8580975578999633,0.3892525124830061,0.32922356117148244,0.26806029617256505,0.6176360457969046,0.5560189836794832,0.9849849932668948,0.9687880948066785,0.8307301289261884,0.8272971229020274,lam_plate=0.15,1,CGD,367.2
lam_plate=0.15,0.4161168069771049,0.5164464725716233,0.2476114272900661,0.18737937768987276,0.5905004426372541,0.7843452400812084,0.36463853464064433,0.19874842967625664,0.21846827459459225,0.5782132439787088,0.53646920097323,0.9747241977914216,0.946959994919436,0.7519903076235527,0.8092682608459472,lam_plate=0.15,2,DHY210,367.6
"REF tuned (lam_plate .3, booster 96/800)",0.44607644083834697,0.4854386918656413,0.2817058089535779,0.1755988215841649,0.6066814736174769,0.8375581625080698,0.3745221253820486,0.29092143650956837,0.20026430960716646,0.5959348763438063,0.5420728026698638,0.9806484731407276,0.9595123949834716,0.812799891334509,0.8121923152484757,"REF tuned (lam_plate .3, booster 96/800)",3,BAH,368.2
lam_plate=0.15,0.44615542459457613,0.4499070763053098,0.2448481273917989,0.18733177708295662,0.6056253043525672,0.8068156948227152,0.34417485836472794,0.33869404415251947,0.22557052329079932,0.5931087593908129,0.5316956322221217,0.9800115689919633,0.9584320067265485,0.7809280357922752,0.8111068217684634,lam_plate=0.15,4,CEK,371.2
"REF tuned (lam_plate .3, booster 96/800)",0.4503941917863576,0.5011400635031853,0.29386765096962086,0.22870328430541398,0.6193473605382,0.8499153619364782,0.3900917320201506,0.21918329875524903,0.253743483048735,0.6087624273911648,0.5485317458822208,0.9834599155267097,0.9656291605434617,0.8221593285441665,0.8200060829451115,"REF tuned (lam_plate .3, booster 96/800)",5,CGD,371.5
lam_plate=0.15,0.4491974302200373,0.5010985183091309,0.2908481707533738,0.22727787366123012,0.6189721374851174,0.8486633526053897,0.3886618996807122,0.21891027696264115,0.2514867225162228,0.6082371356329345,0.5479234263943003,0.9833199181801989,0.9653700532147814,0.8217834640171079,0.8213069442639702,lam_plate=0.15,5,CGD,372.5
