config,mean,sem,n,delta_vs_current,delta_sem,beats_current
lam_plate=0.15,0.44290282738988046,0.009200966039651929,6,0.0023215324330507583,0.0004048867819467643,True
lam_plate=0.6,0.44253011656152147,0.009254288623175726,6,0.0019488216046918045,0.00022314466184239934,True
booster 160 comps,0.4410530861526762,0.009340913903587742,6,0.0004717911958465419,8.86048976986382e-05,True
booster lr .015 / 1600 trees,0.44100346619166303,0.00933006145809389,6,0.0004221712348333832,8.558638339064577e-05,True
re-test: low-rank compound=10,0.4409749075200862,0.009267423811048012,6,0.00039361256325655863,0.0002075625502335566,False
"current (lam_plate .3, booster 96/800)",0.4405812949568297,0.009278486740299739,6,0.0,0.0,False
no plate_x_strain retune,0.4405812949568297,0.00927848674029973,6,0.0,0.0,False
lam_plate=1.0 (the old default),0.4405812949568297,0.009278486740299735,6,0.0,0.0,False
booster leaves 63,0.4404365409525452,0.009272345584058874,6,-0.0001447540042844956,0.00021105148852026205,False
re-test: cell term lam=8,0.439868184837773,0.009087567486628919,6,-0.0007131101190566702,0.0002634476339829468,False
booster 48 comps,0.4396422832209584,0.00917945082700175,6,-0.0009390117358712794,0.0001478804876534713,False
re-test: cmpd x ctx term lam=4,0.43939443782562826,0.00892096842589439,6,-0.0011868571312013594,0.0004705447566742774,False
re-test: n_pass=10,0.4344168502180499,0.008623915928015301,6,-0.006164444738779816,0.0006853877935040597,False
additive only (no booster),0.42854462836565416,0.007851546876374262,6,-0.012036666591175518,0.001889098550773903,False
