model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,TOTAL_additive_only,secs
REF (compound only),0.45470723720789913,0.44591726620445715,0.24974761597144413,0.19163060614001104,0.6032141128545175,0.8436828684280049,0.34490018965276215,0.33319017506814835,0.22224954692118581,0.6211634233739589,0.5308265874768976,0.980658443104613,0.9596143186002883,0.8195676765548765,0.8081119316562884,REF (compound only),4,CEK,0.44964174886980124,173.9
variant lam=4,0.4528082789020583,0.4429227507577657,0.25024958475966363,0.1927195442572881,0.6022858200156808,0.8434360374080564,0.3439633258272324,0.32455810192700807,0.22288856952214298,0.6213188669568067,0.5301803795625616,0.9806374914330347,0.95957656467058,0.8189668909496247,0.8076829440611184,variant lam=4,4,CEK,0.44812367679395326,178.6
REF (compound only),0.45451869475863027,0.5002689372059715,0.29429567259572004,0.22897467120872986,0.6189423574412248,0.8721207918734054,0.3899183864402907,0.21662676579678763,0.2513186417057507,0.6158988286663275,0.5487195081347223,0.9836467675796111,0.9659791050772065,0.8528729961549142,0.8204753509241807,REF (compound only),5,CGD,0.4438909453644202,181.3
variant lam=8,0.48247126874508567,0.47023104314501457,0.31915153471337715,0.21831730633585988,0.6297591900255176,0.881112364454042,0.3892909860753763,0.3224695423030954,0.26794321473343485,0.6300994326886944,0.556671093185154,0.9852278045306841,0.9692350441760144,0.8618451550284799,0.8263933834616528,variant lam=8,1,CGD,0.46545202719134027,185.8
variant lam=4,0.45029710744211837,0.483279302980018,0.2841156774975927,0.17620888626499762,0.6058589637407739,0.8610726478608609,0.37448520042922234,0.2865624799083786,0.19506115949453073,0.6103486166401604,0.5420337643608543,0.9810847671519178,0.9602974185197745,0.8452301400981896,0.8106692179412407,variant lam=4,3,BAH,0.44006650533798203,192.2
REF (compound only),0.4842206368938465,0.47267588579574954,0.3191745127548067,0.21804828773130044,0.63032796390687,0.8814256050427507,0.3903527645087709,0.3292856654903262,0.2680524223154808,0.6302344803957429,0.5571251831473585,0.9852673980398287,0.9693175208189723,0.8622650237188749,0.8268837414680307,REF (compound only),1,CGD,0.4662083997118917,193.8
REF (compound only),0.4513771017396804,0.4847475347753056,0.28382535574691026,0.17584286019042192,0.6065736906965918,0.8612345687993153,0.3750097836192203,0.29081628097446466,0.19509684151730472,0.610564427925141,0.5427734956828846,0.9810898214553876,0.9603187035715359,0.8454032501437481,0.8117611911476116,REF (compound only),3,BAH,0.4405850510390186,194.2
variant lam=8,0.4259936390793668,0.5052560064432798,0.25014148730103974,0.17613975925966927,0.5986405107640758,0.8293955237384,0.36045002953798894,0.18860672247323,0.22539780202028423,0.5998913872621141,0.5442396664455067,0.9790260657900437,0.9562020630526236,0.802823102095798,0.8175671659208837,variant lam=8,0,CEK,0.41609343898481244,195.8
REF (compound only),0.426100951808393,0.5057679290418811,0.2494808465303347,0.17626519290099998,0.5990170312383303,0.829235791326633,0.36039533139476515,0.19053659488948843,0.22407200438014332,0.6001529744619969,0.5443588678849806,0.9790195935985914,0.9561506014413396,0.8028257681710138,0.8178509593605692,REF (compound only),0,CEK,0.4166905754230206,202.3
variant lam=4,0.4543385014431227,0.5002083969791661,0.29372948547147776,0.22860370612254774,0.6185312945836683,0.8718164466548787,0.3895933460219727,0.2171235775778319,0.2508045856752206,0.6156853212203561,0.5484542166801541,0.9836109247346595,0.9658909038843997,0.8527453023760461,0.8194677090843445,variant lam=4,5,CGD,0.4439047267610541,206.0
