model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,tag,TOTAL_additive_only,secs
C,0.4572540242812521,0.4937253553716252,0.2811662850850366,0.1775002971160942,0.6201222945818106,0.8638859504763373,0.3790262858130799,0.3019610839036302,0.2017992722346042,0.6157481276910406,0.5478675747192739,0.9811083556489516,0.9604058224258042,0.8477821125583039,0.8174571407627822,C,3,BAH,cheap,0.4401330280117523,125.6
A,0.4651857764837463,0.5059279249359055,0.3077057224672372,0.2404013987149809,0.6318357984589413,0.8802522319582088,0.3998848429218157,0.2304634294995647,0.2640375643105404,0.6235547683611586,0.5581688752702739,0.9848186425757852,0.9685239448240812,0.8610830071506337,0.830122646765948,A,5,CGD,cheap,0.4503839899233903,128.0
A,0.4970321738374117,0.4854750917947829,0.3347419024767943,0.2231284133980163,0.6427435953916532,0.8894327015826817,0.4030699674482776,0.350627066420804,0.2826979198967068,0.6331234637052443,0.5680159604955873,0.986432792670485,0.9718019674754702,0.8706660563798636,0.836733299349399,A,1,CGD,cheap,0.4681101659878673,139.4
B,0.4600386991623104,0.4873340236370514,0.2879461999381303,0.1629565350903204,0.6414271678771735,0.8640016988821952,0.3760841334973445,0.3141794492778594,0.2081414468410018,0.615874040747423,0.5433148542604145,0.9810168195989392,0.9599934925073472,0.8498654102570655,0.8149228179621946,B,8,BAH,cheap,0.443729383534693,235.1
D,0.4643701389081874,0.504553336840033,0.3095018899126243,0.2415944085808676,0.6287229881910887,0.8804203189954924,0.400000575720902,0.2262455248062218,0.2641849664797243,0.6230388558656902,0.5579189467021045,0.984860378333935,0.9686184249283252,0.8611730034565576,0.828955750027797,D,5,CGD,cheap,0.4515658756141643,249.6
A,0.4660214947364287,0.4947570736374285,0.3050822838626858,0.2380731974524338,0.6180109214373524,0.8783915865567183,0.3929352624067051,0.2391147524725153,0.2636922519953433,0.6386711002263685,0.5536170181440022,0.9843606204684416,0.9671590561770852,0.8589285041277409,0.8261759355305526,A,6,CGD,cheap,0.4534508552890979,255.4
D,0.4601254727578548,0.4872249303055628,0.2908465679547814,0.1631610337231282,0.6387693569807673,0.8642410869049746,0.376999948922779,0.3097128828436136,0.2115154966419256,0.6153650723058006,0.544901700369545,0.9810392238193734,0.960001034337694,0.8496092238326723,0.8156542397612233,D,8,BAH,cheap,0.4448820327846227,128.5
D,0.466933189944507,0.496158416093988,0.3069345013950736,0.2412314068945874,0.614720562464575,0.8787901217067446,0.3944427162558655,0.2403514184616387,0.2641905145518046,0.6388971849917249,0.5553276287466108,0.9844351564014592,0.9673262925499924,0.8591940637209124,0.8270687529258526,D,6,CGD,cheap,0.4543085729657082,257.9
D,0.4355630573609342,0.519356157117917,0.2653657602852379,0.2256514687768335,0.6281548960468639,0.8538461136549115,0.3744771493081296,0.2106117420416902,0.19471774016996,0.6276435819741188,0.5468858532635511,0.9801685028011596,0.9586304409571612,0.8389664889014476,0.8171894105881783,D,7,BAH,cheap,0.4301393097048626,134.1
C,0.4609349723746027,0.4887599985969026,0.2888204855719368,0.1626448551020844,0.6406659895505215,0.8625941700111133,0.3769221145426587,0.3133279469150686,0.2136645716589418,0.6151776000096981,0.5453869204188689,0.980729672896412,0.9593507559524802,0.8471122476605967,0.8162701329165212,C,8,BAH,cheap,0.4420123012960169,260.8
