model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,tag,TOTAL_additive_only,secs
C,0.4592589951765558,0.494762211637904,0.2838665756339879,0.1774799278781973,0.6217513479863204,0.8639315304368883,0.3805403368271487,0.3074676702182833,0.2042010038489174,0.616047784943022,0.5479818314929732,0.9811104129911454,0.9604268342803506,0.8479646566776095,0.8166827458025492,C,3,BAH,real,0.4401330280218371,1362.9
C,0.4672143726946599,0.5062276768632125,0.3125176672181686,0.2452748567017001,0.634176506399308,0.8799317809859104,0.4027156016344161,0.2324796773417842,0.2678544277350135,0.6252739250211613,0.5590980514279605,0.9848732456747628,0.9686330770632582,0.859400534969498,0.8294779471284708,C,5,CGD,real,0.4502224139437669,1440.5
C,0.4627535932032184,0.4898816943444553,0.2901664477807519,0.1621978886150566,0.6432059293405179,0.8624018928509104,0.3779978704581309,0.3193940095344541,0.2154408522014731,0.6154374514416411,0.5452605905430817,0.9806685231187816,0.9592329836536048,0.8472676828266569,0.8154832062826318,C,8,BAH,real,0.442012301309751,1446.8
C,0.4383149196618148,0.5225648479765913,0.2636162711934466,0.232110974938981,0.6329724404479753,0.8521972772622203,0.375839493116734,0.2204353420842869,0.1968823583509043,0.6305417744266533,0.547957468009672,0.9798302852492164,0.9579430466526148,0.83650189894118,0.8182907014424244,C,7,BAH,real,0.4285251609299174,1515.4
C,0.4998621339932673,0.4874336603996796,0.341232116945604,0.2214288901155497,0.6459565321524738,0.8890337890118388,0.4062608695894977,0.3562795395385864,0.2878149998742461,0.6316218870871062,0.5701812440449584,0.9864496755973948,0.9718334500895486,0.8692780717142943,0.8378478479036865,C,1,CGD,real,0.4658042896566907,1521.6
A,0.4594919200333825,0.4941428150476574,0.2850686980168861,0.1781772251336272,0.6215409259809389,0.8659511574686987,0.3807906247149802,0.3076829715079498,0.2023889165217757,0.6170071245921354,0.5477788459147815,0.9814587723810432,0.9611484243436652,0.8508800335257848,0.8170027558757964,A,3,BAH,real,0.4421927994063883,1521.0
A,0.4661632190592512,0.506743462112532,0.3091865571844215,0.2397269407418646,0.6344551531218019,0.880077187310893,0.4008813578138683,0.2321643678923551,0.2659016832419257,0.624184750715166,0.5579151369046533,0.984780713902758,0.968448854666507,0.8609610845682911,0.8295687178759796,A,5,CGD,real,0.4503839899595503,1525.7
B,0.4974132832729666,0.4876890164873737,0.3289826371481174,0.2216047129832661,0.6453579486500607,0.8877040543842526,0.401856070964,0.359497666058159,0.2787028258077794,0.6345993359346113,0.5661684537693441,0.986104600080714,0.9711214800616732,0.8695123171110515,0.8348441904915263,B,1,CGD,real,0.4669014177670876,1528.6
B,0.4583337430220371,0.4931075516211672,0.2838012610325732,0.1774722369045991,0.6212697712650999,0.8657637284032731,0.3797667613014489,0.3068701022868971,0.1993006959760455,0.6167324191254877,0.5466381090176587,0.9814879465072752,0.9612466502684508,0.8508660776989085,0.8167893065669118,B,3,BAH,real,0.4417285837759321,1535.8
D,0.4979633465085887,0.4846933645047316,0.3385979253495644,0.2228850800301698,0.6428473990681945,0.8893912817301318,0.4041222081724376,0.3510437830927107,0.2853667316776371,0.6332446614940386,0.5689593803195899,0.986425124611959,0.9717970492815952,0.8706649813268006,0.8374250171017921,D,1,CGD,real,0.4700156921973647,1539.7
B,0.4633076152836341,0.5064900511905884,0.3023817737904959,0.2323161452163001,0.6342568161987353,0.8780591616485245,0.3970767624407872,0.2317144217098249,0.2606258759237764,0.6220665806505831,0.5550374950390767,0.9844063831500148,0.9676611407032508,0.8598546302129331,0.8271358345259143,B,5,CGD,real,0.4477822514727264,1542.6
B,0.4649950064980686,0.497248507875147,0.2986642660122278,0.2346025059693853,0.6190993947014002,0.8764044295632177,0.3909594803316726,0.2441247895156844,0.2591361167817509,0.6374838671849627,0.5514736504904685,0.9839635092107188,0.966360755823762,0.8579013379388405,0.8243988242325903,B,6,CGD,real,0.4509646745043308,1548.9
A,0.4375707161151553,0.5212819619794715,0.2660021695176779,0.2253793379298776,0.6326339430359019,0.8540627123481037,0.3757274213096025,0.2162350751560676,0.1966939593112726,0.6287862303513526,0.5472377677906115,0.980157432882388,0.9586399148703416,0.8393802748279823,0.8175735526151378,A,7,BAH,real,0.4291832995296449,1582.1
D,0.4663044421591359,0.5065211206543224,0.3113409408040742,0.2419159609848848,0.6307718732285135,0.8803898024017275,0.4017033349059483,0.2310170650544205,0.2663412218512746,0.6237433164375468,0.5590931785481937,0.9848562166985984,0.9686116031497468,0.8611300224016216,0.8302911226369069,D,5,CGD,real,0.4515658756632997,1581.6
A,0.4639738963485157,0.4909526333654552,0.2912031942982554,0.1636340778107365,0.643502471282704,0.8643806149235418,0.379058670115253,0.3234370982509025,0.213447022141703,0.616818779239533,0.5454880766503932,0.9810211078328092,0.959976451229581,0.8499424661325762,0.8158853190946463,A,8,BAH,real,0.4441576276635284,1584.9
A,0.499297306571822,0.4872625231705231,0.33682266311339,0.2229960165698037,0.6457366797906797,0.8894050452711512,0.4047710407660387,0.3570777566882422,0.2848530065593571,0.6339148889460245,0.5689179156391957,0.9864185598378412,0.971780110144382,0.8706555590225462,0.8372510878781466,A,1,CGD,real,0.4681101659494743,1598.2
B,0.4361115511311256,0.5206103399578881,0.2658430241753138,0.2186430125147403,0.6326737364607432,0.8534858517737539,0.3746590170348695,0.2140205855395816,0.1950990283657215,0.626121567435447,0.5462709398610416,0.980119883608244,0.9586107165509288,0.8393582796179233,0.8176678776175649,B,7,BAH,real,0.4275902849184799,1605.5
C,0.4698309410461541,0.4978615567200847,0.3112361952839416,0.2413586532204674,0.61976318376081,0.878280048205519,0.3972142003588922,0.2463567521748347,0.2689734153536586,0.639906515669509,0.5562939248535533,0.9844684089050392,0.9673637700519891,0.8573546708557024,0.8273636611030004,C,6,CGD,real,0.4531328636692107,1609.2
