model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,TOTAL_additive_only,secs
"prev best (plate 2, pxs 6)",0.46506276153570264,0.45136839083861136,0.2684001786844485,0.20881446314961388,0.6062184509972509,0.8640733894673476,0.3569658547852869,0.32863818417244317,0.23353383614871207,0.6323168929287917,0.5468105317760245,0.9839888572635689,0.9663253860120917,0.8446656272284386,0.8285391687284204,"prev best (plate 2, pxs 6)",4,CEK,0.4568091070608582,179.4
"plate 2, pxs 12",0.45474928962547206,0.4906499599563235,0.2877359844649643,0.1782881636745404,0.609934000716847,0.8657673965304304,0.379539461032465,0.28757849175780015,0.20205617284694946,0.6134631729580906,0.5487538968902141,0.9814873050026193,0.9612407240002147,0.8505895596785495,0.8184384444069107,"plate 2, pxs 12",3,BAH,0.4419321844160131,181.4
"plate 2, pxs 24",0.4394501541425492,0.5032424433295094,0.27057127480232496,0.19040191737786424,0.5992152698293655,0.8537954730361909,0.3703670840232859,0.19760788912697125,0.23749823304836795,0.6116961456412278,0.5581689906059786,0.9829032233043761,0.9640262079991685,0.832358781134438,0.8346683997447143,"plate 2, pxs 24",0,CEK,0.4271853380145518,183.9
"plate 2, pxs 12",0.4911771002113285,0.4774580896638175,0.3383829437617063,0.22395666947696388,0.6348869758836946,0.8891409360495346,0.40058174155381926,0.32574129116960904,0.28289557508200164,0.6309299449656678,0.5676621973215557,0.9864417738183358,0.9718235326430438,0.8700433351473984,0.8370041361821189,"plate 2, pxs 12",1,CGD,0.4682943887795485,187.0
"prev best (plate 2, pxs 6)",0.44390038491640804,0.5194717914952057,0.2758627722300639,0.2173016189607595,0.5922637181414523,0.8435355551151076,0.381805731992917,0.20809668193478084,0.242503366882872,0.6190073448758612,0.5544219328808113,0.9792393698946935,0.9565590400878913,0.8183830341537035,0.830482674543407,"prev best (plate 2, pxs 6)",2,DHY210,0.4333011851973605,187.6
"plate 2, pxs 24",0.4884542609410901,0.47507160457100434,0.3374428397466435,0.22391204288870895,0.6338817871107795,0.8885835549695674,0.3991376889805799,0.3162016870556321,0.2816256457895637,0.6303262008098429,0.567100821040163,0.986378367260696,0.971694633749956,0.8692843235080864,0.8371436925909868,"plate 2, pxs 24",1,CGD,0.46621784992659476,188.2
"prev best (plate 2, pxs 6)",0.46351132358693825,0.5024704177495052,0.3112467434230708,0.24402542054515727,0.6230062327319403,0.8804295202099818,0.39980711019073323,0.22194957539823357,0.2646652983890729,0.6220997613519976,0.5588138220919509,0.9848958789945986,0.9686845763462646,0.8610168819654059,0.8292480780316477,"prev best (plate 2, pxs 6)",5,CGD,0.4517356420509947,191.0
"plate 2, pxs 12",0.44310541103408296,0.5180644386398168,0.2754579681475666,0.21608999509402543,0.59242355706509,0.843521866157158,0.38096315903611006,0.20589080554626832,0.24212443292526162,0.6185690593712214,0.5540058882439131,0.9792305351327307,0.9565506763835596,0.8185541710240478,0.8299454528727752,"plate 2, pxs 12",2,DHY210,0.4322682852949828,192.7
"prev best (plate 2, pxs 6)",0.4551814990563623,0.4894600371715518,0.2878128757553621,0.1795376486582904,0.6111294131120698,0.8660037967927006,0.3793043550377572,0.2891998886437854,0.20210826129951145,0.6145658976509272,0.5487286236926145,0.9815317363871896,0.9613312168026519,0.8506648212510091,0.8180360292849256,"prev best (plate 2, pxs 6)",3,BAH,0.44331895165391627,192.9
"plate 2, pxs 12",0.4395063955790116,0.5044824403135061,0.27107408474322153,0.19107418412629615,0.6004033862212033,0.8539296617142539,0.3712134252056589,0.1954839256635975,0.23839570158950962,0.6122067263071678,0.5584101770681577,0.9829224025094017,0.9640686938775185,0.8323505830204343,0.8344310424929477,"plate 2, pxs 12",0,CEK,0.42874081386053026,194.0
"plate 2, pxs 12",0.4624142602034713,0.45030079838903364,0.26757343409817497,0.20674806176121127,0.6051784063038185,0.8635341853858688,0.35586296810487683,0.3194163169316377,0.23196646791131073,0.6312302311674379,0.5468420202948973,0.9839298357051612,0.9661888252805583,0.8441850345222122,0.829017156193335,"plate 2, pxs 12",4,CEK,0.45509605081131466,194.0
"prev best (plate 2, pxs 6)",0.49191655554213864,0.47709053205777874,0.3390334333639012,0.2237835283518644,0.6350684630467909,0.8891950301528632,0.4006490102910303,0.32813445713707745,0.28396224112639135,0.6309602725259775,0.5679986006703365,0.9864307677008204,0.971810410888437,0.8702260132244094,0.8372116126582767,"prev best (plate 2, pxs 6)",1,CGD,0.47053758361805376,194.8
"plate 2, pxs 12",0.46351637326126865,0.5018681155631572,0.3107308219458025,0.24263104292759066,0.6222975643240991,0.8800400710286573,0.399126939389838,0.224562811782651,0.26386367831797236,0.6214111544154011,0.5580042149282585,0.9848682729305129,0.9686078369477147,0.8604693101481973,0.8282179732525099,"plate 2, pxs 12",5,CGD,0.45099653408244383,201.9
"prev best (plate 2, pxs 6)",0.4405356616489714,0.5065281470454229,0.2716206400686902,0.192139573962565,0.6011320766055539,0.8544293465549724,0.3723967327711198,0.19695300914480185,0.2394578514443836,0.6130155697767383,0.5593376009937218,0.9829711752211686,0.9641883024304082,0.8329559026207388,0.8355764867653349,"prev best (plate 2, pxs 6)",0,CEK,0.4297592988762758,212.9
"plate 2, pxs 24",0.44302490055196897,0.5169657190508375,0.27549697200726436,0.21596554860411735,0.5912447732033868,0.8434336766818356,0.38047113834535906,0.20652251878066732,0.2420584201580186,0.618294931477107,0.5534939938762831,0.9792365627839513,0.9565451753567442,0.8183422667809673,0.8292805219063173,"plate 2, pxs 24",2,DHY210,0.43064505320072544,177.3
"plate 2, pxs 24",0.46299052685195846,0.4528429464588599,0.26684273909220907,0.20746817326872774,0.6044444645279002,0.8631477037014501,0.35665678841875914,0.3232313210275084,0.23051806419533333,0.6307978756170621,0.547342488014081,0.9838797377918392,0.9660862467448422,0.8437043479537021,0.8292797256191279,"plate 2, pxs 24",4,CEK,0.4528851429344277,173.7
"plate 2, pxs 24",0.46289116659786883,0.5008921830979103,0.3099626101883935,0.24109913099798638,0.6215185486958231,0.8797576892932594,0.3981720854499036,0.22416859637944336,0.26305929986327087,0.6207971909612331,0.5574261806414971,0.9848358865152967,0.968546221229312,0.8602370010914684,0.8277198790237703,"plate 2, pxs 24",5,CGD,0.4498566881680957,174.9
"plate 2, pxs 48",0.4387143748271433,0.502132216126939,0.27028698849449717,0.1902112900096174,0.5977636821365093,0.8534906652007197,0.36970515040355795,0.19649638777844536,0.2364726831990784,0.611247950183666,0.5574268994447704,0.9828869688155876,0.9639736993401204,0.8319496519863802,0.8336361699351146,"plate 2, pxs 48",0,CEK,0.4257130546181083,175.3
"plate 2, pxs 24",0.45338780489477126,0.4899780681094494,0.28712857662093666,0.17795587490713463,0.6090973504842259,0.8652897210999285,0.37893032091359086,0.28277779275221826,0.20150702653561212,0.6129454548492896,0.5489154220778564,0.9814446851006988,0.9611380540834733,0.8499093181768202,0.8184250908014782,"plate 2, pxs 24",3,BAH,0.4404708428170639,189.8
"plate 2, pxs 48",0.4880580339655096,0.4750066934506893,0.33697359521344933,0.22357368221269872,0.6328726501804867,0.888357205648475,0.39882845770391845,0.3154819889808687,0.2812574035288093,0.6299889851371141,0.566654027883758,0.9863550172285745,0.9716331430264116,0.8690421772971718,0.8362555503023925,"plate 2, pxs 48",1,CGD,0.464768244388574,184.1
"plate 2, pxs 48",0.4529235219017186,0.48999107131682257,0.28648556508687745,0.1775247338385275,0.6080285678803767,0.8651678724011573,0.37857788854136576,0.28183471760694784,0.20095053994203266,0.6124645731450269,0.548839329236936,0.9814246999811682,0.9611041089475345,0.8496809557134989,0.8185647257804447,"plate 2, pxs 48",3,BAH,0.4394008572339879,181.9
