model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,TOTAL_additive_only,secs
"current (plate .3, pxs 2)",0.4635703386832427,0.4451663336886456,0.2674277857570135,0.20326506281166057,0.6033404412170716,0.8641917039564313,0.353134003644425,0.32970426941816783,0.23195154508662122,0.6300357368240314,0.5422752079497851,0.9840263286096675,0.9663406311985144,0.8456341956007543,0.8234293989628315,"current (plate .3, pxs 2)",4,CEK,0.45962126972177275,164.7
"current (plate .3, pxs 2)",0.48640357219716074,0.4742784174624816,0.320432151416405,0.21890525204650632,0.6308466321208694,0.8839213348127762,0.3916584894886268,0.33330413237304574,0.26940801567639283,0.6317211580204372,0.5598027490103459,0.9855616500503398,0.969951836277129,0.8662397771617844,0.8302903330948632,"current (plate .3, pxs 2)",1,CGD,0.46788660860467396,166.3
"plate 0.15, pxs 1",0.43599786267818297,0.5036939011575415,0.2697738935409455,0.18812616918792738,0.5979978612144041,0.8542136731929678,0.36982729552670907,0.18257042946924598,0.23627450763894198,0.611149442411373,0.5562874499027458,0.9829656696864207,0.9641260463528428,0.8333022453926936,0.8337504677998354,"plate 0.15, pxs 1",0,CEK,0.42709666342956626,221.6
"current (plate .3, pxs 2)",0.4383917377266934,0.506032847523324,0.2703212669377811,0.19008393875480165,0.5999886921102684,0.8546528350766934,0.3713163968245431,0.19019171252817774,0.23714567595027675,0.6125435578944035,0.5582047604017528,0.9830154286244305,0.9642338866356446,0.8338175032072891,0.8351475810139807,"current (plate .3, pxs 2)",0,CEK,0.4288031837118291,223.5
"current (plate .3, pxs 2)",0.4525907455325276,0.4859238650964761,0.283757060347894,0.17615583964956408,0.6070228163372505,0.8638677161885717,0.37557005104265456,0.29296062828296127,0.19480696881362594,0.6118180366140397,0.5437873290685639,0.9813140843752635,0.9609629702523247,0.849485568492294,0.8155126236656237,"current (plate .3, pxs 2)",3,BAH,0.4416016168238449,223.5
"current (plate .3, pxs 2)",0.4561115664228146,0.5013170257743137,0.2956275185620819,0.2290959116428709,0.6194889140926673,0.8746068706397907,0.3909238828740904,0.21844420092852593,0.2526264625686445,0.6168233917618605,0.5512549940142744,0.983937825356636,0.9666016060050145,0.8571056567872629,0.8234078056812267,"current (plate .3, pxs 2)",5,CGD,0.44522709896892965,224.9
"plate 0.15, pxs 1",0.45273260057196124,0.498466472921347,0.29183501615915863,0.22505009588768465,0.6164067386385909,0.8726549585452242,0.3875253614446992,0.21260261705809047,0.2496569934243837,0.6146839432954108,0.5479990415141137,0.983646531884289,0.965961368769132,0.8555070829899278,0.8208239137044223,"plate 0.15, pxs 1",5,CGD,0.4424387523085512,226.3
"plate 0.15, pxs 1",0.4828580232398176,0.4696110673903462,0.31668649022587436,0.2176467058787799,0.6276049173821656,0.8820623712615745,0.3878921503319624,0.3262630787576456,0.26632137528598643,0.6312103252119191,0.5566917614918758,0.9853150851699873,0.9693973618312997,0.8645257577950168,0.8278099426462507,"plate 0.15, pxs 1",1,CGD,0.465895136163224,226.4
"plate 0.15, pxs 1",0.4381220480475927,0.5127978976827402,0.2743120294393408,0.2092145446541613,0.586799888785597,0.8429809392466304,0.3772540391570082,0.1902703716940881,0.2409076565934562,0.6149398316880608,0.5496552316539917,0.9792234913128235,0.9564278210618689,0.8182161673860671,0.8257307870146842,"plate 0.15, pxs 1",2,DHY210,0.4274914962571135,227.6
"plate 0.15, pxs 1",0.44939285223722514,0.4808759209708892,0.2820497697173606,0.17476793634355536,0.6046523605544845,0.8625497351942414,0.3724158714371468,0.2858875994667425,0.1926751600230774,0.6104723734057498,0.5403829620110229,0.9811547643472842,0.9606245409334926,0.8481498847636473,0.8128473544051393,"plate 0.15, pxs 1",3,BAH,0.4394694615948338,228.1
