knob,value,model,TOTAL,M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc
vehicle,both,vehicle=both,0.4701710309312172,0.866485403073559,0.4008999506667249,0.21251552935002388,0.311210830255582,0.6318900563235472,0.5742937019269657,0.9870244061554323,0.9727126055821351,0.8451071102748595,0.8477752469254424
vehicle,dmso,vehicle=dmso,0.5094564201215777,0.866485403073559,0.48347975719245656,0.20681934311384653,0.37620787366933317,0.6755695158617705,0.6225401053187751,0.9870244061554323,0.9727126055821351,0.8451071102748595,0.8910007255572157
vehicle,water,vehicle=water,0.5210930207847115,0.866485403073559,0.49888998367863646,0.20884405310043355,0.40923132008695345,0.6784339627245752,0.6322994668081123,0.9870244061554323,0.9727126055821351,0.8451071102748595,0.8944857457400942
vehicle,curated,vehicle=curated,0.5550557129934915,0.866485403073559,0.4876173655303289,0.42440830518856215,0.3794785048477008,0.6773025881801141,0.6269334034186694,0.9870244061554323,0.9727126055821351,0.8451071102748595,0.8927762089444725
mu_ctx key,data_source+Strains+Medium+Temperature+pert_time+Yeast_cell_plate,ctx=data+Stra+Medi+Temp+pert+Yeas,0.4701710309312172,0.866485403073559,0.4008999506667249,0.21251552935002388,0.311210830255582,0.6318900563235472,0.5742937019269657,0.9870244061554323,0.9727126055821351,0.8451071102748595,0.8477752469254424
mu_ctx key,data_source+Strains+Medium+Temperature+pert_time,ctx=data+Stra+Medi+Temp+pert,0.4701710309312172,0.866485403073559,0.4008999506667249,0.21251552935002388,0.311210830255582,0.6318900563235472,0.5742937019269657,0.9870244061554323,0.9727126055821351,0.8451071102748595,0.8477752469254424
mu_ctx key,Strains+Medium+Temperature+pert_time,ctx=Stra+Medi+Temp+pert,0.5222088261084672,0.866485403073559,0.4008999506667249,0.47270450523627333,0.311210830255582,0.6318900563235472,0.5742937019269657,0.9870244061554323,0.9727126055821351,0.8451071102748595,0.8477752469254424
mu_ctx key,Strains,ctx=Stra,0.5283547574524258,0.866485403073559,0.4008999506667249,0.5034341619560662,0.311210830255582,0.6318900563235472,0.5742937019269657,0.9870244061554323,0.9727126055821351,0.8451071102748595,0.8477752469254424
M1 aggregation,pcc_only,M1=pcc_only,0.4838720893175256,0.9160657582151459,0.4008999506667249,0.21251552935002388,0.311210830255582,0.6697399299034575,0.5742937019269657,0.9870244061554323,0.9727126055821351,0.8451071102748595,0.8477752469254424
M1 aggregation,with_r2,M1=with_r2,0.4701710309312172,0.866485403073559,0.4008999506667249,0.21251552935002388,0.311210830255582,0.6318900563235472,0.5742937019269657,0.9870244061554323,0.9727126055821351,0.8451071102748595,0.8477752469254424
