model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,k,seed,strain,n_unseen_rows,secs,variant
k=1.0,0.42370275970958615,0.5140313598800532,0.2507522130974466,0.18945363769853094,0.5899982335980704,0.8164719275673907,0.36531069228655305,0.19299082907482135,0.21859742593451761,0.5996952773847414,0.5358704476825544,0.975237040568115,0.9479341965117357,0.7848727872758271,0.8070603457429212,1.0,2,DHY210,3609,193.6,pert_only
k=1.25,0.42433481301325376,0.5140313598800532,0.2579121917848028,0.18945363769853094,0.5899982335980704,0.8152396301048404,0.3684050775985898,0.19299082907482135,0.21860878987077562,0.5996952773847414,0.5379233213008939,0.9751153424340004,0.9477337860494244,0.7831162384166702,0.8084043898148412,1.25,2,DHY210,3609,198.9,pert_only
k=1.5,0.4245091563221881,0.5140313598800532,0.26388610719903327,0.18945363769853094,0.5899982335980704,0.8132520732112862,0.3709868724502683,0.19299082907482135,0.21786947749585817,0.5996952773847414,0.5394086902950747,0.97490039827463,0.9473190090939106,0.7803999816978558,0.8091041974100587,1.5,2,DHY210,3609,204.2,pert_only
k=2.0,0.4236963770852526,0.5140313598800532,0.27287690356410166,0.18945363769853094,0.5899982335980704,0.8071279061138281,0.374872496895591,0.19299082907482135,0.21457703325187089,0.5996952773847414,0.5413914286955319,0.9742104878308134,0.9458463558427299,0.7725355294340721,0.8101311067121258,2.0,2,DHY210,3609,209.6,pert_only
k=2.5,0.4216198619826308,0.5140313598800532,0.278790368976556,0.18945363769853094,0.5899982335980704,0.7983176225958762,0.3774281665860398,0.19299082907482135,0.2096112317034277,0.5996952773847414,0.5421871184564333,0.9732070014457876,0.9435162367592979,0.7621125235772555,0.8100309541303156,2.5,2,DHY210,3609,215.2,pert_only
k=3.0,0.41856112987011,0.5140313598800532,0.28244180401506563,0.18945363769853094,0.5899982335980704,0.7870075268530989,0.379006236499987,0.19299082907482135,0.2036728372788915,0.5996952773847414,0.5421160873055342,0.9719284691924023,0.9403286517735595,0.7498376515964259,0.8091603533451678,3.0,2,DHY210,3609,220.7,pert_only
k=4.0,0.41024604263319003,0.5140313598800532,0.285186025910647,0.18945363769853094,0.5899982335980704,0.7574657243807539,0.38019222884681514,0.19299082907482135,0.1905558074124326,0.5996952773847414,0.5405197101882102,0.9686861026808555,0.9313810842380073,0.7219037745192475,0.8063765309063459,4.0,2,DHY210,3609,227.1,pert_only
k=1.25 (incl booster),0.4246177891983984,0.5140313598800532,0.25887391875017324,0.19013707327883178,0.5899982339889087,0.81475773522881,0.36890523043567375,0.19299082907482135,0.21976524265737019,0.5998982127130319,0.5379779785195284,0.9750767933134898,0.9476031701817357,0.7824219281238982,0.8082090545281265,1.25,2,DHY210,3609,233.3,incl_booster
k=1.5 (incl booster),0.4249647583491873,0.5140313598800532,0.2655574312898502,0.19078646446270828,0.5899982339889087,0.8121112779551505,0.3718740031002925,0.19299082907482135,0.2199454674076891,0.6000738105784786,0.5395872325746819,0.9748063157745426,0.9470127001447541,0.7788109111926544,0.8090978542847299,1.5,2,DHY210,3609,239.2,incl_booster
k=2.0 (incl booster),0.42422913255423583,0.5140313598800532,0.2754489589972723,0.1919821025011282,0.5899982339889087,0.8041805425105668,0.376296759787327,0.19299082907482135,0.21805998821004408,0.6003434379421,0.5414865370821506,0.9739596049365229,0.9450534290539276,0.7687193632331073,0.8097581423862645,2.0,2,DHY210,3609,245.6,incl_booster
