fold,alpha,model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc
val mirror (BAI held out),0.0,alpha=0.0,0.4883318843029849,0.49925501303154257,0.34963249074438457,0.23582585476310028,0.6158172357524974,0.8943959521461506,0.40870791334855877,0.23642237408183772,0.32804612462153504,0.6546784846106916,0.5782833466974268,0.987369167843762,0.9736175585450758,0.879504300764593,0.853958475620468
val mirror (BAI held out),0.25,alpha=0.25,0.48744210335742527,0.49925501303154257,0.3475308542331302,0.236991275641348,0.6158172357524974,0.8933707430235619,0.4078131574340281,0.23642237408183772,0.32570839047212125,0.6550246905049089,0.5777208686584621,0.9872175878912302,0.9733303770234032,0.8789986026817287,0.8538831528841019
val mirror (BAI held out),0.5,alpha=0.5,0.4862257479106656,0.49925501303154257,0.3447989326597493,0.2374749827717992,0.6158172357524974,0.8920458759979607,0.4065522831453476,0.23642237408183772,0.3227553251748174,0.6550320789523675,0.5767950835633741,0.9870187946105125,0.9729479498222171,0.8783351291516989,0.853231195426336
val mirror (BAI held out),0.75,alpha=0.75,0.48471506840885875,0.49925501303154257,0.3414804485117904,0.23728028425333364,0.6158172357524974,0.8904242805100758,0.40494651758657163,0.23642237408183772,0.31922916979276006,0.6547015139191363,0.5758624548673489,0.9867731903875175,0.9724702781014509,0.877525171490476,0.8530724316037174
val mirror (BAI held out),1.0,alpha=1.0,0.4829121158094785,0.49925501303154257,0.3376269750848373,0.23642901618918494,0.6158172357524974,0.8885090751385991,0.4030225998743293,0.23642237408183772,0.3151800242943624,0.6540384839164479,0.574606454925829,0.9864812066201106,0.9718973603386709,0.8765808021467029,0.8523642575269301
inner (CEK held out),0.0,alpha=0.0,0.4260050510859722,0.5056362475798215,0.24950075099596045,0.17623236542211407,0.598934613307504,0.8292248232523768,0.36034505863320954,0.19014412020505767,0.2240877862935584,0.600111452052976,0.5443259054434726,0.9790177855461891,0.9561474153046318,0.8028154097231565,0.817793639738344
inner (CEK held out),0.25,alpha=0.25,0.4261289912907229,0.5056362475798215,0.25011356341697877,0.1778012411479215,0.598934613307504,0.8289830457598046,0.36080345476223896,0.19014412020505767,0.22371228993355816,0.6013974007025469,0.5444099270044873,0.9790454864995612,0.9561048113245543,0.8027284109112668,0.8183946951876091
inner (CEK held out),0.5,alpha=0.5,0.42556393656244035,0.5056362475798215,0.24954766398911887,0.1783832776095418,0.598934613307504,0.8278147649840246,0.3606284476286963,0.19014412020505767,0.2221946736379478,0.6018162247586831,0.5438898082798375,0.978940250885786,0.9557895743289438,0.8020709749351496,0.8183738810235699
inner (CEK held out),0.75,alpha=0.75,0.4243476179077269,0.5056362475798215,0.24786840325555082,0.1780091505154231,0.598934613307504,0.8257524101239254,0.3598522157086354,0.19014412020505767,0.21960708335399567,0.6013757427033133,0.5429253394728178,0.9787033832298848,0.9552017085640797,0.8009714978341134,0.818121362876339
inner (CEK held out),1.0,alpha=1.0,0.42252015284403033,0.5056362475798215,0.24518801967902434,0.17675761282007418,0.598934613307504,0.8228200223124591,0.3585332121952196,0.19014412020505767,0.21606886065421307,0.6000957945085167,0.5414133942005548,0.9783364444729311,0.954341210517524,0.7995245925050017,0.8170994138427067
inner (CGD held out),0.0,alpha=0.0,0.4842042249591047,0.4726343849482559,0.3191620625693881,0.2181073416655134,0.6303572277309787,0.8814301310682605,0.39034027672278715,0.3292136736738898,0.26803925612497087,0.6302661352840443,0.5571186015315844,0.9852673012090051,0.9693175745225283,0.8622660672405266,0.8269039037349919
inner (CGD held out),0.25,alpha=0.25,0.4844956004264207,0.4726343849482559,0.32045224040319525,0.21742616949503965,0.6303572277309787,0.8818091933425138,0.3907195958066844,0.3292136736738898,0.2680799793690623,0.6313789452325558,0.5571447534880171,0.985359973964507,0.9694968109719804,0.8625424224871722,0.8270466263968994
inner (CGD held out),0.5,alpha=0.5,0.4844891483004288,0.4726343849482559,0.3211211309097058,0.21619551131906406,0.6303572277309787,0.8819103713866796,0.3907939037862561,0.3292136736738898,0.26754459921769014,0.6320693270128117,0.5570002159386328,0.9854083471773112,0.9695873859578591,0.8626219828692333,0.827075294213254
inner (CGD held out),0.75,alpha=0.75,0.4841867678228342,0.4726343849482559,0.32117291179329965,0.21444285595106752,0.6303572277309787,0.8817343660212899,0.3905685691912014,0.3292136736738898,0.2664416395819672,0.6323442254685846,0.5566453424549206,0.9854125894398602,0.9695892995489551,0.8625073869191043,0.8268847671418622
