model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,secs
"REF (compound only, both places)",0.4513735148279697,0.4847367107360987,0.28382361890754815,0.1758470577411675,0.6065700134532157,0.8612328616369423,0.37500484307569976,0.29080226597176134,0.19509557638207964,0.6105649948526504,0.542793275512461,0.9810896948511114,0.960318434554254,0.8453999144262351,0.8117826945403641,"REF (compound only, both places)",3,BAH,172.0
booster sees variant,0.4835354815176082,0.4718803920372868,0.31984236721487136,0.2172850469065766,0.6300703739623642,0.8812004331051957,0.39013250892739787,0.3253465586936616,0.2692392898299631,0.6300153368790705,0.5568712854417527,0.9852414775763009,0.969252560619215,0.8619318993378716,0.8263056240946739,booster sees variant,1,CGD,175.6
booster sees variant,0.4499340755249366,0.4828594514164899,0.28355602519287865,0.17605545773845294,0.6046141763474647,0.8608668614637707,0.3740042349158073,0.2853264314723105,0.19548286265266268,0.6099570291355764,0.542041655293566,0.9810507501448692,0.9602186596472254,0.8450112069268668,0.8114112620686609,booster sees variant,3,BAH,176.9
booster sees variant,0.4251433878138466,0.5045003397117369,0.25042149341817815,0.17648340007419752,0.5976180597066911,0.8292414371339082,0.36026098203727336,0.18449447429451796,0.22584581113346996,0.5997981380330246,0.5436396797769312,0.9789958166773931,0.9561651178589681,0.8026439261827057,0.8167690688137489,booster sees variant,0,CEK,180.4
booster sees variant,0.42086915220525606,0.509830966252289,0.2519990896603972,0.1888645880969012,0.5899101971309173,0.8163703384386846,0.3641926257712718,0.17958508424847056,0.21967340571800265,0.599508200405652,0.5348882008168269,0.9752390345602885,0.9478976919876784,0.7847200394416329,0.806260158093443,booster sees variant,2,DHY210,180.6
"REF (compound only, both places)",0.4545365258923248,0.500239911003284,0.2943130997203903,0.22902529476511752,0.6190076992172645,0.8721213937282549,0.3899244263186802,0.21669525635670514,0.2513294541830298,0.6159314841452842,0.548661000890566,0.9836485106971566,0.9659821538011343,0.8528718624085806,0.8203210331819714,"REF (compound only, both places)",5,CGD,181.1
"REF (compound only, both places)",0.4237028853546584,0.5140349855430398,0.2507607524798591,0.1894704892221851,0.5899285578278877,0.8164822008431617,0.3653130586003937,0.19299418523107212,0.21860935910846824,0.5996651291858042,0.5358191749887824,0.9752378314775699,0.9479356775265443,0.7848875222293611,0.8069851580685096,"REF (compound only, both places)",2,DHY210,182.3
"REF (compound only, both places)",0.48423378166431086,0.47268992754755995,0.31917275374508536,0.2180677634433488,0.6303370404501832,0.8814251206259467,0.39036145260770866,0.32933450407289816,0.268053871446723,0.6302574121617739,0.5570995613418552,0.9852671925281935,0.9693171503543797,0.8622629841474889,0.8267657563507518,"REF (compound only, both places)",1,CGD,182.6
additive sees variant,0.4824537641631652,0.47019031138972234,0.319203816520499,0.218352837942129,0.6297574488997645,0.881123175963852,0.3892974577405745,0.3223174301613963,0.26799393908196456,0.6300885085577458,0.5566727966160877,0.9852294256318338,0.9692380961959756,0.8618512763909127,0.8263620950602693,additive sees variant,1,CGD,182.7
booster sees variant,0.4541946377439686,0.44531753325834983,0.2500457334905519,0.19193877985968813,0.5991469465216598,0.8436906805663292,0.34455027252697984,0.3320579469537606,0.22177870479904574,0.6203840770558482,0.5302639088562331,0.9806455114272661,0.9596433606369882,0.8194112684267805,0.8074960974126661,booster sees variant,4,CEK,183.5
additive sees variant,0.4257455813680636,0.5050808816589885,0.24989702586773443,0.17566709970952768,0.5986128564674431,0.8294214710531613,0.36021848712506516,0.1879523984543562,0.2252109006317596,0.5996989234295258,0.5440822643197859,0.9790166685877614,0.9561899297401931,0.802919396628076,0.8174200853316761,additive sees variant,0,CEK,187.7
booster sees variant,0.4527415903545139,0.49870253190383057,0.2934640901679126,0.22839806821471137,0.6185036655034335,0.8716498677583147,0.3888474578373208,0.21004919464152266,0.25124333067192006,0.6156529587530286,0.5475190281105884,0.9835893245881598,0.9658298699227779,0.8524360848053417,0.818834846123988,booster sees variant,5,CGD,189.1
"REF (compound only, both places)",0.45473132570346114,0.44595810880827064,0.24974071839434162,0.19164124345008032,0.6032106896883075,0.8436786698770059,0.3449152782358541,0.33328120233561853,0.222235139716114,0.621155234310587,0.5309596065538235,0.9806572531036993,0.9596117642590625,0.8195650216592325,0.8085068227549828,"REF (compound only, both places)",4,CEK,192.4
"REF (compound only, both places)",0.4260834879863178,0.5057258305951465,0.24951415760209714,0.17624996656729164,0.5990017532290506,0.8292283678033674,0.36039116305269003,0.19046682597844017,0.22408099472448834,0.6001298991239941,0.544349392189734,0.9790181125494855,0.9561475039167698,0.8028197906522685,0.8178240335202996,"REF (compound only, both places)",0,CEK,197.5
additive sees variant,0.42369938314039546,0.5138162847578908,0.25068034712224424,0.1891472785909949,0.5895024030854408,0.8163351529850449,0.36512699898047196,0.19341614176898614,0.2186622534898473,0.5993925718113193,0.5359133313073983,0.9752156668899139,0.9478535519678367,0.7847254716934393,0.8073105836259894,additive sees variant,2,DHY210,168.7
additive sees variant,0.45438064573199854,0.5005044017548472,0.2938870624436736,0.22851477444404342,0.6179770368766906,0.8719315015007187,0.3897289431112003,0.21693993903051553,0.25100276513887515,0.6155072356231324,0.5484569051572675,0.9836173612353419,0.965908783674188,0.8528244920059795,0.8196760359391513,additive sees variant,5,CGD,164.6
both see variant,0.4524578116207471,0.4427393665594101,0.250447679066322,0.1921322851543899,0.5991751842276837,0.8433775502058909,0.3436869530519385,0.3240230784530151,0.2226975906900753,0.6203787595947824,0.5295710705697592,0.980633391096438,0.9595514344537357,0.8189246287918792,0.8067145413368154,both see variant,4,CEK,162.7
both see variant,0.4203576624234821,0.5090838842230139,0.2522317444189561,0.18822659924658525,0.5880985014127091,0.8162904298364932,0.3638095676590708,0.1779615425348256,0.2197086041902856,0.5986864440608471,0.534890215806175,0.9752154317258466,0.9478787790079738,0.7847102699568752,0.8066008207932311,both see variant,2,DHY210,168.7
both see variant,0.4529162573070145,0.49871850283705743,0.29381435553905644,0.22816449413031734,0.6180231329328252,0.8715750716590538,0.38893135823592784,0.21073003154071654,0.25151668686934475,0.6154304157531332,0.5475203631779245,0.9835811524463556,0.9658105715692615,0.8524509020295152,0.8186696535229953,both see variant,5,CGD,169.2
both see variant,0.42421444952880827,0.5028373334894973,0.25099618744938157,0.17540167805319493,0.597724769491023,0.8291225944621625,0.35976393403699647,0.1800499784674722,0.2267548445400409,0.599334918282142,0.5430898139481958,0.9789984745141604,0.956117116190803,0.8024991159558553,0.8156138964411113,both see variant,0,CEK,173.3
both see variant,0.45004535772630794,0.48332967523707626,0.2836215708209812,0.1765712302958072,0.6034139379700507,0.8608804193916013,0.3742349594144031,0.28554376120846453,0.19562443890293207,0.6098351078114872,0.5418676638191768,0.9810582389930478,0.9602346278159263,0.8449049826312458,0.811105235782496,both see variant,3,BAH,172.0
both see variant,0.48314425158579105,0.4716969593479732,0.3193040812633441,0.21800882125014767,0.629467046659375,0.8811017640944705,0.3899195224239172,0.32427162290897477,0.2687541561572379,0.630143578104205,0.5564900907450914,0.9852325386222596,0.9692311802615772,0.8618364180459489,0.8259659881770297,both see variant,1,CGD,173.9
