strain,protein,orf,pav,cnv,n_obs_strain,n_obs_other,frac_obs_strain,frac_obs_other,mean_strain,mean_other,delta,delta_frac_obs
BAH,AAC1,YMR056C,1,1.0,254,3439,0.17024128686327078,0.7766485998193315,18.50617027282715,19.928876876831055,-1.4227066040039062,-0.6064073129560608
BAH,AAC3,YBR085W,1,1.0,978,3223,0.6554959785522788,0.7278681120144534,18.446809768676758,19.514598846435547,-1.067789077758789,-0.07237213346217464
BAH,AAD10,YJR155W,0,0.0,788,1976,0.5281501340482574,0.44625112917795845,21.88604164123535,22.318937301635742,-0.4328956604003906,0.08189900487029894
BAH,AAD14,YNL331C,1,0.5,1038,2112,0.6957104557640751,0.47696476964769646,23.16222381591797,22.381343841552734,0.7808799743652344,0.21874568611637862
BAH,AAH1,YNL141W,1,1.0,1465,4144,0.9819034852546917,0.935862691960253,22.483591079711914,21.75513458251953,0.7284564971923828,0.046040793294438775
BAH,AAP1,YHR047C,1,1.0,1486,4408,0.9959785522788204,0.995483288166215,22.430776596069336,22.417572021484375,0.013204574584960938,0.0004952641126053647
BAH,AAR2,YBL074C,1,1.0,353,1611,0.23659517426273458,0.3638211382113821,19.182411193847656,19.257644653320312,-0.07523345947265625,-0.12722596394864755
BAH,AAT1,YKL106W,1,1.0,1448,4264,0.9705093833780161,0.9629629629629629,20.537506103515625,20.256242752075195,0.2812633514404297,0.007546420415053157
BAH,AAT2,YLR027C,1,1.0,1492,4428,1.0,1.0,25.2454891204834,25.162353515625,0.08313560485839844,0.0
BAH,ABD1,YBR236C,1,1.0,1448,4357,0.9705093833780161,0.9839656729900632,21.234214782714844,21.401498794555664,-0.1672840118408203,-0.013456289612047145
BAH,ABF1,YKL112W,1,1.0,1452,4351,0.9731903485254692,0.9826106594399278,21.42401695251465,21.534744262695312,-0.11072731018066406,-0.009420310914458607
BAH,ABF2,YMR072W,1,1.0,1492,4427,1.0,0.9997741644083108,24.667444229125977,25.137229919433594,-0.4697856903076172,0.0002258355916892052
BAH,ABP1,YCR088W,1,1.0,1492,4426,1.0,0.9995483288166215,24.525400161743164,24.587182998657227,-0.0617828369140625,0.0004516711833785214
BAH,ABP140,YOR239W,1,1.0,1488,4411,0.9973190348525469,0.9961607949412827,23.12959098815918,22.848697662353516,0.28089332580566406,0.0011582399112641806
BAH,ABZ1,YNR033W,1,1.0,1443,4302,0.9671581769436998,0.9715447154471545,20.36481285095215,20.241228103637695,0.12358474731445312,-0.004386538503454718
BAH,ABZ2,YMR289W,1,1.0,1340,4228,0.8981233243967829,0.95483288166215,19.980226516723633,20.54559326171875,-0.5653667449951172,-0.05670955726536708
BAH,ACB1,YGR037C,1,1.0,1492,4427,1.0,0.9997741644083108,26.470069885253906,26.82636260986328,-0.356292724609375,0.0002258355916892052
BAH,ACC1,YNR016C,1,1.0,1492,4428,1.0,1.0,26.149314880371094,26.07994842529297,0.069366455078125,0.0
BAH,ACE2,YLR131C,1,1.0,280,2070,0.1876675603217158,0.46747967479674796,15.977307319641113,16.181011199951172,-0.2037038803100586,-0.2798121144750322
BAH,ACF2,YLR144C,1,1.0,1428,4286,0.9571045576407506,0.9679313459801264,20.689952850341797,20.675966262817383,0.013986587524414062,-0.010826788339375781
BAH,ACF4,YJR083C,1,1.0,769,2678,0.5154155495978552,0.6047877145438121,17.368473052978516,17.432554244995117,-0.06408119201660156,-0.0893721649459569
BAH,ACH1,YBL015W,1,1.0,1492,4428,1.0,1.0,25.450197219848633,25.262399673461914,0.18779754638671875,0.0
BAH,ACK1,YDL203C,1,1.0,1410,4183,0.9450402144772118,0.9446702800361337,18.17198371887207,18.116960525512695,0.055023193359375,0.00036993444107802365
BAH,ACL4,YDR161W,1,1.0,1454,4361,0.9745308310991957,0.9848690153568203,21.91625213623047,21.78277587890625,0.13347625732421875,-0.01033818425762456
BAH,ACM1,YPL267W,1,1.0,249,1600,0.16689008042895442,0.36133694670280037,17.818084716796875,17.44684600830078,0.37123870849609375,-0.19444686627384594
BAH,ACO1,YLR304C,1,1.0,1492,4428,1.0,1.0,26.75567054748535,26.920757293701172,-0.1650867462158203,0.0
BAH,ACO2,YJL200C,1,1.0,1492,4425,1.0,0.9993224932249323,24.693458557128906,24.15182876586914,0.5416297912597656,0.0006775067750677266
BAH,ACP1,YKL192C,1,1.0,1297,3976,0.8693029490616622,0.8979223125564589,19.64702606201172,19.779645919799805,-0.13261985778808594,-0.028619363494796768
BAH,ACS1,YAL054C,1,1.0,1411,4264,0.9457104557640751,0.9629629629629629,23.09865951538086,23.45657730102539,-0.35791778564453125,-0.017252507198887823
BAH,ACS2,YLR153C,1,1.0,1492,4427,1.0,0.9997741644083108,26.522159576416016,26.09739875793457,0.4247608184814453,0.0002258355916892052
BAH,ACT1,YFL039C,1,1.0,1492,4428,1.0,1.0,28.218833923339844,28.213232040405273,0.0056018829345703125,0.0
BAH,ADA2,YDR448W,1,1.0,1412,4275,0.9463806970509383,0.9654471544715447,20.418081283569336,20.55788230895996,-0.139801025390625,-0.01906645742060642
BAH,ADD37,YMR184W,1,1.0,1352,3542,0.9061662198391421,0.7999096657633243,19.263700485229492,18.92411231994629,0.3395881652832031,0.1062565540758178
BAH,ADD66,YKL206C,1,1.0,1472,4385,0.9865951742627346,0.9902890695573623,22.02482032775879,22.208547592163086,-0.18372726440429688,-0.0036938952946277137
BAH,ADE1,YAR015W,1,1.0,1492,4427,1.0,0.9997741644083108,25.341754913330078,25.060054779052734,0.28170013427734375,0.0002258355916892052
BAH,ADE12,YNL220W,1,1.0,1492,4427,1.0,0.9997741644083108,25.65153694152832,25.000152587890625,0.6513843536376953,0.0002258355916892052
BAH,ADE13,YLR359W,1,1.0,1492,4427,1.0,0.9997741644083108,25.59379768371582,25.057483673095703,0.5363140106201172,0.0002258355916892052
BAH,ADE16,YLR028C,1,1.0,1492,4428,1.0,1.0,24.496204376220703,24.540786743164062,-0.044582366943359375,0.0
BAH,ADE17,YMR120C,1,1.0,1492,4428,1.0,1.0,26.40957260131836,26.044477462768555,0.3650951385498047,0.0
BAH,ADE2,YOR128C,1,1.0,1492,4427,1.0,0.9997741644083108,25.291786193847656,24.72598648071289,0.5657997131347656,0.0002258355916892052
BAH,ADE3,YGR204W,1,1.0,1492,4428,1.0,1.0,25.88483428955078,25.62146759033203,0.26336669921875,0.0
BAH,ADE4,YMR300C,1,1.0,1492,4424,1.0,0.999096657633243,24.920183181762695,24.409032821655273,0.5111503601074219,0.0009033423667570428
BAH,ADE57,YGL234W,1,1.0,1492,4428,1.0,1.0,26.150657653808594,25.578798294067383,0.5718593597412109,0.0
BAH,ADE6,YGR061C,1,1.0,1492,4426,1.0,0.9995483288166215,25.23761558532715,24.730266571044922,0.5073490142822266,0.0004516711833785214
BAH,ADE8,YDR408C,1,1.0,1407,4395,0.943029490616622,0.9925474254742548,21.32847785949707,21.89613914489746,-0.5676612854003906,-0.049517934857632784
