strain,protein,orf,b,dobs,abund,obs_other,pav,cnv,fshift,absent,fs,logcnv
BAH,AAC1,YMR056C,-1.4227066,-0.6064073129560608,19.928877,0.7766485998193315,1.0,1.0,,0.0,0.0,0.0
BAH,AAC3,YBR085W,-1.067791,-0.07237213346217464,19.5146,0.7278681120144534,1.0,1.0,,0.0,0.0,0.0
BAH,AAD10,YJR155W,-0.43289566,0.08189900487029894,22.318937,0.44625112917795845,0.0,0.0,,1.0,0.0,-2.0
BAH,AAD14,YNL331C,0.7808819,0.21874568611637862,22.381344,0.47696476964769646,1.0,0.5,,0.0,0.0,-1.0
BAH,AAH1,YNL141W,0.7284546,0.046040793294438775,21.755136,0.935862691960253,1.0,1.0,,0.0,0.0,0.0
BAH,AAP1,YHR047C,0.013204575,0.0004952641126053647,22.417574,0.995483288166215,1.0,1.0,,0.0,0.0,0.0
BAH,AAR2,YBL074C,-0.07523346,-0.12722596394864755,19.257645,0.3638211382113821,1.0,1.0,,0.0,0.0,0.0
BAH,AAT1,YKL106W,0.28126335,0.007546420415053157,20.256245,0.9629629629629629,1.0,1.0,,0.0,0.0,0.0
BAH,AAT2,YLR027C,0.08313751,0.0,25.162352,1.0,1.0,1.0,,0.0,0.0,0.0
BAH,ABD1,YBR236C,-0.1672802,-0.013456289612047145,21.401497,0.9839656729900632,1.0,1.0,,0.0,0.0,0.0
BAH,ABF1,YKL112W,-0.11072922,-0.009420310914458607,21.534746,0.9826106594399278,1.0,1.0,,0.0,0.0,0.0
BAH,ABF2,YMR072W,-0.4697876,0.0002258355916892052,25.13723,0.9997741644083108,1.0,1.0,,0.0,0.0,0.0
BAH,ABP1,YCR088W,-0.061782837,0.0004516711833785214,24.587183,0.9995483288166215,1.0,1.0,,0.0,0.0,0.0
BAH,ABP140,YOR239W,0.28089333,0.0011582399112641806,22.848696,0.9961607949412827,1.0,1.0,,0.0,0.0,0.0
BAH,ABZ1,YNR033W,0.12358475,-0.004386538503454718,20.241228,0.9715447154471545,1.0,1.0,,0.0,0.0,0.0
BAH,ABZ2,YMR289W,-0.56536674,-0.05670955726536708,20.545593,0.95483288166215,1.0,1.0,,0.0,0.0,0.0
BAH,ACB1,YGR037C,-0.35629082,0.0002258355916892052,26.82636,0.9997741644083108,1.0,1.0,,0.0,0.0,0.0
BAH,ACC1,YNR016C,0.069366455,0.0,26.079948,1.0,1.0,1.0,,0.0,0.0,0.0
BAH,ACE2,YLR131C,-0.20370388,-0.2798121144750322,16.181011,0.46747967479674796,1.0,1.0,,0.0,0.0,0.0
BAH,ACF2,YLR144C,0.01398468,-0.010826788339375781,20.675968,0.9679313459801264,1.0,1.0,,0.0,0.0,0.0
BAH,ACF4,YJR083C,-0.06407738,-0.0893721649459569,17.432552,0.6047877145438121,1.0,1.0,,0.0,0.0,0.0
